ID,Year,Province,Soil Type,Group,Crop ID,Crop,Species / Variant,"Unit (bu, t, etc)",Yield,Crop Price,Seed,Fertilizer,Chemical,Trucking and Marketing,Fuel Oil Lube,Machinery Repairs,Crop Insurance,Building Repairs,Custom Work,Labour,Utilities,Operating Interest,Fixed Cost $/Acre,Variable Cost $/acre,Total Costs $/Acre,Source
,,,,Small-grain cereals,1,Summer fallow,,,,,,,,,,,,,,,,,,,,
,,,,Small-grain cereals,2,Small grain cereals,,,,,,,,,,,,,,,,,,,,
,,,,Small-grain cereals,3,Wheat,,,,,,,,,,,,,,,,,,,,
,,,,Small-grain cereals,4,Durum Wheat,,,,,,,,,,,,,,,,,,,,
,,,,Small-grain cereals,5,Barley,,,,,,,,,,,,,,,,,,,,
,,,,Small-grain cereals,6,Undersown Barley,,,,,,,,,,,,,,,,,,,,
,,,,Small-grain cereals,7,Oats,,,,,,,,,,,,,,,,,,,,
,,,,Small-grain cereals,8,Triticale,,,,,,,,,,,,,,,,,,,,
,,,,Small-grain cereals,9,Sorghum,,,,,,,,,,,,,,,,,,,,
,,,,Small-grain cereals,10,Canary seed,,,,,,,,,,,,,,,,,,,,
,,,,Small-grain cereals,11,Buckwheat,,,,,,,,,,,,,,,,,,,,
,,,,Small-grain cereals,12,Grain corn,,,,,,,,,,,,,,,,,,,,
,,,,Small-grain cereals,13,Mixed grains,,,,,,,,,,,,,,,,,,,,
,,,,Silage,14,Corn Silage,,,,,,,,,,,,,,,,,,,,
,,,,Silage,15,Barley Silage,,,,,,,,,,,,,,,,,,,,
,,,,Silage,16,Oat Silage,,,,,,,,,,,,,,,,,,,,
,,,,Silage,17,Triticale Silage,,,,,,,,,,,,,,,,,,,,
,,,,Silage,18,Wheat Silage,,,,,,,,,,,,,,,,,,,,
,,,,Oilseeds,19,Canola,,,,,,,,,,,,,,,,,,,,
,,,,Oilseeds,20,Mustard,,,,,,,,,,,,,,,,,,,,
,,,,Oilseeds,21,Flax,,,,,,,,,,,,,,,,,,,,
,,,,Pulse crops,22,Soybean,,,,,,,,,,,,,,,,,,,,
,,,,Pulse crops,23,Beans (dry field),,,,,,,,,,,,,,,,,,,,
,,,,Pulse crops,24,Whitebeans,,,,,,,,,,,,,,,,,,,,
,,,,Pulse crops,25,Fababean,,,,,,,,,,,,,,,,,,,,
,,,,Pulse crops,26,Chickpea,,,,,,,,,,,,,,,,,,,,
,,,,Pulse crops,27,Dry Pea,,,,,,,,,,,,,,,,,,,,
,,,,Pulse crops,28,Field Pea,,,,,,,,,,,,,,,,,,,,
,,,,Pulse crops,29,Lentil,,,,,,,,,,,,,,,,,,,,
,,,,Root crops,30,Potato,,,,,,,,,,,,,,,,,,,,
,,,,Root crops,31,Sugar Beets,,,,,,,,,,,,,,,,,,,,
,,,,Other field crops,32,Safflower,,,,,,,,,,,,,,,,,,,,
,,,,Other field crops,33,Sunflower seed,,,,,,,,,,,,,,,,,,,,
,,,,Other field crops,34,Tobacco,,,,,,,,,,,,,,,,,,,,
,,,,Other field crops,35,Vegetables,,,,,,,,,,,,,,,,,,,,
,,,,Other field crops,36,Berries & grapes,,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,37,Winter weeds,,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,38,Red clover (Trifolium pratense L.),,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,39,Berseem clover (Trifolium alexandrium L.),,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,40,Sweet clover (Melilotus officinalis),,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,41,Crimson clover (Trifolium incarnatum),,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,42,Hairy Vetch (Vicia villosa roth),,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,43,Alfalfa (Medicago sativa L.),,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,44,Faba bean/broad bean (Vicia faba),,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,45,Cowpea (Vigna unguiculata),,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,46,Austrian winter pea,,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,47,Rapeseed (Brassica Napus L.),,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,48,"Winter turnip rape [Brassica Rapa spp. oleifera L. (cv. ""Largo"")]",,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,49,Phacelia [Phacelia tanacetifolia (cv. 'Phaci')],,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,50,Forage radish (Raphanus sativus L.),,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,51,Mustard (Sinapus alba L. subsp. Mairei (H. Lindb.) Maire),,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,52,Barley (Hordeum vulgare),,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,53,Oat (Avena sativa),,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,54,Rye (Secale cereale) / Winter rye / Cereal rye,,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,55,Sesame (Sesamum indicum),,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,56,Flax (Linum usitatissimum),,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,57,Ryegrass (Lolium Perenne L.),,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,58,Annual Ryegrass (Lolium multiflorum),,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,59,Sorghum (Sorghum bicolour),,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,60,Pigeon Bean,,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,61,Shepherd's purse,,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,62,Winter wheat (Triticum aestivum),,,,,,,,,,,,,,,,,,,,
,,,,Cover crops,63,(Fall) Rye,,,,,,,,,,,,,,,,,,,,
,,,,Perennial forages,64,Rangeland (native),,,,,,,,,,,,,,,,,,,,
,,,,Perennial forages,65,Seeded grassland,,,,,,,,,,,,,,,,,,,,
,,,,Perennial forages,66,Tame grass,,,,,,,,,,,,,,,,,,,,
,,,,Perennial forages,67,Tame legume,,,,,,,,,,,,,,,,,,,,
,,,,Perennial forages,68,Tame mixed (grass/legume),,,,,,,,,,,,,,,,,,,,
,,,,Perennial forages,69,Forage for seed,,,,,,,,,,,,,,,,,,,,
