Soil_Z,Year,Species,Cluster,Mortality_pct,Age,TEC_MgCkmyr,TEC_MgCkm,Biom_MgCkmyr,Biom_MgCkm,DOM_MgCkmyr,DOM_MgCkm,Stems,km_per_ha,Stems_tosum1ha
BLK_,1956,Caragana,BLK_1,0,1,,115.0363007,,0,,115.0363007,527,27.62313388,13811.56694
BLK_,1956,Caragana,BLK_2,0,1,,115.0363007,,0,,115.0363007,527,27.62313388,13811.56694
BLK_,1956,Caragana,BLK_3,0,1,,115.0363007,,0,,115.0363007,527,27.62313388,13811.56694
BLK_,1956,Caragana,BLK_4,0,1,,101.5771027,,0,,101.5771027,527,27.62313388,13811.56694
BLK_,1956,Caragana,BLK_5,0,1,,95.28058624,,0,,95.28058624,527,27.62313388,13811.56694
BLK_,1956,Caragana,BLK_6,0,1,,95.28058624,,0,,95.28058624,527,27.62313388,13811.56694
BRN_,1956,Caragana,BRN_1,0,1,,77.75488281,,0,,77.75488281,527,27.62313388,13811.56694
BRN_,1956,Caragana,BRN_2,0,1,,77.75488281,,0,,77.75488281,527,27.62313388,13811.56694
BRN_,1956,Caragana,BRN_3,0,1,,77.75488281,,0,,77.75488281,527,27.62313388,13811.56694
BRN_,1956,Caragana,BRN_4,0,1,,94.068367,,0,,94.068367,527,27.62313388,13811.56694
BRN_,1956,Caragana,BRN_5,0,1,,94.068367,,0,,94.068367,527,27.62313388,13811.56694
BRN_,1956,Caragana,BRN_6,0,1,,94.068367,,0,,94.068367,527,27.62313388,13811.56694
BRN_,1956,Caragana,BRN_7,0,1,,68.67051697,,0,,68.67051697,527,27.62313388,13811.56694
BRN_,1956,Caragana,BRN_8,0,1,,68.67051697,,0,,68.67051697,527,27.62313388,13811.56694
D_BR,1956,Caragana,D_BRN_1,0,1,,68.67051697,,0,,68.67051697,527,27.62313388,13811.56694
D_BR,1956,Caragana,D_BRN_2,0,1,,99.39497375,,0,,99.39497375,527,27.62313388,13811.56694
D_BR,1956,Caragana,D_BRN_3,0,1,,99.39497375,,0,,99.39497375,527,27.62313388,13811.56694
D_BR,1956,Caragana,D_BRN_4,0,1,,99.39497375,,0,,99.39497375,527,27.62313388,13811.56694
D_BR,1956,Caragana,D_BRN_5,0,1,,99.77364349,,0,,99.77364349,527,27.62313388,13811.56694
D_BR,1956,Caragana,D_BRN_6,0,1,,99.77364349,,0,,99.77364349,527,27.62313388,13811.56694
D_BR,1956,Caragana,D_BRN_7,0,1,,99.77364349,,0,,99.77364349,527,27.62313388,13811.56694
D_GR,1956,Caragana,D_GRAY_1,0,1,,121.1340103,,0,,121.1340103,527,27.62313388,13811.56694
D_GR,1956,Caragana,D_GRAY_2,0,1,,121.1340103,,0,,121.1340103,527,27.62313388,13811.56694
D_GR,1956,Caragana,D_GRAY_3,0,1,,121.1340103,,0,,121.1340103,527,27.62313388,13811.56694
D_GR,1956,Caragana,D_GRAY_4,0,1,,107.8836899,,0,,107.8836899,527,27.62313388,13811.56694
GRAY,1956,Caragana,GRAY_1,0,1,,107.8836899,,0,,107.8836899,527,27.62313388,13811.56694
GRAY,1956,Caragana,GRAY_2,0,1,,107.8836899,,0,,107.8836899,527,27.62313388,13811.56694
GRAY,1956,Caragana,GRAY_3,0,1,,59.07855988,,0,,59.07855988,527,27.62313388,13811.56694
GRAY,1956,Caragana,GRAY_4,0,1,,59.07855988,,0,,59.07855988,527,27.62313388,13811.56694
GRAY,1956,Caragana,GRAY_5,0,1,,59.07855988,,0,,59.07855988,527,27.62313388,13811.56694
GRAY,1956,Caragana,GRAY_6,0,1,,101.5771027,,0,,101.5771027,527,27.62313388,13811.56694
BLK_,1956,Caragana,BLK_1,15,1,,115.0363007,,0,,115.0363007,448,32.49780457,16248.90228
BLK_,1956,Caragana,BLK_2,15,1,,115.0363007,,0,,115.0363007,448,32.49780457,16248.90228
BLK_,1956,Caragana,BLK_3,15,1,,115.0363007,,0,,115.0363007,448,32.49780457,16248.90228
BLK_,1956,Caragana,BLK_4,15,1,,101.5771027,,0,,101.5771027,448,32.49780457,16248.90228
BLK_,1956,Caragana,BLK_5,15,1,,95.28058624,,0,,95.28058624,448,32.49780457,16248.90228
BLK_,1956,Caragana,BLK_6,15,1,,95.28058624,,0,,95.28058624,448,32.49780457,16248.90228
BRN_,1956,Caragana,BRN_1,15,1,,77.75488281,,0,,77.75488281,448,32.49780457,16248.90228
BRN_,1956,Caragana,BRN_2,15,1,,77.75488281,,0,,77.75488281,448,32.49780457,16248.90228
BRN_,1956,Caragana,BRN_3,15,1,,77.75488281,,0,,77.75488281,448,32.49780457,16248.90228
BRN_,1956,Caragana,BRN_4,15,1,,94.068367,,0,,94.068367,448,32.49780457,16248.90228
BRN_,1956,Caragana,BRN_5,15,1,,94.068367,,0,,94.068367,448,32.49780457,16248.90228
BRN_,1956,Caragana,BRN_6,15,1,,94.068367,,0,,94.068367,448,32.49780457,16248.90228
BRN_,1956,Caragana,BRN_7,15,1,,68.67051697,,0,,68.67051697,448,32.49780457,16248.90228
BRN_,1956,Caragana,BRN_8,15,1,,68.67051697,,0,,68.67051697,448,32.49780457,16248.90228
D_BR,1956,Caragana,D_BRN_1,15,1,,68.67051697,,0,,68.67051697,448,32.49780457,16248.90228
D_BR,1956,Caragana,D_BRN_2,15,1,,99.39497375,,0,,99.39497375,448,32.49780457,16248.90228
D_BR,1956,Caragana,D_BRN_3,15,1,,99.39497375,,0,,99.39497375,448,32.49780457,16248.90228
D_BR,1956,Caragana,D_BRN_4,15,1,,99.39497375,,0,,99.39497375,448,32.49780457,16248.90228
D_BR,1956,Caragana,D_BRN_5,15,1,,99.77364349,,0,,99.77364349,448,32.49780457,16248.90228
D_BR,1956,Caragana,D_BRN_6,15,1,,99.77364349,,0,,99.77364349,448,32.49780457,16248.90228
D_BR,1956,Caragana,D_BRN_7,15,1,,99.77364349,,0,,99.77364349,448,32.49780457,16248.90228
D_GR,1956,Caragana,D_GRAY_1,15,1,,121.1340103,,0,,121.1340103,448,32.49780457,16248.90228
D_GR,1956,Caragana,D_GRAY_2,15,1,,121.1340103,,0,,121.1340103,448,32.49780457,16248.90228
D_GR,1956,Caragana,D_GRAY_3,15,1,,121.1340103,,0,,121.1340103,448,32.49780457,16248.90228
D_GR,1956,Caragana,D_GRAY_4,15,1,,107.8836899,,0,,107.8836899,448,32.49780457,16248.90228
GRAY,1956,Caragana,GRAY_1,15,1,,107.8836899,,0,,107.8836899,448,32.49780457,16248.90228
GRAY,1956,Caragana,GRAY_2,15,1,,107.8836899,,0,,107.8836899,448,32.49780457,16248.90228
GRAY,1956,Caragana,GRAY_3,15,1,,59.07855988,,0,,59.07855988,448,32.49780457,16248.90228
GRAY,1956,Caragana,GRAY_4,15,1,,59.07855988,,0,,59.07855988,448,32.49780457,16248.90228
GRAY,1956,Caragana,GRAY_5,15,1,,59.07855988,,0,,59.07855988,448,32.49780457,16248.90228
GRAY,1956,Caragana,GRAY_6,15,1,,101.5771027,,0,,101.5771027,448,32.49780457,16248.90228
BLK_,1956,Caragana,BLK_1,30,1,,115.0363007,,0,,115.0363007,369,39.46161983,19730.80992
BLK_,1956,Caragana,BLK_2,30,1,,115.0363007,,0,,115.0363007,369,39.46161983,19730.80992
BLK_,1956,Caragana,BLK_3,30,1,,115.0363007,,0,,115.0363007,369,39.46161983,19730.80992
BLK_,1956,Caragana,BLK_4,30,1,,101.5771027,,0,,101.5771027,369,39.46161983,19730.80992
BLK_,1956,Caragana,BLK_5,30,1,,95.28058624,,0,,95.28058624,369,39.46161983,19730.80992
BLK_,1956,Caragana,BLK_6,30,1,,95.28058624,,0,,95.28058624,369,39.46161983,19730.80992
BRN_,1956,Caragana,BRN_1,30,1,,77.75488281,,0,,77.75488281,369,39.46161983,19730.80992
BRN_,1956,Caragana,BRN_2,30,1,,77.75488281,,0,,77.75488281,369,39.46161983,19730.80992
BRN_,1956,Caragana,BRN_3,30,1,,77.75488281,,0,,77.75488281,369,39.46161983,19730.80992
BRN_,1956,Caragana,BRN_4,30,1,,94.068367,,0,,94.068367,369,39.46161983,19730.80992
BRN_,1956,Caragana,BRN_5,30,1,,94.068367,,0,,94.068367,369,39.46161983,19730.80992
BRN_,1956,Caragana,BRN_6,30,1,,94.068367,,0,,94.068367,369,39.46161983,19730.80992
BRN_,1956,Caragana,BRN_7,30,1,,68.67051697,,0,,68.67051697,369,39.46161983,19730.80992
BRN_,1956,Caragana,BRN_8,30,1,,68.67051697,,0,,68.67051697,369,39.46161983,19730.80992
D_BR,1956,Caragana,D_BRN_1,30,1,,68.67051697,,0,,68.67051697,369,39.46161983,19730.80992
D_BR,1956,Caragana,D_BRN_2,30,1,,99.39497375,,0,,99.39497375,369,39.46161983,19730.80992
D_BR,1956,Caragana,D_BRN_3,30,1,,99.39497375,,0,,99.39497375,369,39.46161983,19730.80992
D_BR,1956,Caragana,D_BRN_4,30,1,,99.39497375,,0,,99.39497375,369,39.46161983,19730.80992
D_BR,1956,Caragana,D_BRN_5,30,1,,99.77364349,,0,,99.77364349,369,39.46161983,19730.80992
D_BR,1956,Caragana,D_BRN_6,30,1,,99.77364349,,0,,99.77364349,369,39.46161983,19730.80992
D_BR,1956,Caragana,D_BRN_7,30,1,,99.77364349,,0,,99.77364349,369,39.46161983,19730.80992
D_GR,1956,Caragana,D_GRAY_1,30,1,,121.1340103,,0,,121.1340103,369,39.46161983,19730.80992
D_GR,1956,Caragana,D_GRAY_2,30,1,,121.1340103,,0,,121.1340103,369,39.46161983,19730.80992
D_GR,1956,Caragana,D_GRAY_3,30,1,,121.1340103,,0,,121.1340103,369,39.46161983,19730.80992
D_GR,1956,Caragana,D_GRAY_4,30,1,,107.8836899,,0,,107.8836899,369,39.46161983,19730.80992
GRAY,1956,Caragana,GRAY_1,30,1,,107.8836899,,0,,107.8836899,369,39.46161983,19730.80992
GRAY,1956,Caragana,GRAY_2,30,1,,107.8836899,,0,,107.8836899,369,39.46161983,19730.80992
GRAY,1956,Caragana,GRAY_3,30,1,,59.07855988,,0,,59.07855988,369,39.46161983,19730.80992
GRAY,1956,Caragana,GRAY_4,30,1,,59.07855988,,0,,59.07855988,369,39.46161983,19730.80992
GRAY,1956,Caragana,GRAY_5,30,1,,59.07855988,,0,,59.07855988,369,39.46161983,19730.80992
GRAY,1956,Caragana,GRAY_6,30,1,,101.5771027,,0,,101.5771027,369,39.46161983,19730.80992
BLK_,1956,Caragana,BLK_1,50,1,,115.0363007,,0,,115.0363007,264,55.24626777,27623.13388
BLK_,1956,Caragana,BLK_2,50,1,,115.0363007,,0,,115.0363007,264,55.24626777,27623.13388
BLK_,1956,Caragana,BLK_3,50,1,,115.0363007,,0,,115.0363007,264,55.24626777,27623.13388
BLK_,1956,Caragana,BLK_4,50,1,,101.5771027,,0,,101.5771027,264,55.24626777,27623.13388
BLK_,1956,Caragana,BLK_5,50,1,,95.28058624,,0,,95.28058624,264,55.24626777,27623.13388
BLK_,1956,Caragana,BLK_6,50,1,,95.28058624,,0,,95.28058624,264,55.24626777,27623.13388
BRN_,1956,Caragana,BRN_1,50,1,,77.75488281,,0,,77.75488281,264,55.24626777,27623.13388
BRN_,1956,Caragana,BRN_2,50,1,,77.75488281,,0,,77.75488281,264,55.24626777,27623.13388
BRN_,1956,Caragana,BRN_3,50,1,,77.75488281,,0,,77.75488281,264,55.24626777,27623.13388
BRN_,1956,Caragana,BRN_4,50,1,,94.068367,,0,,94.068367,264,55.24626777,27623.13388
BRN_,1956,Caragana,BRN_5,50,1,,94.068367,,0,,94.068367,264,55.24626777,27623.13388
BRN_,1956,Caragana,BRN_6,50,1,,94.068367,,0,,94.068367,264,55.24626777,27623.13388
BRN_,1956,Caragana,BRN_7,50,1,,68.67051697,,0,,68.67051697,264,55.24626777,27623.13388
BRN_,1956,Caragana,BRN_8,50,1,,68.67051697,,0,,68.67051697,264,55.24626777,27623.13388
D_BR,1956,Caragana,D_BRN_1,50,1,,68.67051697,,0,,68.67051697,264,55.24626777,27623.13388
D_BR,1956,Caragana,D_BRN_2,50,1,,99.39497375,,0,,99.39497375,264,55.24626777,27623.13388
D_BR,1956,Caragana,D_BRN_3,50,1,,99.39497375,,0,,99.39497375,264,55.24626777,27623.13388
D_BR,1956,Caragana,D_BRN_4,50,1,,99.39497375,,0,,99.39497375,264,55.24626777,27623.13388
D_BR,1956,Caragana,D_BRN_5,50,1,,99.77364349,,0,,99.77364349,264,55.24626777,27623.13388
D_BR,1956,Caragana,D_BRN_6,50,1,,99.77364349,,0,,99.77364349,264,55.24626777,27623.13388
D_BR,1956,Caragana,D_BRN_7,50,1,,99.77364349,,0,,99.77364349,264,55.24626777,27623.13388
D_GR,1956,Caragana,D_GRAY_1,50,1,,121.1340103,,0,,121.1340103,264,55.24626777,27623.13388
D_GR,1956,Caragana,D_GRAY_2,50,1,,121.1340103,,0,,121.1340103,264,55.24626777,27623.13388
D_GR,1956,Caragana,D_GRAY_3,50,1,,121.1340103,,0,,121.1340103,264,55.24626777,27623.13388
D_GR,1956,Caragana,D_GRAY_4,50,1,,107.8836899,,0,,107.8836899,264,55.24626777,27623.13388
GRAY,1956,Caragana,GRAY_1,50,1,,107.8836899,,0,,107.8836899,264,55.24626777,27623.13388
GRAY,1956,Caragana,GRAY_2,50,1,,107.8836899,,0,,107.8836899,264,55.24626777,27623.13388
GRAY,1956,Caragana,GRAY_3,50,1,,59.07855988,,0,,59.07855988,264,55.24626777,27623.13388
GRAY,1956,Caragana,GRAY_4,50,1,,59.07855988,,0,,59.07855988,264,55.24626777,27623.13388
GRAY,1956,Caragana,GRAY_5,50,1,,59.07855988,,0,,59.07855988,264,55.24626777,27623.13388
GRAY,1956,Caragana,GRAY_6,50,1,,101.5771027,,0,,101.5771027,264,55.24626777,27623.13388
BLK_,1957,Caragana,BLK_1,0,2,-0.379626453,114.6566772,0,0,-0.379626453,114.6566772,527,12.21011683,6105.058415
BLK_,1957,Caragana,BLK_2,0,2,-0.391308606,114.6449966,0,0,-0.391308606,114.6449966,527,12.21011683,6105.058415
BLK_,1957,Caragana,BLK_3,0,2,-0.359704584,114.6765976,0,0,-0.359704584,114.6765976,527,12.21011683,6105.058415
BLK_,1957,Caragana,BLK_4,0,2,-0.399169922,101.1779327,0,0,-0.399169922,101.1779327,527,12.21011683,6105.058415
