Table 38a. Fuel usage induced emissions for various crops in diffferent regions of Canada for specific soils and tillage operations (in GJ ha-1),,,,,,,,,,,,,,,,,,Table 38b. Herbicide usage induced emissions for various crops in diffferent regions of Canada for specific soils and tillage operations (in GJ ha-1),,,,,,,,,,,,,,,
,"Alberta, Saskatchewan, Manitoba",,,,,,"Atlanctic Canada, Ontario, Quebec",,,BC,,,,,,,,,"Alberta, Saskatchewan, Manitoba",,,,,,"Atlanctic Canada, Ontario, Quebec",,,BC,,,,,
,Black,,,Brown,,,East,,,Black,,,Brown,,,,,,Black,,,Brown,,,East,,,Black,,,Brown,,
,Intensive,Reduced,No-till,Intensive,Reduced,No-till,Intensive,Reduced,No-till,Intensive,Reduced,No-till,Intensive,Reduced,No-till,,,,Intensive,Reduced,No-till,Intensive,Reduced,No-till,Intensive,Reduced,No-till,Intensive,Reduced,No-till,Intensive,Reduced,No-till
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fallow,2.35,1.71,0.93,1.62,1.16,0.34,,,,,,,,,,,,Fallow,0.06,0.11,0.6,0,0.07,0.78,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small grain cereals,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Small grain cereals,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Wheat,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Wheat,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Barley,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Barley,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Undersown Barley,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Undersown Barley,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Oats,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Oats,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
