CropType,Province,SoilType,NApplicationRate(kgNha^-1),PApplicationRate(kgPha^-1)
Barley,British Columbia,All,78,40
Barley,Manitoba,All,81,40
Barley,New Brunswick,All,70,40
Barley,Newfoundland and Labrador,All,70,40
Barley,Nova Scotia,All,70,40
Barley,Ontario,All,53,40
Barley,Prince Edward Island,All,55,40
Barley,Quebec,All,49,40
Barley silage,British Columbia,All,80,40
Barley silage,Manitoba,All,80,40
Barley silage,New Brunswick,All,80,40
Barley silage,Newfoundland and Labrador,All,80,40
Barley silage,Nova Scotia,All,80,40
Barley silage,Ontario,All,80,40
Barley silage,Prince Edward Island,All,80,40
Buckwheat,British Columbia,All,85,40
Buckwheat,Manitoba,All,89,40
Buckwheat,New Brunswick,All,100,40
Buckwheat,Newfoundland and Labrador,All,100,40
Buckwheat,Nova Scotia,All,100,40
Buckwheat,Ontario,All,109,40
Buckwheat,Prince Edward Island,All,100,40
Buckwheat,Quebec,All,105,40
Canary seed,British Columbia,All,67,40
Canary seed,Manitoba,All,59,40
Canary seed,New Brunswick,All,45,40
Canary seed,Newfoundland and Labrador,All,45,40
Canary seed,Nova Scotia,All,45,40
Canary seed,Ontario,All,53,40
Canary seed,Prince Edward Island,All,45,40
Canary seed,Quebec,All,49,40
Canola,British Columbia,All,85,40
Canola,Manitoba,All,89,40
Canola,New Brunswick,All,100,40
Canola,Newfoundland and Labrador,All,100,40
Canola,Nova Scotia,All,100,40
Canola,Ontario,All,109,40
Canola,Prince Edward Island,All,100,40
Canola,Quebec,All,105,40
Chickpeas,British Columbia,All,0,40
Chickpeas,Manitoba,All,0,40
Chickpeas,New Brunswick,All,0,40
Chickpeas,Newfoundland and Labrador,All,0,40
Chickpeas,Nova Scotia,All,0,40
Chickpeas,Ontario,All,0,40
Chickpeas,Prince Edward Island,All,20,40
Chickpeas,Quebec,All,0,40
Coloured/white faba beans,British Columbia,All,0,40
Coloured/white faba beans,Manitoba,All,0,40
Coloured/white faba beans,New Brunswick,All,0,40
Coloured/white faba beans,Newfoundland and Labrador,All,0,40
Coloured/white faba beans,Nova Scotia,All,0,40
Coloured/white faba beans,Ontario,All,0,40
Coloured/white faba beans,Prince Edward Island,All,20,40
Coloured/white faba beans,Quebec,All,0,40
Dry peas,British Columbia,All,0,40
Dry peas,Manitoba,All,0,40
Dry peas,New Brunswick,All,0,40
Dry peas,Newfoundland and Labrador,All,0,40
Dry peas,Nova Scotia,All,0,40
Dry peas,Ontario,All,0,40
Dry peas,Prince Edward Island,All,20,40
Dry peas,Quebec,All,0,40
Flax,British Columbia,All,67,40
Flax,Manitoba,All,59,40
Flax,New Brunswick,All,45,40
Flax,Newfoundland and Labrador,All,45,40
Flax,Nova Scotia,All,45,40
Flax,Ontario,All,53,40
Flax,Prince Edward Island,All,45,40
Flax,Quebec,All,49,40
Fodder corn,British Columbia,All,127,40
Fodder corn,Manitoba,All,112,40
Fodder corn,New Brunswick,All,140,40
Fodder corn,Newfoundland and Labrador,All,140,40
Fodder corn,Nova Scotia,All,140,40
Fodder corn,Ontario,All,114,40
Fodder corn,Prince Edward Island,All,130,40
Fodder corn,Quebec,All,123,40
Grain corn,British Columbia,All,127,40
Grain corn,Manitoba,All,112,40
Grain corn,New Brunswick,All,140,40
Grain corn,Newfoundland and Labrador,All,140,40
Grain corn,Nova Scotia,All,140,40
Grain corn,Ontario,All,114,40
Grain corn,Prince Edward Island,All,130,40
Grain corn,Quebec,All,123,40
Hay - grass,British Columbia,All,86,40
Hay - grass,Manitoba,All,56,40
Hay - grass,New Brunswick,All,48,40
Hay - grass,Newfoundland and Labrador,All,48,40
Hay - grass,Nova Scotia,All,48,40
Hay - grass,Ontario,All,60,40
Hay - grass,Prince Edward Island,All,50,40
Hay - grass,Quebec,All,60,40
Hay - legume,British Columbia,All,0,40
Hay - legume,Manitoba,All,0,40
Hay - legume,New Brunswick,All,28,40
Hay - legume,Newfoundland and Labrador,All,28,40
Hay - legume,Nova Scotia,All,28,40
Hay - legume,Ontario,All,0,40
Hay - legume,Prince Edward Island,All,20,40
