Soil_Z,Year,Species,Cluster,Mortality_pct,Age,TEC_MgCkmyr,TEC_MgCkm,Biom_MgCkmyr,Biom_MgCkm,DOM_MgCkmyr,DOM_MgCkm,Stems,km_per_ha,Stems_tosum1ha
BLK_,2016,Green Ash,BLK_1,0,1,,80.71433258,,0,,80.71433258,751,7.478855154,3739.427577
BLK_,2016,Green Ash,BLK_2,0,1,,80.71433258,,0,,80.71433258,751,7.478855154,3739.427577
BLK_,2016,Green Ash,BLK_3,0,1,,80.71433258,,0,,80.71433258,751,7.478855154,3739.427577
BLK_,2016,Green Ash,BLK_4,0,1,,71.27082825,,0,,71.27082825,751,7.478855154,3739.427577
BLK_,2016,Green Ash,BLK_5,0,1,,95.28058624,,0,,95.28058624,751,7.478855154,3739.427577
BLK_,2016,Green Ash,BLK_6,0,1,,95.28058624,,0,,95.28058624,751,7.478855154,3739.427577
BRN_,2016,Green Ash,BRN_1,0,1,,54.55612946,,0,,54.55612946,751,7.478855154,3739.427577
BRN_,2016,Green Ash,BRN_2,0,1,,54.55612946,,0,,54.55612946,751,7.478855154,3739.427577
BRN_,2016,Green Ash,BRN_3,0,1,,54.55612946,,0,,54.55612946,751,7.478855154,3739.427577
BRN_,2016,Green Ash,BRN_4,0,1,,66.00237274,,0,,66.00237274,751,7.478855154,3739.427577
BRN_,2016,Green Ash,BRN_5,0,1,,66.00237274,,0,,66.00237274,751,7.478855154,3739.427577
BRN_,2016,Green Ash,BRN_6,0,1,,66.00237274,,0,,66.00237274,751,7.478855154,3739.427577
BRN_,2016,Green Ash,BRN_7,0,1,,48.18215942,,0,,48.18215942,751,7.478855154,3739.427577
BRN_,2016,Green Ash,BRN_8,0,1,,48.18215942,,0,,48.18215942,751,7.478855154,3739.427577
D_BR,2016,Green Ash,D_BRN_1,0,1,,48.18215942,,0,,48.18215942,751,7.478855154,3739.427577
D_BR,2016,Green Ash,D_BRN_2,0,1,,69.73973083,,0,,69.73973083,751,7.478855154,3739.427577
D_BR,2016,Green Ash,D_BRN_3,0,1,,69.73973083,,0,,69.73973083,751,7.478855154,3739.427577
D_BR,2016,Green Ash,D_BRN_4,0,1,,69.73973083,,0,,69.73973083,751,7.478855154,3739.427577
D_BR,2016,Green Ash,D_BRN_5,0,1,,70.00541687,,0,,70.00541687,751,7.478855154,3739.427577
D_BR,2016,Green Ash,D_BRN_6,0,1,,70.00541687,,0,,70.00541687,751,7.478855154,3739.427577
D_BR,2016,Green Ash,D_BRN_7,0,1,,70.00541687,,0,,70.00541687,751,7.478855154,3739.427577
D_GR,2016,Green Ash,D_GRAY_1,0,1,,84.99273682,,0,,84.99273682,751,7.478855154,3739.427577
D_GR,2016,Green Ash,D_GRAY_2,0,1,,84.99273682,,0,,84.99273682,751,7.478855154,3739.427577
D_GR,2016,Green Ash,D_GRAY_3,0,1,,84.99273682,,0,,84.99273682,751,7.478855154,3739.427577
D_GR,2016,Green Ash,D_GRAY_4,0,1,,75.69580841,,0,,75.69580841,751,7.478855154,3739.427577
GRAY,2016,Green Ash,GRAY_1,0,1,,75.69580841,,0,,75.69580841,751,7.478855154,3739.427577
GRAY,2016,Green Ash,GRAY_2,0,1,,75.69580841,,0,,75.69580841,751,7.478855154,3739.427577
GRAY,2016,Green Ash,GRAY_3,0,1,,41.45203018,,0,,41.45203018,751,7.478855154,3739.427577
GRAY,2016,Green Ash,GRAY_4,0,1,,41.45203018,,0,,41.45203018,751,7.478855154,3739.427577
GRAY,2016,Green Ash,GRAY_5,0,1,,41.45203018,,0,,41.45203018,751,7.478855154,3739.427577
GRAY,2016,Green Ash,GRAY_6,0,1,,71.27082825,,0,,71.27082825,751,7.478855154,3739.427577
BLK_,2016,Green Ash,BLK_1,15,1,,80.71433258,,0,,80.71433258,639,8.798653123,4399.326561
BLK_,2016,Green Ash,BLK_2,15,1,,80.71433258,,0,,80.71433258,639,8.798653123,4399.326561
BLK_,2016,Green Ash,BLK_3,15,1,,80.71433258,,0,,80.71433258,639,8.798653123,4399.326561
BLK_,2016,Green Ash,BLK_4,15,1,,71.27082825,,0,,71.27082825,639,8.798653123,4399.326561
BLK_,2016,Green Ash,BLK_5,15,1,,95.28058624,,0,,95.28058624,639,8.798653123,4399.326561
BLK_,2016,Green Ash,BLK_6,15,1,,95.28058624,,0,,95.28058624,639,8.798653123,4399.326561
BRN_,2016,Green Ash,BRN_1,15,1,,54.55612946,,0,,54.55612946,639,8.798653123,4399.326561
BRN_,2016,Green Ash,BRN_2,15,1,,54.55612946,,0,,54.55612946,639,8.798653123,4399.326561
BRN_,2016,Green Ash,BRN_3,15,1,,54.55612946,,0,,54.55612946,639,8.798653123,4399.326561
BRN_,2016,Green Ash,BRN_4,15,1,,66.00237274,,0,,66.00237274,639,8.798653123,4399.326561
BRN_,2016,Green Ash,BRN_5,15,1,,66.00237274,,0,,66.00237274,639,8.798653123,4399.326561
BRN_,2016,Green Ash,BRN_6,15,1,,66.00237274,,0,,66.00237274,639,8.798653123,4399.326561
BRN_,2016,Green Ash,BRN_7,15,1,,48.18215942,,0,,48.18215942,639,8.798653123,4399.326561
BRN_,2016,Green Ash,BRN_8,15,1,,48.18215942,,0,,48.18215942,639,8.798653123,4399.326561
D_BR,2016,Green Ash,D_BRN_1,15,1,,48.18215942,,0,,48.18215942,639,8.798653123,4399.326561
D_BR,2016,Green Ash,D_BRN_2,15,1,,69.73973083,,0,,69.73973083,639,8.798653123,4399.326561
D_BR,2016,Green Ash,D_BRN_3,15,1,,69.73973083,,0,,69.73973083,639,8.798653123,4399.326561
D_BR,2016,Green Ash,D_BRN_4,15,1,,69.73973083,,0,,69.73973083,639,8.798653123,4399.326561
