Soil_Z,Year,Species,Cluster,Mortality_pct,Age,TEC_MgCkmyr,TEC_MgCkm,Biom_MgCkmyr,Biom_MgCkm,DOM_MgCkmyr,DOM_MgCkm,Stems,km_per_ha,Stems_tosum1ha
BLK_,1956,Manitoba maple,BLK_1,0,1,,76.63770294,,0,,76.63770294,791,4.747211014,2373.605507
BLK_,1956,Manitoba maple,BLK_2,0,1,,76.63770294,,0,,76.63770294,791,4.747211014,2373.605507
BLK_,1956,Manitoba maple,BLK_3,0,1,,76.63770294,,0,,76.63770294,791,4.747211014,2373.605507
BLK_,1956,Manitoba maple,BLK_4,0,1,,67.67115021,,0,,67.67115021,791,4.747211014,2373.605507
BLK_,1956,Manitoba maple,BLK_5,0,1,,95.28058624,,0,,95.28058624,791,4.747211014,2373.605507
BLK_,1956,Manitoba maple,BLK_6,0,1,,95.28058624,,0,,95.28058624,791,4.747211014,2373.605507
BRN_,1956,Manitoba maple,BRN_1,0,1,,51.80065918,,0,,51.80065918,791,4.747211014,2373.605507
BRN_,1956,Manitoba maple,BRN_2,0,1,,51.80065918,,0,,51.80065918,791,4.747211014,2373.605507
BRN_,1956,Manitoba maple,BRN_3,0,1,,51.80065918,,0,,51.80065918,791,4.747211014,2373.605507
BRN_,1956,Manitoba maple,BRN_4,0,1,,62.66878128,,0,,62.66878128,791,4.747211014,2373.605507
BRN_,1956,Manitoba maple,BRN_5,0,1,,62.66878128,,0,,62.66878128,791,4.747211014,2373.605507
BRN_,1956,Manitoba maple,BRN_6,0,1,,62.66878128,,0,,62.66878128,791,4.747211014,2373.605507
BRN_,1956,Manitoba maple,BRN_7,0,1,,45.74861908,,0,,45.74861908,791,4.747211014,2373.605507
BRN_,1956,Manitoba maple,BRN_8,0,1,,45.74861908,,0,,45.74861908,791,4.747211014,2373.605507
D_BR,1956,Manitoba maple,D_BRN_1,0,1,,45.74861908,,0,,45.74861908,791,4.747211014,2373.605507
D_BR,1956,Manitoba maple,D_BRN_2,0,1,,66.21737671,,0,,66.21737671,791,4.747211014,2373.605507
D_BR,1956,Manitoba maple,D_BRN_3,0,1,,66.21737671,,0,,66.21737671,791,4.747211014,2373.605507
D_BR,1956,Manitoba maple,D_BRN_4,0,1,,66.21737671,,0,,66.21737671,791,4.747211014,2373.605507
D_BR,1956,Manitoba maple,D_BRN_5,0,1,,66.4696579,,0,,66.4696579,791,4.747211014,2373.605507
D_BR,1956,Manitoba maple,D_BRN_6,0,1,,66.4696579,,0,,66.4696579,791,4.747211014,2373.605507
D_BR,1956,Manitoba maple,D_BRN_7,0,1,,66.4696579,,0,,66.4696579,791,4.747211014,2373.605507
D_GR,1956,Manitoba maple,D_GRAY_1,0,1,,80.69999695,,0,,80.69999695,791,4.747211014,2373.605507
D_GR,1956,Manitoba maple,D_GRAY_2,0,1,,80.69999695,,0,,80.69999695,791,4.747211014,2373.605507
D_GR,1956,Manitoba maple,D_GRAY_3,0,1,,80.69999695,,0,,80.69999695,791,4.747211014,2373.605507
D_GR,1956,Manitoba maple,D_GRAY_4,0,1,,71.87262726,,0,,71.87262726,791,4.747211014,2373.605507
GRAY,1956,Manitoba maple,GRAY_1,0,1,,71.87262726,,0,,71.87262726,791,4.747211014,2373.605507
GRAY,1956,Manitoba maple,GRAY_2,0,1,,71.87262726,,0,,71.87262726,791,4.747211014,2373.605507
GRAY,1956,Manitoba maple,GRAY_3,0,1,,39.35840988,,0,,39.35840988,791,4.747211014,2373.605507
GRAY,1956,Manitoba maple,GRAY_4,0,1,,39.35840988,,0,,39.35840988,791,4.747211014,2373.605507
GRAY,1956,Manitoba maple,GRAY_5,0,1,,39.35840988,,0,,39.35840988,791,4.747211014,2373.605507
GRAY,1956,Manitoba maple,GRAY_6,0,1,,67.67115021,,0,,67.67115021,791,4.747211014,2373.605507
BLK_,1956,Manitoba maple,BLK_1,15,1,,76.63770294,,0,,76.63770294,673,5.584954134,2792.477067
BLK_,1956,Manitoba maple,BLK_2,15,1,,76.63770294,,0,,76.63770294,673,5.584954134,2792.477067
BLK_,1956,Manitoba maple,BLK_3,15,1,,76.63770294,,0,,76.63770294,673,5.584954134,2792.477067
BLK_,1956,Manitoba maple,BLK_4,15,1,,67.67115021,,0,,67.67115021,673,5.584954134,2792.477067
BLK_,1956,Manitoba maple,BLK_5,15,1,,95.28058624,,0,,95.28058624,673,5.584954134,2792.477067
BLK_,1956,Manitoba maple,BLK_6,15,1,,95.28058624,,0,,95.28058624,673,5.584954134,2792.477067
BRN_,1956,Manitoba maple,BRN_1,15,1,,51.80065918,,0,,51.80065918,673,5.584954134,2792.477067
BRN_,1956,Manitoba maple,BRN_2,15,1,,51.80065918,,0,,51.80065918,673,5.584954134,2792.477067
BRN_,1956,Manitoba maple,BRN_3,15,1,,51.80065918,,0,,51.80065918,673,5.584954134,2792.477067
BRN_,1956,Manitoba maple,BRN_4,15,1,,62.66878128,,0,,62.66878128,673,5.584954134,2792.477067
BRN_,1956,Manitoba maple,BRN_5,15,1,,62.66878128,,0,,62.66878128,673,5.584954134,2792.477067
BRN_,1956,Manitoba maple,BRN_6,15,1,,62.66878128,,0,,62.66878128,673,5.584954134,2792.477067
BRN_,1956,Manitoba maple,BRN_7,15,1,,45.74861908,,0,,45.74861908,673,5.584954134,2792.477067
BRN_,1956,Manitoba maple,BRN_8,15,1,,45.74861908,,0,,45.74861908,673,5.584954134,2792.477067
D_BR,1956,Manitoba maple,D_BRN_1,15,1,,45.74861908,,0,,45.74861908,673,5.584954134,2792.477067
D_BR,1956,Manitoba maple,D_BRN_2,15,1,,66.21737671,,0,,66.21737671,673,5.584954134,2792.477067
D_BR,1956,Manitoba maple,D_BRN_3,15,1,,66.21737671,,0,,66.21737671,673,5.584954134,2792.477067
D_BR,1956,Manitoba maple,D_BRN_4,15,1,,66.21737671,,0,,66.21737671,673,5.584954134,2792.477067
D_BR,1956,Manitoba maple,D_BRN_5,15,1,,66.4696579,,0,,66.4696579,673,5.584954134,2792.477067
D_BR,1956,Manitoba maple,D_BRN_6,15,1,,66.4696579,,0,,66.4696579,673,5.584954134,2792.477067
D_BR,1956,Manitoba maple,D_BRN_7,15,1,,66.4696579,,0,,66.4696579,673,5.584954134,2792.477067
D_GR,1956,Manitoba maple,D_GRAY_1,15,1,,80.69999695,,0,,80.69999695,673,5.584954134,2792.477067
D_GR,1956,Manitoba maple,D_GRAY_2,15,1,,80.69999695,,0,,80.69999695,673,5.584954134,2792.477067
D_GR,1956,Manitoba maple,D_GRAY_3,15,1,,80.69999695,,0,,80.69999695,673,5.584954134,2792.477067
D_GR,1956,Manitoba maple,D_GRAY_4,15,1,,71.87262726,,0,,71.87262726,673,5.584954134,2792.477067
GRAY,1956,Manitoba maple,GRAY_1,15,1,,71.87262726,,0,,71.87262726,673,5.584954134,2792.477067
