Soil_Z,Year,Species,Cluster,Mortality_pct,Age,TEC_MgCkmyr,TEC_MgCkm,Biom_MgCkmyr,Biom_MgCkm,DOM_MgCkmyr,DOM_MgCkm,Stems,km_per_ha,Stems_tosum1ha
BLK_,2016,Scots pine,BLK_1,0,1,,99.46031189,,0,,99.46031189,610,6.199675663,3099.837832
BLK_,2016,Scots pine,BLK_2,0,1,,99.46031189,,0,,99.46031189,610,6.199675663,3099.837832
BLK_,2016,Scots pine,BLK_3,0,1,,99.46031189,,0,,99.46031189,610,6.199675663,3099.837832
BLK_,2016,Scots pine,BLK_4,0,1,,87.82353973,,0,,87.82353973,610,6.199675663,3099.837832
BLK_,2016,Scots pine,BLK_5,0,1,,95.28058624,,0,,95.28058624,610,6.199675663,3099.837832
BLK_,2016,Scots pine,BLK_6,0,1,,95.28058624,,0,,95.28058624,610,6.199675663,3099.837832
BRN_,2016,Scots pine,BRN_1,0,1,,67.22682953,,0,,67.22682953,610,6.199675663,3099.837832
BRN_,2016,Scots pine,BRN_2,0,1,,67.22682953,,0,,67.22682953,610,6.199675663,3099.837832
BRN_,2016,Scots pine,BRN_3,0,1,,67.22682953,,0,,67.22682953,610,6.199675663,3099.837832
BRN_,2016,Scots pine,BRN_4,0,1,,81.33146667,,0,,81.33146667,610,6.199675663,3099.837832
BRN_,2016,Scots pine,BRN_5,0,1,,81.33146667,,0,,81.33146667,610,6.199675663,3099.837832
BRN_,2016,Scots pine,BRN_6,0,1,,81.33146667,,0,,81.33146667,610,6.199675663,3099.837832
BRN_,2016,Scots pine,BRN_7,0,1,,59.372509,,0,,59.372509,610,6.199675663,3099.837832
BRN_,2016,Scots pine,BRN_8,0,1,,59.372509,,0,,59.372509,610,6.199675663,3099.837832
D_BR,2016,Scots pine,D_BRN_1,0,1,,59.372509,,0,,59.372509,610,6.199675663,3099.837832
D_BR,2016,Scots pine,D_BRN_2,0,1,,85.93683624,,0,,85.93683624,610,6.199675663,3099.837832
D_BR,2016,Scots pine,D_BRN_3,0,1,,85.93683624,,0,,85.93683624,610,6.199675663,3099.837832
D_BR,2016,Scots pine,D_BRN_4,0,1,,85.93683624,,0,,85.93683624,610,6.199675663,3099.837832
D_BR,2016,Scots pine,D_BRN_5,0,1,,86.26423645,,0,,86.26423645,610,6.199675663,3099.837832
D_BR,2016,Scots pine,D_BRN_6,0,1,,86.26423645,,0,,86.26423645,610,6.199675663,3099.837832
D_BR,2016,Scots pine,D_BRN_7,0,1,,86.26423645,,0,,86.26423645,610,6.199675663,3099.837832
D_GR,2016,Scots pine,D_GRAY_1,0,1,,104.732399,,0,,104.732399,610,6.199675663,3099.837832
D_GR,2016,Scots pine,D_GRAY_2,0,1,,104.732399,,0,,104.732399,610,6.199675663,3099.837832
D_GR,2016,Scots pine,D_GRAY_3,0,1,,104.732399,,0,,104.732399,610,6.199675663,3099.837832
D_GR,2016,Scots pine,D_GRAY_4,0,1,,93.27622223,,0,,93.27622223,610,6.199675663,3099.837832
