Group,Crop,Growing season precip + irrigation (mm),Moisture content of product (% w/w),"Soil Organic C
(SOC)",SOC units,"Bulk density
(BD)",BD units,Relative C allocation coefficient,,,,References,,N content (g N/kg),,,,References,,Fertilization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tillage ,,,,,,,,,,,Irrigation ,,,,,,,,,,,Pesticide ,,,,,,,,,,Lignin Content
,,,,,,,,,,,,,,,,,,,,Nitrogen rates (kg ha-1) calculate as Fert amount = cropNuptake / FertUseEfficiency (0.5) - SoilNsupply (if user indicates use of SoilNtest),,,,,,,,,,,,,,,,,Phosphorus rates (kg ha-1) calculate as Fert amount = cropPuptake / FertUseEfficiency (0.3) - SoilPsupply (if user indicates use of SoilPtest),,,,,,,,,,,,,,,,,"(no till, reduced, or conventional)",,,,,,,,,,,"(mm, if)",,,,,,,,,,,(# of applications),,,,,,,,,,
,,,,,,,,"Rp
Product","Rs
Straw","Rr
Root","Re
Extra-root",,,"Np
Product","Ns
Straw","Nr
Root","Ne
Extra-root",,,BC,AB,,,,,SK,,,MB,ON,QC,NB,PEI,NS,NFL,,BC,AB,,,,,SK,,,MB,ON,QC,NB,PEI,NS,NFL,,BC,AB,SK,MB,ON,QC,NB,PEI,NS,NFL,,BC,AB,SK,MB,ON,QC,NB,PEI,NS,NFL,,BC,AB,SK,MB,ON,QC,NB,PEI,NS,NFL,
,,,,,,,,,,,,,,,,,,,,,Brown,Darkbrown,Black,Gray,irrigated,Brown,Darkbrown,Black,,,,,,,,,,Brown,Darkbrown,Black,Gray,irrigated,Brown,Darkbrown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summerfallow,,0,,,,,0,0,0,0,,,0,0,0,,Janzen et al. (2003),,0,0,0,0,0,-,0,0,0,0,-,-,-,-,-,-,,0,0,0,0,0,-,0,0,0,0,-,-,-,-,-,-,,,no till,no till,no till,-,-,-,-,-,-,,0,0,0,0,-,-,-,-,-,-,,0,2,2,2,-,-,-,-,-,-,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small-grain cereals,Small grain cereals,Rainfed  ,12,,,,,0.32,0.511,0.102,0.067,Little et al. (2008),,23.9,6,10,,Little et al. (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conventional,no till,no till,conventional,conventional,conventional,conventional,conventional,conventional,conventional,,,,,,,,,,,,,,,,,,,,,,,0.074
,Wheat,<200 mm,12,,,,,0.219,0.551,0.136,0.095,Fang et al. (2016),,27.9,8.6,13.4,,Gan et al. (2009); Gan et al. (2011),,,22.04,22.04,28.02,33.63,123.29,78.46,81.82,86.31,61.65,,,,,,,,,5.6,5.6,11.21,16.81,56.04,38.11,40.35,42.59,33.63,,,,,,,,conventional,no till,no till,conventional,conventional,conventional,conventional,conventional,conventional,conventional,,,,,,,,,,,,,,,,,,,,,,,0.053
,Wheat,200 -350 mm,12,,,,,0.244,0.518,0.147,0.091,Gan et al. (2011),,26.3,8.2,10.4,,Gan et al. (2009),,,39.23,39.23,44.83,67.25,123.29,95.27,109.84,121.05,89.67,,,,,,,,,11.21,16.81,28.02,33.63,,38.11,43.71,47.08,38.11,,,,,,,,conventional,no till,no till,conventional,conventional,conventional,conventional,conventional,conventional,conventional,,,,,,,,,,,,,,,,,,,,,,,0.053
,Wheat,>350 mm,12,,,,,0.431,0.488,0.049,0.032,Soon and Lupwayi (2012),,56.2,6.5,11.9,,Bolinder et al. (2007); Janzen et al. (2003),,,56.04,56.04,67.25,89.67,123.29,105.36,119.93,121.05,112.09,,,,,,,,,16.81,28.02,39.23,44.83,,41.47,47.08,47.08,44.83,,,,,,,,conventional,no till,no till,conventional,conventional,conventional,conventional,conventional,conventional,conventional,,,,,,,,,,,,,,,,,,,,,,,0.053
,Barley,<350,12,,,,,0.451,0.4,0.09,0.059,Bolinder et al. (2007),,19,7,10,,Janzen et al. (2003),,,22.04,39.23,39.23,44.83,145.71,77.34,82.94,90.79,61.65,,,,,,,,,11.21,16.81,16.81,16.81,56.04,33.63,35.87,39.23,33.63,,,,,,,,conventional,no till,no till,conventional,conventional,conventional,conventional,conventional,conventional,conventional,,,,,,,,,,,,,,,,,,,,,,,0.046
,Barley,350-750,12,,,,,0.432,0.445,0.074,0.048,Soon and Lupwayi (2012),,23.9,7.3,9.7,,Soon and Lupwayi (2012),,,39.23,56.04,61.65,78.46,145.71,95.27,100.88,110.96,84.06,,,,,,,,,16.81,28.02,28.02,33.63,,38.11,43.71,48.2,38.11,,,,,,,,conventional,no till,no till,conventional,conventional,conventional,conventional,conventional,conventional,conventional,,,,,,,,,,,,,,,,,,,,,,,0.046
