Hardiness,Species,Mortality_pct,Age,TEC_MgCkmyr_min,TEC_MgCkmyr_max,TEC_MgCkmyr_wavg,TEC_MgCkm_min,TEC_MgCkm_max,TEC_MgCkm_wavg,Biom_MgCkmyr_min,Biom_MgCkmyr_max,Biom_MgCkmyr_wavg,Biom_MgCkm_min,Biom_MgCkm_max,Biom_MgCkm_wavg,DOM_MgCkmyr_min,DOM_MgCkmyr_max,DOM_MgCkmyr_wavg,DOM_MgCkm_min,DOM_MgCkm_max,DOM_MgCkm_wavg,Stems_min,Stems_max,Stems_wavg,km_per_ha_min,km_per_ha_max,km_per_ha_wavg,Stems_tosum1ha_min,Stems_tosum1ha_max,Stems_tosum1ha_wavg
2A,Caragana,0,1,,,,59.07855988,107.8836899,64.48021885,,,,0,0,0,,,,59.07855988,107.8836899,64.48021885,527,527,527,27.62313388,27.62313388,27.62313388,13811.56694,13811.56694,13811.56694
2A,Caragana,0,2,-0.300484419,-0.193606526,-0.258388443,58.77807236,107.6640396,64.22182815,0.001185012,0.001380137,0.001239326,0.001185012,0.001380137,0.001239326,-0.301669419,-0.194891393,-0.25962776,58.7768898,107.6627045,64.22059022,527,527,527,12.21011683,12.21011683,12.21011683,6105.058415,6105.058415,6105.058415
2A,Caragana,0,3,-0.292144209,-0.185102955,-0.249909008,58.4859314,107.4532471,63.97192118,0.008033261,0.009148015,0.00835269,0.009218273,0.010528152,0.009592017,-0.300177485,-0.193729788,-0.258261703,58.47671127,107.4429779,63.96232778,527,527,527,7.573899439,7.573899439,7.573899439,3786.949719,3786.949719,3786.949719
2A,Caragana,0,4,-0.276325881,-0.168697521,-0.233733446,58.20960236,107.2593689,63.73818542,0.021384614,0.024025301,0.02215776,0.030602885,0.034553453,0.031749776,-0.297710508,-0.191529825,-0.255891216,58.17900085,107.2255783,63.7064367,527,527,527,5.397177368,5.397177368,5.397177368,2698.588684,2698.588684,2698.588684
2A,Caragana,0,5,-0.252716601,-0.144239083,-0.209597862,57.95688629,107.0907898,63.52858876,0.04108179,0.045729365,0.042466193,0.071684673,0.080282815,0.074215969,-0.293798387,-0.187928542,-0.252064054,57.88520432,107.0120773,63.45437398,527,527,527,4.555101312,4.555101312,4.555101312,2277.550656,2277.550656,2277.550656
2A,Caragana,0,6,-0.221059844,-0.111158393,-0.177146026,57.7358284,106.9560928,63.35144361,0.067011029,0.07406991,0.069145104,0.138695702,0.154352725,0.143361073,-0.288070858,-0.182209253,-0.246291121,57.59712982,106.8044739,63.20808086,527,527,527,4.091364806,4.091364806,4.091364806,2045.682403,2045.682403,2045.682403
2A,Caragana,0,7,-0.181106314,-0.070781291,-0.136852924,57.55472183,106.8628769,63.21459012,0.099064812,0.10888195,0.102072537,0.237760514,0.263234675,0.245433609,-0.280171126,-0.175564781,-0.238925463,57.31695938,106.6039124,62.96915597,527,527,527,3.73631291,3.73631291,3.73631291,1868.156455,1868.156455,1868.156455
2A,Caragana,0,8,-0.13313894,-0.021908393,-0.088113664,57.42158127,106.8205566,63.12647591,0.137127057,0.150001496,0.14112026,0.374887586,0.413236171,0.386553878,-0.270265996,-0.166658029,-0.229233921,57.04669571,106.4134903,62.73992229,527,527,527,3.453757039,3.453757039,3.453757039,1726.878519,1726.878519,1726.878519
2A,Caragana,0,9,-0.076950595,0.034979682,-0.031065262,57.3446312,106.8389969,63.09541111,0.181063622,0.197251961,0.186143302,0.555951178,0.610488117,0.572697169,-0.258014202,-0.155816182,-0.21720856,56.78868103,106.2369461,62.52271396,527,527,527,3.222315516,3.222315516,3.222315516,1611.157758,1611.157758,1611.157758
2A,Caragana,0,10,-0.014445661,0.105639815,0.034807539,57.33018494,106.9262161,63.13021816,0.230715901,0.250435442,0.236972889,0.786667109,0.860923588,0.809670071,-0.245161563,-0.13710542,-0.202165356,56.54351807,106.0763397,62.32054838,527,527,527,3.028457451,3.028457451,3.028457451,1514.228726,1514.228726,1514.228726
