Crop,a,b,c,d,e
Alfalfa seed,1.05E-01,3.82E-03,-6.77E-06,4.83E-09,-1.25E-12
Tame legume,1.05E-01,3.82E-03,-6.77E-06,4.83E-09,-1.25E-12
Barley,4.22E-02,1.51E-03,4.89E-06,-8.69E-09,2.49E-12
Barley silage,4.48E-02,1.44E-03,5.25E-06,-9.33E-09,2.84E-12
Barley silage underseed,4.52E-02,1.44E-03,5.23E-06,-9.26E-09,2.79E-12
Undersown Barley,4.52E-02,1.44E-03,5.23E-06,-9.26E-09,2.79E-12
Brome hay,1.01240697,0.004093333,,,
Canary seed,-1.38E-02,2.50E-03,8.09E-07,-3.44E-09,9.49E-13
Canola,8.70E-02,7.13E-03,-0.0000197,0.000000023,-9.63E-12
Caraway,-2.11E-02,2.70E-03,-2.05E-07,-1.72E-09,3.45E-14
Carrot,1.61E-03,1.38E-03,-1.94E-06,2.22E-09,-9.93E-13
Vegetables,1.61E-03,1.38E-03,-1.94E-06,2.22E-09,-9.93E-13
Corn silage,6.47E-03,1.81E-03,-0.00000262,3.69E-09,-1.86E-12
Silage Corn,6.47E-03,1.81E-03,-0.00000262,3.69E-09,-1.86E-12
CPS wheat,4.79E-02,2.98E-03,-1.34E-06,-5.84E-10,-4.15E-13
Dill,-1.95E-02,2.65E-03,8.74E-08,-2.21E-09,2.86E-13
Dry bean,-3.66E-02,2.53E-03,-0.00000218,7.59E-10,-2.92E-13
Beans (dryfield),-3.66E-02,2.53E-03,-0.00000218,7.59E-10,-2.92E-13
Dry peas,2.98E-02,3.16E-03,-3.84E-06,2.91E-09,-1.44E-12
Durum,-1.91E-02,2.64E-03,1.07E-07,-2.23E-09,2.98E-13
Faba bean,2.30E-02,1.67E-03,-5.34E-07,1.50E-09,-1.40E-12
Flax,7.42E-02,1.87E-03,8.66E-07,-1.70E-09,-2.89E-13
Flaxseed,7.42E-02,1.87E-03,8.66E-07,-1.70E-09,-2.89E-13
Fresh corn (sweet),7.09E-02,1.23E-03,-1.07E-07,3.04E-10,-4.83E-13
Corn,7.09E-02,1.23E-03,-1.07E-07,3.04E-10,-4.83E-13
Fresh peas,8.57E-03,2.83E-03,-3.73E-06,4.55E-09,-3.03E-12
Chickpea,8.57E-03,2.83E-03,-3.73E-06,4.55E-09,-3.03E-12
Field peas,8.57E-03,2.83E-03,-3.73E-06,4.55E-09,-3.03E-12
Grain corn ,7.64E-03,1.79E-03,-0.000002537,3.56E-09,-1.79E-12
Tame grass,1.01E+00,4.11E-03,,,
Grass Hay,1.01E+00,4.11E-03,,,
Grass seed,1.01E+00,4.09E-03,,,
Forage for Seed,1.01E+00,4.09E-03,,,
