Ecozone,Texture,PerennialCroppingChange,LumCMax,k
Boreal Shield West,Coarse,IncreaseInPerennialCroppingArea,1942,0.035
Boreal Shield West,Coarse,DecreaseInPerennialCroppingArea,-1942,0.035
Boreal Shield West,Medium,IncreaseInPerennialCroppingArea,2757,0.0253
Boreal Shield West,Medium,DecreaseInPerennialCroppingArea,-2757,0.0253
Boreal Shield West,Fine,IncreaseInPerennialCroppingArea,3532,0.0218
Boreal Shield West,Fine,DecreaseInPerennialCroppingArea,-3532,0.0218
Atlantic Maritimes,Coarse,IncreaseInPerennialCroppingArea,3769,0.0254
Atlantic Maritimes,Coarse,DecreaseInPerennialCroppingArea,-3769,0.0254
Atlantic Maritimes,Medium,IncreaseInPerennialCroppingArea,4813,0.019
Atlantic Maritimes,Medium,DecreaseInPerennialCroppingArea,-4813,0.019
Atlantic Maritimes,Fine,IncreaseInPerennialCroppingArea,5281,0.0222
Atlantic Maritimes,Fine,DecreaseInPerennialCroppingArea,-5281,0.0222
Boreal Plains,Coarse,IncreaseInPerennialCroppingArea,2080,0.0296
Boreal Plains,Coarse,DecreaseInPerennialCroppingArea,-2080,0.0296
Boreal Plains,Medium,IncreaseInPerennialCroppingArea,3241,0.0216
Boreal Plains,Medium,DecreaseInPerennialCroppingArea,-3241,0.0216
Boreal Plains,Fine,IncreaseInPerennialCroppingArea,4107,0.0179
Boreal Plains,Fine,DecreaseInPerennialCroppingArea,-4107,0.0179
Boreal Shield East,Coarse,IncreaseInPerennialCroppingArea,3115,0.0299
Boreal Shield East,Coarse,DecreaseInPerennialCroppingArea,-3115,0.0299
Boreal Shield East,Medium,IncreaseInPerennialCroppingArea,4945,0.0215
Boreal Shield East,Medium,DecreaseInPerennialCroppingArea,-4945,0.0215
Boreal Shield East,Fine,IncreaseInPerennialCroppingArea,5586,0.0165
Boreal Shield East,Fine,DecreaseInPerennialCroppingArea,-5586,0.0165
Mixedwood Plains,Coarse,IncreaseInPerennialCroppingArea,3001,0.0299
Mixedwood Plains,Coarse,DecreaseInPerennialCroppingArea,-3001,0.0299
Mixedwood Plains,Medium,IncreaseInPerennialCroppingArea,3691,0.0241
Mixedwood Plains,Medium,DecreaseInPerennialCroppingArea,-3691,0.0241
Mixedwood Plains,Fine,IncreaseInPerennialCroppingArea,4865,0.0215
Mixedwood Plains,Fine,DecreaseInPerennialCroppingArea,-4865,0.0215
Semiarid Prairies,Coarse,IncreaseInPerennialCroppingArea,1639,0.0336
Semiarid Prairies,Coarse,DecreaseInPerennialCroppingArea,-1639,0.0336
Semiarid Prairies,Medium,IncreaseInPerennialCroppingArea,2519,0.0289
Semiarid Prairies,Medium,DecreaseInPerennialCroppingArea,-2519,0.0289
Semiarid Prairies,Fine,IncreaseInPerennialCroppingArea,3750,0.0218
Semiarid Prairies,Fine,DecreaseInPerennialCroppingArea,-3750,0.0218
Montane Cordillera,Coarse,IncreaseInPerennialCroppingArea,2231,0.0197
Montane Cordillera,Coarse,DecreaseInPerennialCroppingArea,-2231,0.0197
Montane Cordillera,Medium,IncreaseInPerennialCroppingArea,3787,0.0174
Montane Cordillera,Medium,DecreaseInPerennialCroppingArea,-3787,0.0174
Montane Cordillera,Fine,IncreaseInPerennialCroppingArea,4803,0.0108
Montane Cordillera,Fine,DecreaseInPerennialCroppingArea,-4803,0.0108
Pacific Maritime,Coarse,IncreaseInPerennialCroppingArea,3043,0.0167
Pacific Maritime,Coarse,DecreaseInPerennialCroppingArea,-3043,0.0167
Pacific Maritime,Medium,IncreaseInPerennialCroppingArea,6071,0.0123
Pacific Maritime,Medium,DecreaseInPerennialCroppingArea,-6071,0.0123
Pacific Maritime,Fine,IncreaseInPerennialCroppingArea,5193,0.0113
Pacific Maritime,Fine,DecreaseInPerennialCroppingArea,-5193,0.0113
Subhumid Prairies,Coarse,IncreaseInPerennialCroppingArea,1756,0.0298
Subhumid Prairies,Coarse,DecreaseInPerennialCroppingArea,-1756,0.0298
Subhumid Prairies,Medium,IncreaseInPerennialCroppingArea,2735,0.0249
Subhumid Prairies,Medium,DecreaseInPerennialCroppingArea,-2735,0.0249
Subhumid Prairies,Fine,IncreaseInPerennialCroppingArea,3036,0.0187
Subhumid Prairies,Fine,DecreaseInPerennialCroppingArea,-3036,0.0187
