,,,,,,CFP at plant gate ,,
,,,,,,Production (US numbers),Application,
Fert product,Abbrev.,%N,%P,%K,%S,kg CO2 eq. kg product -1,,
Urea,Urea,46,0,0,0,1.18,0.73,Brentrup et al. 2016.
Ammonia,NH3,82,0,0,0,1.07,,
Urea ammonium nitrate,UAN,28,0,0,0,1.5,0.25,Brentrup et al. 2016.
Ammonium nitrate,AN,34,0,0,0,2.52,,Brentrup et al. 2016.
Calcium ammonium nitrate,CAN,27,0,0,0,2.08,,Brentrup et al. 2016.
Ammonium sulphate,AS,20.5,0,0,24,0.69,,Brentrup et al. 2016.
MES,,13,33,0,15,,,
Monoammonium phosphate,MAP,11,52,0,0,,,
Diammonium phosphate,DAP,18,46,0,0,0.73,,Brentrup et al. 2016.
Triple superphosphate,TSP,0,48,0,0,0.19,,Brentrup et al. 2016.
Potash,MOP or Potash,0,0,60,0,0.23,,Brentrup et al. 2016.
NPK,NPK,15,15,15,0,1.27,,Brentrup et al. 2016.
Calcium nitrate,CN,15.5,0,0,0,1.76,,Brentrup et al. 2016.
Ammonium nitrosulphate,ANS,26,0,0,14,1.44,,Brentrup et al. 2016.
,,,,,,,,
"Brentrup, F., Hoxha, A., Christensen, B., 2016. Carbon footprint analysis of mineral fertilizer production in Europe and other world regions. ",,,,,,,,
The 10th International Conference on Life Cycle Assessment of Food (LCA Food 2016).,,,,,,,,
,,,,,,,,
NRC (Natural Resources Canada) 2008. Canadian ammonia producers : benchmarking energy efficiency and carbon dioxide emissions / prepared for the Canadian Fertilizer Institute ,,,,,,,,
and Natural Resources Canada. Published by the Canadian Industry Program for Energy Conservation. Cat. No. M144-155/2007E-PDF (Online). ISBN 978-0-662-46150-0,,,,,,,,
