"Table 69. Fractions of dairy cattle N volatilized as ammonia resulting from the application of manure N fertilizer, from select years, 1990–2020, at a provincial scale",,,,,,,,,,,
Implied EF (kg NH3-N volatilized kg-1 manure N applied),,,,,,,,,,,
,,,,,,,,,,,
Year,BC,AB,SK,MB,ON,QC,NS,NB,NL,PEI,
1990,0.1,0.13,0.15,0.16,0.18,0.17,0.2,0.2,0.19,0.18,
1995,0.09,0.13,0.15,0.16,0.18,0.17,0.19,0.19,0.19,0.18,
2000,0.09,0.12,0.14,0.15,0.17,0.16,0.18,0.18,0.19,0.18,
2005,0.08,0.11,0.13,0.14,0.17,0.15,0.16,0.17,0.19,0.18,
2010,0.09,0.11,0.12,0.13,0.16,0.15,0.15,0.16,0.19,0.17,
2015,0.09,0.11,0.12,0.13,0.16,0.15,0.15,0.16,0.19,0.17,
2016,0.09,0.11,0.12,0.13,0.16,0.15,0.15,0.16,0.19,0.17,
2017,0.09,0.11,0.12,0.13,0.16,0.15,0.15,0.16,0.19,0.17,
2018,0.09,0.11,0.12,0.13,0.16,0.15,0.15,0.16,0.19,0.17,
2019,0.09,0.11,0.12,0.13,0.16,0.15,0.15,0.16,0.19,0.17,
2020,0.09,0.11,0.12,0.13,0.16,0.15,0.15,0.16,0.19,0.17,
,,,,,,,,,,,
,,,,,,,,,,,"Source: ECCC (2022). For years other than the select years in the above table, the volatilization fraction is determined based on the nearest neighbour approach."
