AVERAGE MONTHLY INDOOR BARN TEMPERATURES SUMMARY (OC),,,,,,,,,,,,,
,,Jan ,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
British Columbia,,6.201752804,6.552435083,6.918192633,9.242312884,12.96939757,19.1135931,21.3558599,21.58294402,17.90813532,13.32843929,8.99802474,7.377690249
Alberta,,2.767742149,2.376671756,4.950975575,7.786454463,12.21275064,17.70633217,19.00274808,17.92325531,14.18188056,7.394590455,4.870277062,3.824933543
Saskatchewan,,2.767742149,2.376671756,4.950975575,7.786454463,12.21275064,17.70633217,19.00274808,17.92325531,14.18188056,7.394590455,4.870277062,3.824933543
Manitoba,,2.767742149,2.376671756,4.950975575,7.786454463,12.21275064,17.70633217,19.00274808,17.92325531,14.18188056,7.394590455,4.870277062,3.824933543
Ontario,,4.244800107,4.204597305,7.458748373,10.93424092,15.07116995,21.242531,21.55479818,22.72447713,17.53068522,12.95178243,8.034468457,5.034700666
Quebec,,12.53970509,12.35603299,13.4045558,14.88614377,17.19358786,20.77108073,20.61752835,21.53815748,18.17493194,15.78830128,14.50276574,13.180836
New Brunswick,,6.201752804,6.552435083,6.918192633,9.242312884,12.96939757,19.1135931,21.3558599,21.58294402,17.90813532,13.32843929,8.99802474,7.377690249
Nova Scotia,,6.201752804,6.552435083,6.918192633,9.242312884,12.96939757,19.1135931,21.3558599,21.58294402,17.90813532,13.32843929,8.99802474,7.377690249
Prince Edward Island,,6.201752804,6.552435083,6.918192633,9.242312884,12.96939757,19.1135931,21.3558599,21.58294402,17.90813532,13.32843929,8.99802474,7.377690249
Newfoundland,,6.201752804,6.552435083,6.918192633,9.242312884,12.96939757,19.1135931,21.3558599,21.58294402,17.90813532,13.32843929,8.99802474,7.377690249
