Manure type,,Moisture content (%),N content (% wet wt),C content (% wet wt),P content (% wet wt),C:N ratio
Beef cattle,Pasture/range/paddock (1),86,0.294,6.182,0.047,21.02
Beef cattle,Deep bedding (2),60.08,0.715,12.63,0.223,17.66
Beef cattle,Solid storage (3),60.43,0.722,8.58,0.254,11.88
Beef cattle,Compost - passive windrow (4),62.35,0.659,9.16,0.255,13.9
Beef cattle,Compost - intensive windrow (5),37.42,1.041,14.48,0.398,13.91
Dairy cattle,Pasture/range/paddock,86 (1),-9 (6),6.182 (1),0.118 (6),-9 (6)
Dairy cattle,Deep bedding (2),60.08,0.715,12.63,0.223,17.66
Dairy cattle,Solid storage (7),77.3,0.392,2.99,0.118,7.63
Dairy cattle,Compost - passive windrow (8),78.11,0.265,4.72,-9,17.81
Dairy cattle,Compost - intensive windrow (8),78.11,0.265,4.72,-9,17.81
Swine,Composted in-vessel (9),79.23,0.279,9.13,-9,32.72
Sheep,Pasture/range/paddock ,75.0 (10),0.765 (10),6.182 (1),0.211 (10),8.08
Sheep,Solid storage,67.8 (11),0.870 (11),8.58 (3),0.340 (11),9.86
Poultry,Solid storage - with or without litter (12),44.83,2.427,10.12,1.06,4.17
Llamas ,Pasture/range/paddock,75.0 (13),0.765 (13),6.182 (1),0.211 (13),8.08
Alpacas,Pasture/range/paddock,75.0 (13),0.765 (13),6.182 (1),0.211 (13),8.08
Deer,Pasture/range/paddock (1),86,0.294,6.182,0.047,21.02
Elk,Pasture/range/paddock (1),86,0.29,6.182,0.047,21.02
Goats,Pasture/range/paddock,75 (13),1.096 (14),6.182 (1),0.271 (14),5.64
Horses,Pasture/range/paddock,80.0 (15),0.590 (15),6.182 (1),0.140 (15),10.48
Mules,Pasture/range/paddock,80.0 (16),0.590 (16),6.182 (1),0.140 (16),10.48
Bison,Pasture (17),86,0.294,6.182,0.047,21.02
Llamas,Solid Storage,67.8 (18),0.870 (18),8.58 (3),0.340 (18),9.86
Alpacas,Solid Storage,67.8 (18),0.870 (18),8.58 (3),0.340 (18),9.86
Deer,Solid Storage,35 (19),0.638 (19),8.58 (3),0.214 (19),13.45
Elk,Solid Storage,35 (19),0.638 (19),8.58 (3),0.214 (19),13.45
Goats,Solid Storage,53.58 (20),0.729 (20),8.58 (3),0.280 (20),11.77
Horses,Solid Storage,56.65 (21),0.864 (21),8.58 (3),0.155 (21),9.93
Mules,Solid Storage,56.65 (22),0.864 (22),8.58 (3),0.155 (22),9.93
