CropType,MoistureContent,AGRNConc,BGRNConc,YieldRatio,AGRRatio,BGRRatio,Yield
Barley,0.12,0.007,0.01,0.38,0.47,0.15,1268
Barley silage,0.55,0.007,0.01,0.72,0.13,0.15,2000
Buckwheat,0.12,0.006,0.01,0.24,0.56,0.2,618
Canary seed,0.12,0.007,0.01,0.2,0.6,0.2,445
Canola,0.09,0.008,0.01,0.26,0.6,0.15,748
Chickpeas,0.13,0.018,0.01,0.29,0.51,0.2,520
Coloured/white faba beans,0.13,0.01,0.01,0.46,0.34,0.2,975
Dry peas,0.13,0.018,0.01,0.29,0.51,0.2,943
Durum,0.12,0.006,0.01,0.34,0.51,0.15,1333
Flax,0.08,0.007,0.01,0.26,0.6,0.15,585
Fodder corn,0.7,0.013,0.007,0.72,0.08,0.2,22133
Grain corn,0.15,0.005,0.007,0.47,0.38,0.15,3153
Hay - grass,0.13,0.016,0.01,0.18,0.12,0.7,2080
Hay - legume,0.13,0.015,0.015,0.4,0.1,0.5,2080
Hay - mixed,0.13,0.015,0.015,0.4,0.1,0.5,2080
Hay and forage seed,0.13,0.015,0.013,0.12,0.48,0.4,2048
Lentils,0.13,0.01,0.01,0.28,0.52,0.2,585
Mixed grains,0.12,0.0063,0.01,0.33,0.47,0.2,1203
Mustard,0.09,0.008,0.01,0.26,0.6,0.15,400
Oats,0.12,0.006,0.01,0.33,0.47,0.2,1008
Potatoes,0.75,0.02,0.01,0.68,0.23,0.1,12750
Rye,0.12,0.006,0.01,0.34,0.51,0.15,1008
Safflower,0.02,0.01,0.01,0.27,0.53,0.2,731
Soybeans,0.14,0.006,0.01,0.3,0.45,0.25,1008
Spring wheat,0.12,0.006,0.01,0.34,0.51,0.15,1333
Sunflower seed,0.02,0.01,0.01,0.27,0.53,0.2,829
Triticale,0.12,0.006,0.01,0.32,0.48,0.2,1235
Winter wheat,0.12,0.006,0.01,0.34,0.51,0.15,1820
