"Table 70. Fractions of swine N volatilized as ammonia resulting from the application of manure N fertilizer, from select years, 1990–2020, at a provincial scale",,,,,,,,,,,
Implied EF (kg NH3-N volatilized kg-1 manure N applied),,,,,,,,,,,
,,,,,,,,,,,
Year,BC,AB,SK,MB,ON,QC,NS,NB,NL,PEI,
1990,0.22,0.14,0.15,0.14,0.21,0.26,0.28,0.28,0.22,0.28,
1995,0.22,0.13,0.13,0.12,0.21,0.25,0.27,0.27,0.22,0.27,
2000,0.22,0.13,0.12,0.11,0.2,0.25,0.25,0.25,0.23,0.26,
2005,0.22,0.12,0.12,0.11,0.2,0.24,0.24,0.25,0.22,0.25,
2010,0.21,0.12,0.12,0.11,0.2,0.24,0.23,0.24,0.23,0.25,
2015,0.21,0.13,0.12,0.11,0.2,0.24,0.25,0.24,0.22,0.25,
2016,0.21,0.13,0.12,0.11,0.2,0.24,0.25,0.24,0.22,0.25,
2017,0.21,0.13,0.12,0.11,0.2,0.24,0.25,0.24,0.22,0.25,
2018,0.21,0.13,0.12,0.11,0.2,0.24,0.25,0.24,0.22,0.25,
2019,0.21,0.13,0.12,0.11,0.2,0.24,0.25,0.24,0.22,0.25,
2020,0.2,0.13,0.12,0.11,0.2,0.24,0.26,0.24,0.23,0.25,
,,,,,,,,,,,
,,,,,,,,,,,"Source: ECCC (2022). For years other than the select years in the above table, the volatilization fraction is determined based on the nearest neighbour approach."
