Group,Crop,,Moisture content of product (% w/w),,Relative C allocation coefficient,,,,References,,N content (g N/kg),,,References,,Lignin Content,Biomethane potential (Nm^3 ton^-1 VS) for straw/silage,f_CH4 Fraction of methane in biogas,Volatile Solids (% TS),TS (kg t^-1)^3,TN Substrate (Kg N t^-1)^5
,,,,,,,,,,,,,,,,,,,,,
,,,,,Rp Product,Rs Straw,Rr Root,Re Extra-root,,,Np Product,Ns Straw,Nr Root / Ne Extra-root,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Summerfallow,,0,,0,0,0,0,,,0,0,0,Janzen et al. (2003),,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Small-grain cereals,Small grain cereals,Rainfed,12,,0.32,0.511,0.102,0.067,Little et al. (2008),,23.9,6,10,Little et al. (2008),,0.073,,,,,
,Wheat,<200 mm,12,,0.219,0.551,0.136,0.095,Fang et al. (2016),,27.9,8.6,13.4,Gan et al. (2009); Gan et al. (2011),,0.053,162,0.6,90,880,7.8
,Wheat,200 -350 mm,12,,0.244,0.518,0.147,0.091,Gan et al. (2011),,26.3,8.2,10.4,Gan et al. (2009),,0.053,162,0.6,90,880,7.8
,Wheat,>350 mm,12,,0.431,0.488,0.049,0.032,Soon and Lupwayi (2012),,56.2,6.5,11.9,Bolinder et al. (2007); Janzen et al. (2003),,0.053,162,0.6,90,880,7.8
,Barley,<350,12,,0.451,0.4,0.09,0.059,Bolinder et al. (2007),,19,7,10,Janzen et al. (2003),,0.046,267,0.44,90,880,6.1
,Barley,350-750,12,,0.432,0.445,0.074,0.048,Soon and Lupwayi (2012),,23.9,7.3,9.7,Soon and Lupwayi (2012),,0.046,267,0.44,90,880,6.1
,Barley,>750,12,,0.424,0.498,0.047,0.031,Hakala et al. (2009),,19,3.8,9.5,Hakala et al. (2009),,0.046,267,0.44,90,880,6.1
,Undersown Barley,Canada,12,,0.411,0.241,0.211,0.137,Bolinder et al. (2007),,19,7,10,Janzen et al. (2003),,0.046,267,0.44,90,880,6.1
,Oats,Canada,12,,0.319,0.283,0.241,0.157,Bolinder et al. (2007),,18,6,10,Janzen et al. (2003),,0.047,287,0.52,90,880,6
,Triticale,Canada,12,,0.26,0.506,0.142,0.092,Bolinder et al. (2007),,22,6,10,Janzen et al. (2003),,0.053,195,0.6,90,880,6
,Sorghum,Canada,12,,0.219,0.656,0.075,0.05,Bolinder et al. (2007),,25,6,10,Little et al. (2008),,0.06,,,,,
,Canary seed,Canada,8,,0.21,0.511,0.212,0.067,Janzen et al. (2003); Little et al. (2008),,25,7,10,Cogliatti et al. (2011),,0.073,,,,,
,Buckwheat,Canada,12,,0.32,0.511,0.102,0.067,Small grain cereals (Little et al. 2008),,18,6,10,Janzen et al. (2003),,0.053,,,,,
,Mixed grains,Canada,12,,0.32,0.511,0.102,0.067,Small grain cereals (Little et al. 2008),,22.3,6.3,10,Janzen et al. (2003),,0.047,,,,,
,Grain corn,Canada,15,,0.386,0.387,0.138,0.089,Bolinder et al. (2007),,15,5,7,Janzen et al. (2003),,0.11,427,0.54,88,850,5
,,,,,,,,,,,,,,,,,,,,,
Silage,Corn Silage,Canada,70,,0.866,0,0.081,0.053,Bolinder et al. (2007),,13,13,7,Dietzel et al. (2014); Janzen et al. (2003),,0.11,304,0.45,95,640,13
,Barley Silage,<350,63,,0.851,0,0.09,0.059,,,12.7,0,10,,,0.046,,,,,
,Barley Silage,350-750,63,,0.877,0,0.074,0.048,,,12.1,0,9.7,,,0.046,,,,,
,Barley Silage,>750,63,,0.922,0,0.047,0.031,,,29.7,0,9.5,,,0.046,,,,,
,Oat Silage,Canada,62,,0.602,0,0.241,0.157,,,8.1,0,10,,,0.047,442,0.6,83,380,8.1
,Triticale Silage,Canada,60,,0.766,0,0.142,0.092,,,14.5,0,10,,,0.053,,,,,
,Wheat Silage,<200 mm,57,,0.77,0,0.136,0.095,,,14.1,0,13.4,,,0.053,,,,,
,Wheat Silage,200 -350 mm,57,,0.762,0,0.147,0.091,,,14,0,10.4,,,0.053,,,,,
