ProvinceID,EcodistrictTextureID,RFTexture
Alberta,Fine,1
Alberta,Medium,1
Alberta,Coarse,1
British Columbia,Fine,1
British Columbia,Medium,1
British Columbia,Coarse,1
Manitoba,Fine,1
Manitoba,Medium,1
Manitoba,Coarse,1
New Brunswick,Fine,1.2
New Brunswick,Medium,0.8
New Brunswick,Coarse,0.8
Newfoundland and Labrador,Fine,1.2
Newfoundland and Labrador,Medium,0.8
Newfoundland and Labrador,Coarse,0.8
Nova Scotia,Fine,1.2
Nova Scotia,Medium,0.8
Nova Scotia,Coarse,0.8
Ontario,Fine,1.2
Ontario,Medium,0.8
Ontario,Coarse,0.8
Prince Edward Island,Fine,1.2
Prince Edward Island,Medium,0.8
Prince Edward Island,Coarse,0.8
Quebec,Fine,1.2
Quebec,Medium,0.8
Quebec,Coarse,0.8
Saskatchewan,Fine,1
Saskatchewan,Medium,1
Saskatchewan,Coarse,1
