ProvinceID,PresentTillage,RFTill
Alberta,No-till,0.8
Alberta,Reduced,0.8
Alberta,Intensive,1
British Columbia,No-till,1
British Columbia,Reduced,1
British Columbia,Intensive,1
Manitoba,No-till,0.8
Manitoba,Reduced,0.8
Manitoba,Intensive,1
New Brunswick,No-till,1.1
New Brunswick,Reduced,1.1
New Brunswick,Intensive,1
Newfoundland and Labrador,No-till,1.1
Newfoundland and Labrador,Reduced,1.1
Newfoundland and Labrador,Intensive,1
Nova Scotia,No-till,1.1
Nova Scotia,Reduced,1.1
Nova Scotia,Intensive,1
Ontario,No-till,1.1
Ontario,Reduced,1.1
Ontario,Intensive,1
Prince Edward Island,No-till,1.1
Prince Edward Island,Reduced,1.1
Prince Edward Island,Intensive,1
Quebec,No-till,1.1
Quebec,Reduced,1.1
Quebec,Intensive,1
Saskatchewan,No-till,0.8
Saskatchewan,Reduced,0.8
Saskatchewan,Intensive,1
