Soil_Z,Year,Species,Cluster,Mortality_pct,Age,TEC_MgCkmyr,TEC_MgCkm,Biom_MgCkmyr,Biom_MgCkm,DOM_MgCkmyr,DOM_MgCkm,Stems,km_per_ha,Stems_tosum1ha
BLK_,1993,White spruce,BLK_1,50,38,2.716645956,138.160675,2.115757704,37.8881073,0.600888133,100.2725677,318,2.679815629,1339.907814
BLK_,1994,White spruce,BLK_1,50,39,2.678153038,140.8388214,2.140276432,40.02838516,0.537876606,100.8104401,318,2.611102407,1305.551204
BLK_,1995,White spruce,BLK_1,50,40,2.936226845,143.7750549,2.388517857,42.41690063,0.547708988,101.3581543,318,2.545824847,1272.912424
BLK_,1996,White spruce,BLK_1,50,41,3.045698881,146.820755,2.391992331,44.80889511,0.653706431,102.0118561,318,2.545824847,1272.912424
BLK_,1997,White spruce,BLK_1,50,42,2.005949259,148.8267059,1.408599854,46.21749496,0.597349465,102.6092072,318,2.545824847,1272.912424
BLK_,1998,White spruce,BLK_1,50,43,1.9799335,150.8066406,1.356103539,47.57359695,0.623829961,103.2330399,318,2.545824847,1272.912424
BLK_,1999,White spruce,BLK_1,50,44,2.278134584,153.0847626,1.473011732,49.04660797,0.805122912,104.0381622,318,2.545824847,1272.912424
BLK_,2000,White spruce,BLK_1,50,45,2.042503595,155.1272736,1.662517309,50.70912552,0.379986286,104.4181442,318,2.545824847,1272.912424
BLK_,2001,White spruce,BLK_1,50,46,1.844251156,156.9715271,1.600994706,52.31011963,0.243256524,104.6614075,318,2.545824847,1272.912424
BLK_,2002,White spruce,BLK_1,50,47,1.874124408,158.8456421,1.580054522,53.89017487,0.294069916,104.9554749,318,2.545824847,1272.912424
BLK_,2003,White spruce,BLK_1,50,48,1.748462915,160.5941162,1.217334509,55.10750961,0.531128347,105.4866028,318,2.545824847,1272.912424
BLK_,2004,White spruce,BLK_1,50,49,1.779069662,162.3731842,1.47390306,56.58141327,0.305166572,105.7917709,318,2.545824847,1272.912424
BLK_,2005,White spruce,BLK_1,50,50,1.903302789,164.2764893,1.321017623,57.90243149,0.582285106,106.374054,318,2.545824847,1272.912424
BLK_,2006,White spruce,BLK_1,50,51,2.159954309,166.4364319,1.689451456,59.5918808,0.470502853,106.8445587,318,2.545824847,1272.912424
BLK_,2007,White spruce,BLK_1,50,52,2.344180584,168.7806244,1.813326836,61.40520859,0.530853748,107.375412,318,2.545824847,1272.912424
BLK_,2008,White spruce,BLK_1,50,53,1.844856501,170.625473,1.500335097,62.90554428,0.344521344,107.7199326,318,2.545824847,1272.912424
BLK_,2009,White spruce,BLK_1,50,54,1.718134165,172.3436127,1.501303315,64.40684509,0.21683082,107.9367599,318,2.545824847,1272.912424
BLK_,2010,White spruce,BLK_1,50,55,1.809987307,174.153595,1.392690063,65.79953766,0.417297214,108.3540573,318,2.545824847,1272.912424
BLK_,2011,White spruce,BLK_1,50,56,2.178211212,176.3318024,1.621543646,67.42108154,0.556667626,108.9107285,318,2.545824847,1272.912424
BLK_,2012,White spruce,BLK_1,50,57,2.247009516,178.5788116,1.622192979,69.04327393,0.624816537,109.5355453,318,2.545824847,1272.912424
BLK_,2013,White spruce,BLK_1,50,58,2.001069069,180.5798798,1.631129265,70.67440033,0.369939893,109.9054871,318,2.545824847,1272.912424
BLK_,2014,White spruce,BLK_1,50,59,1.770956159,182.3508453,1.374316454,72.04872131,0.396639735,110.302124,318,2.545824847,1272.912424
BLK_,2015,White spruce,BLK_1,50,60,1.595445275,183.9462891,1.314305067,73.36302185,0.281140149,110.5832672,318,2.545824847,1272.912424
BLK_,1956,White spruce,BLK_2,0,1,,95.28058624,,0,,95.28058624,636,518.4979322,259248.9661
BLK_,1957,White spruce,BLK_2,0,2,-0.324108899,94.9564743,0,0,-0.324108899,94.9564743,636,129.6244831,64812.24153
BLK_,1958,White spruce,BLK_2,0,3,-0.323046863,94.63343048,0,0,-0.323046863,94.63343048,636,57.61088136,28805.44068
