Soil_Z,Year,Species,Cluster,Mortality_pct,Age,TEC_MgCkmyr,TEC_MgCkm,Biom_MgCkmyr,Biom_MgCkm,DOM_MgCkmyr,DOM_MgCkm,Stems,km_per_ha,Stems_tosum1ha
BLK_,2051,White spruce,BLK_1,30,36,3.275836468,143.8815002,2.837223768,45.25704193,0.438612729,98.62446594,446,2.020495911,1010.247955
BLK_,2052,White spruce,BLK_1,30,37,3.016026735,146.8975372,2.923733234,48.18077469,0.092293337,98.71675873,446,1.965887913,982.9439565
BLK_,2053,White spruce,BLK_1,30,38,3.481854916,150.3793945,3.056187868,51.23696136,0.425667018,99.14242554,446,1.91415402,957.0770102
BLK_,2054,White spruce,BLK_1,30,39,3.807789564,154.1871796,3.170964003,54.40792465,0.636825442,99.7792511,446,1.865073148,932.5365741
BLK_,2055,White spruce,BLK_1,30,40,3.739225388,157.9264069,3.382945061,57.79087067,0.356280267,100.1355362,446,1.818446319,909.2231597
BLK_,2056,White spruce,BLK_1,30,41,3.672903299,161.5993042,3.265518904,61.05638885,0.407384247,100.5429153,446,1.818446319,909.2231597
BLK_,2057,White spruce,BLK_1,30,42,2.681299686,164.2806091,2.174579144,63.23096848,0.506720483,101.0496368,446,1.818446319,909.2231597
BLK_,2058,White spruce,BLK_1,30,43,2.675910234,166.9565125,2.184367895,65.41533661,0.49154228,101.5411835,446,1.818446319,909.2231597
BLK_,2059,White spruce,BLK_1,30,44,2.651264906,169.6077881,2.150675297,67.56600952,0.500589609,102.0417709,446,1.818446319,909.2231597
BLK_,2060,White spruce,BLK_1,30,45,2.608720303,172.216507,2.18855381,69.75456238,0.420166433,102.461937,446,1.818446319,909.2231597
BLK_,2061,White spruce,BLK_1,30,46,2.662648678,174.8791504,2.226320744,71.98088837,0.436327875,102.898262,446,1.818446319,909.2231597
BLK_,2062,White spruce,BLK_1,30,47,2.871558666,177.7507019,2.401822329,74.38270569,0.469736487,103.3680038,446,1.818446319,909.2231597
BLK_,2063,White spruce,BLK_1,30,48,2.635481119,180.3861847,2.144821644,76.52752686,0.490659565,103.8586578,446,1.818446319,909.2231597
BLK_,2064,White spruce,BLK_1,30,49,2.600048542,182.9862366,2.057143688,78.58467102,0.542904973,104.4015656,446,1.818446319,909.2231597
BLK_,2065,White spruce,BLK_1,30,50,2.620529175,185.6067657,2.179268837,80.7639389,0.441260427,104.8428268,446,1.818446319,909.2231597
BLK_,2066,White spruce,BLK_1,30,51,2.819481373,188.4262543,2.337763309,83.10170746,0.481718242,105.3245468,446,1.818446319,909.2231597
BLK_,2067,White spruce,BLK_1,30,52,2.380482674,190.8067322,2.109390974,85.21109772,0.271091551,105.5956345,446,1.818446319,909.2231597
BLK_,2068,White spruce,BLK_1,30,53,2.411205292,193.2179413,2.26774621,87.47884369,0.143459126,105.7390976,446,1.818446319,909.2231597
BLK_,2069,White spruce,BLK_1,30,54,2.484827995,195.7027588,2.364057064,89.84290314,0.120771125,105.8598633,446,1.818446319,909.2231597
BLK_,2070,White spruce,BLK_1,30,55,2.592166424,198.2949371,2.225112438,92.06801605,0.367053986,106.2269211,446,1.818446319,909.2231597
BLK_,2071,White spruce,BLK_1,30,56,2.607391357,200.9023285,2.171634197,94.23964691,0.43575722,106.662674,446,1.818446319,909.2231597
BLK_,2072,White spruce,BLK_1,30,57,2.400392771,203.3027191,2.257693768,96.49733734,0.142699003,106.8053741,446,1.818446319,909.2231597
BLK_,2073,White spruce,BLK_1,30,58,2.605673552,205.9083862,2.249050856,98.7463913,0.356622607,107.1619949,446,1.818446319,909.2231597
BLK_,2074,White spruce,BLK_1,30,59,2.590829134,208.4992218,2.318897963,101.0652924,0.271931082,107.4339294,446,1.818446319,909.2231597
BLK_,2075,White spruce,BLK_1,30,60,2.710572481,211.2097931,2.120343447,103.1856308,0.590229034,108.0241547,446,1.818446319,909.2231597
BLK_,2016,White spruce,BLK_1,50,1,,95.28058624,,0,,95.28058624,318,1036.995864,518497.9322
BLK_,2017,White spruce,BLK_1,50,2,-0.157211304,95.12337494,0,0,-0.157211304,95.12337494,318,259.2489661,129624.4831
BLK_,2018,White spruce,BLK_1,50,3,-0.156692505,94.96668243,0,0,-0.156692505,94.96668243,318,115.2217627,57610.88136
BLK_,2019,White spruce,BLK_1,50,4,-0.156176761,94.8105011,0,0,-0.156176761,94.8105011,318,64.81224153,32406.12076
BLK_,2020,White spruce,BLK_1,50,5,-0.155664057,94.65483856,0,0,-0.155664057,94.65483856,318,41.47983458,20739.91729
BLK_,2021,White spruce,BLK_1,50,6,-0.155148312,94.49969482,0,0,-0.155148312,94.49969482,318,28.80544068,14402.72034
BLK_,2022,White spruce,BLK_1,50,7,-0.154635623,94.34505463,0,0,-0.154635623,94.34505463,318,21.16318091,10581.59045
BLK_,2023,White spruce,BLK_1,50,8,-0.154125974,94.19093323,0,0,-0.154125974,94.19093323,318,16.20306038,8101.530191
BLK_,2024,White spruce,BLK_1,50,9,-0.143127561,94.04780579,0.010153886,0.010153886,-0.15328145,94.03765106,318,12.80241808,6401.20904
BLK_,2025,White spruce,BLK_1,50,10,-0.143091261,93.90470886,0.009106561,0.019260447,-0.152197823,93.88545227,318,10.36995864,5184.979322
BLK_,2026,White spruce,BLK_1,50,11,-0.116415866,93.78829193,0.033869568,0.053130016,-0.150285438,93.73516846,318,9.257544899,4628.77245
BLK_,2027,White spruce,BLK_1,50,12,-0.076226905,93.71206665,0.070715703,0.123845719,-0.146942616,93.58822632,318,8.486082824,4243.041412
BLK_,2028,White spruce,BLK_1,50,13,-0.000329775,93.71173859,0.139860436,0.263706148,-0.140190214,93.44803619,318,7.833307222,3916.653611
BLK_,2029,White spruce,BLK_1,50,14,0.122948073,93.83468628,0.250079244,0.513785422,-0.127131179,93.32089996,318,7.273785278,3636.892639
BLK_,2030,White spruce,BLK_1,50,15,0.233924642,94.06861115,0.344463766,0.858249187,-0.110539138,93.2103653,318,6.788866259,3394.43313
BLK_,2031,White spruce,BLK_1,50,16,0.360325009,94.42893982,0.452724576,1.310973763,-0.09239956,93.1179657,318,6.364562118,3182.281059
BLK_,2032,White spruce,BLK_1,50,17,0.50723958,94.93617249,0.574213445,1.885187268,-0.06697385,93.05098724,318,5.990176111,2995.088056
BLK_,2033,White spruce,BLK_1,50,18,0.685218155,95.6213913,0.726238549,2.611425877,-0.041020397,93.00997162,318,5.657388549,2828.694275
BLK_,2034,White spruce,BLK_1,50,19,0.840367556,96.46176147,0.848863542,3.46028924,-0.008496037,93.00147247,318,5.359631257,2679.815629
BLK_,2035,White spruce,BLK_1,50,20,0.971845269,97.43360901,0.939746082,4.400035381,0.032099191,93.03356934,318,5.091649695,2545.824847
BLK_,2036,White spruce,BLK_1,50,21,1.10780549,98.54141235,1.051673651,5.45170927,0.056131825,93.08970642,318,4.849190185,2424.595093
BLK_,2037,White spruce,BLK_1,50,22,1.256419301,99.79782867,1.161362171,6.613071442,0.095057182,93.18476105,318,4.62877245,2314.386225
BLK_,2038,White spruce,BLK_1,50,23,1.360203624,101.1580353,1.236663699,7.849734783,0.123539992,93.30830383,318,4.427521473,2213.760737
BLK_,2039,White spruce,BLK_1,50,24,1.571700454,102.7297363,1.391631126,9.241366386,0.180069298,93.4883728,318,4.243041412,2121.520706
BLK_,2040,White spruce,BLK_1,50,25,1.768520713,104.4982605,1.543195844,10.78456211,0.225324854,93.71369171,318,4.073319756,2036.659878
BLK_,2041,White spruce,BLK_1,50,26,1.80963397,106.3078918,1.592829704,12.37739182,0.216804326,93.93049622,318,3.916653611,1958.326806
BLK_,2042,White spruce,BLK_1,50,27,2.161910057,108.4698029,1.869818211,14.24720955,0.292091995,94.22258759,318,3.771592366,1885.796183
BLK_,2043,White spruce,BLK_1,50,28,2.281855106,110.7516556,1.885362864,16.13257217,0.396492243,94.61907959,318,3.636892639,1818.446319
BLK_,2044,White spruce,BLK_1,50,29,2.428189278,113.1798477,2.064190388,18.19676208,0.363999039,94.98308563,318,3.511482548,1755.741274
BLK_,2045,White spruce,BLK_1,50,30,2.661837578,115.8416824,2.229991198,20.426754,0.431846261,95.41493225,318,3.39443313,1697.216565
BLK_,2046,White spruce,BLK_1,50,31,2.856137753,118.6978226,2.348747015,22.77550125,0.507390738,95.9223175,318,3.284935287,1642.467643
BLK_,2047,White spruce,BLK_1,50,32,2.895446301,121.5932693,2.397639275,25.17313957,0.497807145,96.42012787,318,3.182281059,1591.14053
BLK_,2048,White spruce,BLK_1,50,33,3.313673973,124.9069443,2.715196848,27.88833809,0.598477125,97.01860046,318,3.0858483,1542.92415
BLK_,2049,White spruce,BLK_1,50,34,3.269518137,128.1764526,2.703718901,30.59205627,0.565799117,97.58440399,318,2.995088056,1497.544028
BLK_,2050,White spruce,BLK_1,50,35,2.265480518,130.4419403,1.785592794,32.3776474,0.479887784,98.06429291,318,2.909514111,1454.757056
BLK_,2051,White spruce,BLK_1,50,36,2.498271227,132.9402161,1.98083055,34.35847855,0.517440617,98.5817337,318,2.828694275,1414.347137
BLK_,2052,White spruce,BLK_1,50,37,2.240050316,135.1802673,2.036774874,36.39525604,0.203275397,98.78500366,318,2.752243078,1376.121539
BLK_,2053,White spruce,BLK_1,50,38,2.597516537,137.777771,2.123599768,38.51885223,0.473916709,99.25892639,318,2.679815629,1339.907814
BLK_,2054,White spruce,BLK_1,50,39,2.844929218,140.6227112,2.198651791,40.71750641,0.646277189,99.90519714,318,2.611102407,1305.551204
BLK_,2055,White spruce,BLK_1,50,40,2.730811834,143.3535156,2.340933323,43.05843735,0.389878631,100.2950821,318,2.545824847,1272.912424
BLK_,2056,White spruce,BLK_1,50,41,2.68588233,146.0393982,2.259266138,45.31770706,0.426616281,100.7216949,318,2.545824847,1272.912424
BLK_,2057,White spruce,BLK_1,50,42,2.017715693,148.0571136,1.509633422,46.82733917,0.508082271,101.2297745,318,2.545824847,1272.912424
BLK_,2058,White spruce,BLK_1,50,43,2.002463579,150.0595856,1.51363492,48.3409729,0.488828689,101.718605,318,2.545824847,1272.912424
BLK_,2059,White spruce,BLK_1,50,44,1.984590888,152.0441742,1.492350221,49.83332443,0.492240727,102.2108459,318,2.545824847,1272.912424
BLK_,2060,White spruce,BLK_1,50,45,1.932942152,153.9771118,1.517053843,51.35037613,0.415888369,102.6267319,318,2.545824847,1272.912424
BLK_,2061,White spruce,BLK_1,50,46,1.965889335,155.9430084,1.53891623,52.88929367,0.426973104,103.0537109,318,2.545824847,1272.912424
BLK_,2062,White spruce,BLK_1,50,47,2.115860462,158.0588684,1.662021041,54.55131531,0.453839302,103.5075455,318,2.545824847,1272.912424
BLK_,2063,White spruce,BLK_1,50,48,1.956838727,160.0157013,1.487101793,56.03841782,0.469736993,103.9772873,318,2.545824847,1272.912424
BLK_,2064,White spruce,BLK_1,50,49,1.93741703,161.953125,1.423189521,57.46160507,0.514227509,104.4915161,318,2.545824847,1272.912424
BLK_,2065,White spruce,BLK_1,50,50,1.927278042,163.8804016,1.507557273,58.96916199,0.419720799,104.911232,318,2.545824847,1272.912424
BLK_,2066,White spruce,BLK_1,50,51,2.072839022,165.9532318,1.618975043,60.58813858,0.453863859,105.365097,318,2.545824847,1272.912424
BLK_,2067,White spruce,BLK_1,50,52,1.719767332,167.6730042,1.458658218,62.04679871,0.261109114,105.6262054,318,2.545824847,1272.912424
BLK_,2068,White spruce,BLK_1,50,53,1.711535692,169.3845367,1.567256212,63.61405182,0.144279569,105.7704849,318,2.545824847,1272.912424
BLK_,2069,White spruce,BLK_1,50,54,1.75929594,171.1438293,1.636540413,65.25059509,0.122755527,105.8932419,318,2.545824847,1272.912424
BLK_,2070,White spruce,BLK_1,50,55,1.882231236,173.026062,1.538342237,66.7889328,0.343888998,106.2371292,318,2.545824847,1272.912424
BLK_,2071,White spruce,BLK_1,50,56,1.90482986,174.9308929,1.501180291,68.29011536,0.403649628,106.6407776,318,2.545824847,1272.912424
BLK_,2072,White spruce,BLK_1,50,57,1.697292805,176.6281891,1.559774756,69.84989166,0.137518078,106.7782974,318,2.545824847,1272.912424
BLK_,2073,White spruce,BLK_1,50,58,1.884597778,178.5127869,1.555521965,71.40541077,0.329075754,107.1073761,318,2.545824847,1272.912424
BLK_,2074,White spruce,BLK_1,50,59,1.85385251,180.3666382,1.602902651,73.00831604,0.250949949,107.3583221,318,2.545824847,1272.912424
BLK_,2075,White spruce,BLK_1,50,60,2.003621817,182.3702545,1.468978524,74.47729492,0.534643352,107.8929672,318,2.545824847,1272.912424
BLK_,2016,White spruce,BLK_2,0,1,,95.28058624,,0,,95.28058624,636,518.4979322,259248.9661
BLK_,2017,White spruce,BLK_2,0,2,-0.324108899,94.9564743,0,0,-0.324108899,94.9564743,636,129.6244831,64812.24153
BLK_,2018,White spruce,BLK_2,0,3,-0.323046863,94.63343048,0,0,-0.323046863,94.63343048,636,57.61088136,28805.44068
BLK_,2019,White spruce,BLK_2,0,4,-0.321972668,94.31145477,0,0,-0.321972668,94.31145477,636,32.40612076,16203.06038
BLK_,2020,White spruce,BLK_2,0,5,-0.320916742,93.99053955,0,0,-0.320916742,93.99053955,636,20.73991729,10369.95864
BLK_,2021,White spruce,BLK_2,0,6,-0.319854736,93.67068481,0,0,-0.319854736,93.67068481,636,14.40272034,7201.36017
BLK_,2022,White spruce,BLK_2,0,7,-0.31880492,93.35188293,0,0,-0.31880492,93.35188293,636,10.58159045,5290.795227
BLK_,2023,White spruce,BLK_2,0,8,-0.317749023,93.03413391,0,0,-0.317749023,93.03413391,636,8.101530191,4050.765096
BLK_,2024,White spruce,BLK_2,0,9,-0.306190521,92.72794342,0.010153886,0.010153886,-0.31634438,92.7177887,636,6.40120904,3200.60452
BLK_,2025,White spruce,BLK_2,0,10,-0.305589616,92.42234802,0.009106561,0.019260447,-0.314696163,92.40309143,636,5.184979322,2592.489661
BLK_,2026,White spruce,BLK_2,0,11,-0.269909859,92.15244293,0.04199893,0.061259378,-0.311908782,92.09117889,636,4.62877245,2314.386225
BLK_,2027,White spruce,BLK_2,0,12,-0.237295434,91.91514587,0.07019303,0.131452397,-0.307488441,91.78369141,636,4.243041412,2121.520706
BLK_,2028,White spruce,BLK_2,0,13,-0.145933852,91.76921082,0.15367423,0.285126626,-0.299608082,91.48408508,636,3.916653611,1958.326806
BLK_,2029,White spruce,BLK_2,0,14,-0.008294341,91.76091766,0.275937438,0.561064065,-0.284231782,91.19985199,636,3.636892639,1818.446319
BLK_,2030,White spruce,BLK_2,0,15,0.169918716,91.93083954,0.432785034,0.993849099,-0.262866318,90.93698883,636,3.39443313,1697.216565
BLK_,2031,White spruce,BLK_2,0,16,0.419282764,92.35012054,0.652603269,1.646452308,-0.233320504,90.70366669,636,3.182281059,1591.14053
BLK_,2032,White spruce,BLK_2,0,17,0.709343672,93.0594635,0.899717987,2.546170473,-0.190374359,90.51329041,636,2.995088056,1497.544028
BLK_,2033,White spruce,BLK_2,0,18,1.016309857,94.07577515,1.156601191,3.702771664,-0.140291288,90.3730011,636,2.828694275,1414.347137
BLK_,2034,White spruce,BLK_2,0,19,1.358181477,95.43395233,1.435917497,5.138689041,-0.077735983,90.2952652,636,2.679815629,1339.907814
BLK_,2035,White spruce,BLK_2,0,20,1.622566581,97.05651855,1.633371592,6.772060394,-0.01080493,90.28446198,636,2.545824847,1272.912424
BLK_,2036,White spruce,BLK_2,0,21,1.856103897,98.91262054,1.805379868,8.577440262,0.050724126,90.33518219,636,2.424595093,1212.297546
BLK_,2037,White spruce,BLK_2,0,22,2.124055386,101.0366821,2.011977196,10.58941746,0.112078041,90.44726563,636,2.314386225,1157.193112
BLK_,2038,White spruce,BLK_2,0,23,2.337579966,103.3742599,2.183457136,12.77287483,0.154122889,90.60138702,636,2.213760737,1106.880368
BLK_,2039,White spruce,BLK_2,0,24,2.885945082,106.2602081,2.603771448,15.37664604,0.282173485,90.88356018,636,2.121520706,1060.760353
BLK_,2040,White spruce,BLK_2,0,25,3.183409929,109.4436111,2.830211401,18.20685768,0.353198439,91.23675537,636,2.036659878,1018.329939
BLK_,2041,White spruce,BLK_2,0,26,3.184834003,112.6284485,2.799113274,21.00597191,0.385720551,91.62247467,636,1.958326806,979.1634028
BLK_,2042,White spruce,BLK_2,0,27,3.878841162,116.5072861,3.409555674,24.41552734,0.469285607,92.09176636,636,1.885796183,942.8980916
BLK_,2043,White spruce,BLK_2,0,28,4.143654823,120.6509476,3.511784077,27.92731094,0.631870806,92.72363281,636,1.818446319,909.2231597
BLK_,2044,White spruce,BLK_2,0,29,4.039490223,124.6904373,3.422542095,31.34985352,0.616947889,93.3405838,636,1.755741274,877.870637
BLK_,2045,White spruce,BLK_2,0,30,3.303919792,127.9943542,2.643273354,33.99312592,0.660646439,94.00122833,636,1.697216565,848.6082824
BLK_,2046,White spruce,BLK_2,0,31,3.362858534,131.3572083,2.711259604,36.70438766,0.65159899,94.6528244,636,1.642467643,821.2338217
BLK_,2047,White spruce,BLK_2,0,32,3.197016478,134.5542297,2.677097797,39.38148499,0.51991868,95.17274475,636,1.59114053,795.5702648
BLK_,2048,White spruce,BLK_2,0,33,3.650104284,138.2043304,3.076292992,42.45777512,0.573811293,95.74655914,636,1.54292415,771.4620749
BLK_,2049,White spruce,BLK_2,0,34,3.733541727,141.9378815,3.206326962,45.66410446,0.527214885,96.27377319,636,1.497544028,748.7720139
BLK_,2050,White spruce,BLK_2,0,35,3.622559786,145.5604401,3.228363514,48.8924675,0.394196242,96.66796875,636,1.454757056,727.3785278
BLK_,2051,White spruce,BLK_2,0,36,4.045526028,149.605957,3.618350506,52.51081848,0.427175522,97.09514618,636,1.414347137,707.1735687
BLK_,2052,White spruce,BLK_2,0,37,3.945915222,153.5518799,3.732010603,56.24282837,0.213904619,97.30905151,636,1.376121539,688.0607695
BLK_,2053,White spruce,BLK_2,0,38,4.362160683,157.914032,4.015311718,60.25814056,0.346848875,97.65589905,636,1.339907814,669.9539072
BLK_,2054,White spruce,BLK_2,0,39,4.702341557,162.6163788,4.013912201,64.27204895,0.688429296,98.34432983,636,1.305551204,652.7756019
BLK_,2055,White spruce,BLK_2,0,40,4.474333286,167.0907135,4.083596706,68.35565186,0.390736282,98.73506165,636,1.272912424,636.4562118
BLK_,2056,White spruce,BLK_2,0,41,4.557866096,171.6485748,4.186609268,72.54225922,0.371256739,99.10632324,636,1.272912424,636.4562118
BLK_,2057,White spruce,BLK_2,0,42,3.272090673,174.9206696,2.72893858,75.27119446,0.543151975,99.6494751,636,1.272912424,636.4562118
BLK_,2058,White spruce,BLK_2,0,43,3.394144297,178.3148193,2.813896656,78.08509064,0.5802477,100.2297211,636,1.272912424,636.4562118
BLK_,2059,White spruce,BLK_2,0,44,3.360384941,181.6752014,2.890229464,80.97531891,0.470155537,100.6998749,636,1.272912424,636.4562118
BLK_,2060,White spruce,BLK_2,0,45,3.293291092,184.9684906,2.806221247,83.78154755,0.487069905,101.1869431,636,1.272912424,636.4562118
BLK_,2061,White spruce,BLK_2,0,46,3.235387564,188.2038727,2.771380424,86.55292511,0.464007229,101.6509552,636,1.272912424,636.4562118
BLK_,2062,White spruce,BLK_2,0,47,3.344357729,191.548233,2.866936684,89.41986084,0.477421135,102.1283722,636,1.272912424,636.4562118
BLK_,2063,White spruce,BLK_2,0,48,3.198644638,194.7468719,2.727228403,92.1470871,0.471416235,102.5997925,636,1.272912424,636.4562118
