PRUID,PRNAME,CARUID,CARNAME,Split_polys,POLY_ID,ECO_ID
48,Alberta,4870,Census Agricultural Region 7,,242021,242
48,Alberta,4870,Census Agricultural Region 7,,242022,242
48,Alberta,4870,Census Agricultural Region 7,,242023,242
48,Alberta,4860,Census Agricultural Region 6,0,242024,242
48,Alberta,4870,Census Agricultural Region 7,1,242024,242
48,Alberta,4870,Census Agricultural Region 7,,242025,242
48,Alberta,4870,Census Agricultural Region 7,,242026,242
48,Alberta,4860,Census Agricultural Region 6,0,242027,242
48,Alberta,4870,Census Agricultural Region 7,1,242027,242
48,Alberta,4870,Census Agricultural Region 7,,242028,242
48,Alberta,4870,Census Agricultural Region 7,,242029,242
48,Alberta,4860,Census Agricultural Region 6,1,243001,243
48,Alberta,4870,Census Agricultural Region 7,0,243001,243
48,Alberta,4860,Census Agricultural Region 6,,243002,243
48,Alberta,4860,Census Agricultural Region 6,,243003,243
48,Alberta,4860,Census Agricultural Region 6,,243004,243
48,Alberta,4860,Census Agricultural Region 6,,243005,243
48,Alberta,4870,Census Agricultural Region 7,,244029,244
48,Alberta,4870,Census Agricultural Region 7,,244039,244
48,Alberta,4870,Census Agricultural Region 7,,244040,244
48,Alberta,4870,Census Agricultural Region 7,,244041,244
48,Alberta,4870,Census Agricultural Region 7,,244043,244
48,Alberta,4870,Census Agricultural Region 7,,244046,244
48,Alberta,4870,Census Agricultural Region 7,,244047,244
48,Alberta,4870,Census Agricultural Region 7,,244048,244
48,Alberta,4870,Census Agricultural Region 7,,244050,244
48,Alberta,4870,Census Agricultural Region 7,,244052,244
48,Alberta,4870,Census Agricultural Region 7,,244053,244
48,Alberta,4870,Census Agricultural Region 7,,244054,244
48,Alberta,4870,Census Agricultural Region 7,,244055,244
48,Alberta,4870,Census Agricultural Region 7,,244056,244
48,Alberta,4870,Census Agricultural Region 7,,244058,244
48,Alberta,4870,Census Agricultural Region 7,,244059,244
48,Alberta,4870,Census Agricultural Region 7,,244060,244
48,Alberta,4860,Census Agricultural Region 6,0,244061,244
48,Alberta,4870,Census Agricultural Region 7,1,244061,244
48,Alberta,4870,Census Agricultural Region 7,,244062,244
48,Alberta,4870,Census Agricultural Region 7,,244063,244
48,Alberta,4870,Census Agricultural Region 7,,244064,244
48,Alberta,4870,Census Agricultural Region 7,,244065,244
48,Alberta,4870,Census Agricultural Region 7,,244066,244
48,Alberta,4860,Census Agricultural Region 6,0,244067,244
48,Alberta,4870,Census Agricultural Region 7,1,244067,244
48,Alberta,4870,Census Agricultural Region 7,,244068,244
48,Alberta,4870,Census Agricultural Region 7,,244069,244
48,Alberta,4870,Census Agricultural Region 7,,244070,244
48,Alberta,4870,Census Agricultural Region 7,,245001,245
48,Alberta,4870,Census Agricultural Region 7,,245002,245
48,Alberta,4870,Census Agricultural Region 7,,245003,245
48,Alberta,4870,Census Agricultural Region 7,,245004,245
48,Alberta,4870,Census Agricultural Region 7,,245005,245
48,Alberta,4870,Census Agricultural Region 7,,245006,245
48,Alberta,4870,Census Agricultural Region 7,,249006,249
48,Alberta,4870,Census Agricultural Region 7,,250001,250
48,Alberta,4870,Census Agricultural Region 7,,250002,250
48,Alberta,4870,Census Agricultural Region 7,,250003,250
48,Alberta,4870,Census Agricultural Region 7,,250004,250
48,Alberta,4870,Census Agricultural Region 7,,251001,251
48,Alberta,4870,Census Agricultural Region 7,,251002,251
48,Alberta,4870,Census Agricultural Region 7,,251003,251
48,Alberta,4870,Census Agricultural Region 7,,251004,251
48,Alberta,4870,Census Agricultural Region 7,,251005,251
48,Alberta,4870,Census Agricultural Region 7,,251006,251
48,Alberta,4870,Census Agricultural Region 7,,251007,251
48,Alberta,4870,Census Agricultural Region 7,,251008,251
48,Alberta,4870,Census Agricultural Region 7,,251009,251
48,Alberta,4870,Census Agricultural Region 7,,251010,251
48,Alberta,4870,Census Agricultural Region 7,,251011,251
48,Alberta,4870,Census Agricultural Region 7,,251012,251
48,Alberta,4870,Census Agricultural Region 7,,251013,251
48,Alberta,4860,Census Agricultural Region 6,0,253001,253
48,Alberta,4870,Census Agricultural Region 7,1,253001,253
48,Alberta,4860,Census Agricultural Region 6,1,253002,253
48,Alberta,4870,Census Agricultural Region 7,0,253002,253
48,Alberta,4870,Census Agricultural Region 7,,253003,253
48,Alberta,4870,Census Agricultural Region 7,,253004,253
48,Alberta,4860,Census Agricultural Region 6,0,253005,253
48,Alberta,4870,Census Agricultural Region 7,1,253005,253
48,Alberta,4870,Census Agricultural Region 7,,253006,253
48,Alberta,4870,Census Agricultural Region 7,,253007,253
48,Alberta,4860,Census Agricultural Region 6,0,254001,254
48,Alberta,4870,Census Agricultural Region 7,1,254001,254
48,Alberta,4860,Census Agricultural Region 6,0,254002,254
48,Alberta,4870,Census Agricultural Region 7,1,254002,254
48,Alberta,4870,Census Agricultural Region 7,,254003,254
48,Alberta,4870,Census Agricultural Region 7,,254004,254
48,Alberta,4860,Census Agricultural Region 6,,263001,263
48,Alberta,4860,Census Agricultural Region 6,,263006,263
48,Alberta,4860,Census Agricultural Region 6,,263007,263
48,Alberta,4860,Census Agricultural Region 6,,263008,263
48,Alberta,4860,Census Agricultural Region 6,,263009,263
48,Alberta,4860,Census Agricultural Region 6,,263023,263
48,Alberta,4860,Census Agricultural Region 6,,263026,263
48,Alberta,4860,Census Agricultural Region 6,,331005,331
48,Alberta,4860,Census Agricultural Region 6,,331016,331
48,Alberta,4860,Census Agricultural Region 6,,331021,331
48,Alberta,4860,Census Agricultural Region 6,,338004,338
48,Alberta,4860,Census Agricultural Region 6,,574010,574
48,Alberta,4860,Census Agricultural Region 6,,574012,574
48,Alberta,4860,Census Agricultural Region 6,,574013,574
48,Alberta,4860,Census Agricultural Region 6,,574015,574
48,Alberta,4860,Census Agricultural Region 6,,574016,574
48,Alberta,4860,Census Agricultural Region 6,,574017,574
48,Alberta,4860,Census Agricultural Region 6,,574018,574
48,Alberta,4860,Census Agricultural Region 6,,574019,574
48,Alberta,4860,Census Agricultural Region 6,,576003,576
48,Alberta,4860,Census Agricultural Region 6,,576004,576
