PR,CARUID,PRSAD,YEAR,CROP,SEEDED,ESEED,HARV,EHARV,PERHARV,YIELD,YLDLBS,EYIELD,PRODN,PRDLBS,EPRODN,NYIELD,NYLDLBS,NEYIELD,PPYIELD
48,4810,4810,1985,Barley,113000,45700,87000,35200,77.00%,41.7,-99,2200,2488,-99,54200,28.6,-99,1540,-30%
48,4810,4810,1985,Canary seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4810,4810,1985,Canola,21900,8900,21900,8900,100.00%,19.6,-99,1100,405,-99,9200,18.5,-99,1034,-6%
48,4810,4810,1985,Chick peas,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4810,4810,1985,Flaxseed,11600,4700,11600,4700,100.00%,13.8,-99,900,144,-99,3700,12.4,-99,787,-13%
48,4810,4810,1985,Lentils,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4810,4810,1985,Mustard seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4810,4810,1985,Oats,188200,76100,70000,28300,37.20%,54.5,-99,2100,2140,-99,33000,30.6,-99,1166,-44%
48,4810,4810,1985,"Peas, dry",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4810,4810,1985,"Rye, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4810,4810,1985,"Rye, fall remaining",12000,4900,12000,4900,100.00%,24.7,-99,1500,219,-99,5600,18.3,-99,1143,-24%
48,4810,4810,1985,"Rye, spring",15900,6400,15900,6400,100.00%,20,-99,1300,189,-99,4800,11.9,-99,750,-42%
48,4810,4810,1985,Summerfallow,1269000,513400,-99,-99,0.00%,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4810,4810,1985,Sunflower seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4810,4810,1985,"Wheat, all",1434000,580400,1434000,580400,100.00%,23.7,-99,1600,23119,-99,629200,16.1,-99,1084,-32%
48,4810,4810,1985,"Wheat, durum",202000,81800,202000,81800,100.00%,15,-99,1000,2630,-99,71600,13,-99,875,-12%
48,4810,4810,1985,"Wheat, spring",1174000,475100,1174000,475100,100.00%,24.8,-99,1700,19399,-99,528000,16.5,-99,1111,-35%
48,4810,4810,1985,"Wheat, winter remaining",58000,23500,58000,23500,100.00%,18.8,-99,1300,1090,-99,29700,18.8,-99,1264,-3%
48,4820,4820,1985,Barley,746000,301900,670000,271200,90%,41.7,-99,2200,27327,-99,595000,40.8,-99,2194,0%
48,4820,4820,1985,Canary seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4820,4820,1985,Canola,237500,96100,237500,96100,100%,19.6,-99,1100,4585,-99,104000,19.3,-99,1082,-2%
48,4820,4820,1985,Chick peas,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4820,4820,1985,Flaxseed,36800,14900,36800,14900,100%,13.8,-99,900,529,-99,13400,14.4,-99,899,0%
48,4820,4820,1985,Lentils,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4820,4820,1985,Mustard seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4820,4820,1985,Oats,92000,37200,59000,23900,64%,54.5,-99,2100,2775,-99,42800,47,-99,1791,-15%
48,4820,4820,1985,"Peas, dry",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4820,4820,1985,"Rye, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4820,4820,1985,"Rye, fall remaining",57500,23400,57500,23400,100%,24.7,-99,1500,1284,-99,32600,22.3,-99,1393,-7%
48,4820,4820,1985,"Rye, spring",3400,1400,3400,1400,100%,20,-99,1300,71,-99,1800,20.9,-99,1286,-1%
48,4820,4820,1985,Summerfallow,1481000,599200,-99,-99,0%,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4820,4820,1985,Sunflower seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4820,4820,1985,"Wheat, all",2178000,881500,2178000,881500,100%,23.7,-99,1600,53888,-99,1466700,24.7,-99,1664,4%
48,4820,4820,1985,"Wheat, durum",301000,121900,301000,121900,100%,15,-99,1000,5117,-99,139400,17,-99,1144,14%
48,4820,4820,1985,"Wheat, spring",1704000,689600,1704000,689600,100%,24.8,-99,1700,45271,-99,1232200,26.6,-99,1787,5%
48,4820,4820,1985,"Wheat, winter remaining",173000,70000,173000,70000,100%,18.8,-99,1300,3500,-99,95300,20.2,-99,1361,5%
48,4830,4830,1985,Barley,1027000,415600,738000,298800,72%,41.7,-99,2200,19482,-99,424200,26.4,-99,1420,-35%
48,4830,4830,1985,Canary seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4830,4830,1985,Canola,178500,72200,178500,72200,100%,19.6,-99,1100,2333,-99,52900,13.1,-99,733,-33%
48,4830,4830,1985,Chick peas,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4830,4830,1985,Flaxseed,4300,1700,4300,1700,100%,13.8,-99,900,35,-99,900,8.1,-99,529,-41%
48,4830,4830,1985,Lentils,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4830,4830,1985,Mustard seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4830,4830,1985,Oats,217800,88200,51000,20600,23%,54.5,-99,2100,1865,-99,28800,36.6,-99,1398,-33%
48,4830,4830,1985,"Peas, dry",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4830,4830,1985,"Rye, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4830,4830,1985,"Rye, fall remaining",47000,19100,47000,19100,100%,24.7,-99,1500,1211,-99,30800,25.8,-99,1613,8%
48,4830,4830,1985,"Rye, spring",1700,700,1700,700,100%,20,-99,1300,35,-99,900,20.6,-99,1286,-1%
48,4830,4830,1985,Summerfallow,277000,112100,-99,-99,0%,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4830,4830,1985,Sunflower seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48,4830,4830,1985,"Wheat, all",738000,298700,738000,298700,100%,23.7,-99,1600,12259,-99,333600,16.6,-99,1117,-30%
