Soil_Z,Cluster,Mortality_pct,Year,Age,Stems,DBH_cm,Height_m,Kg_pertree,km_per_ha,Stems_tosum1ha,Biomass_Mgkm,Volume_m3km,Roots_Mgkm,Fineroots_Mgkm,TEC_MgCkmyr,TEC_MgCkm,Biom_MgCkmyr,Biom_MgCkm,DOM_MgCkmyr,DOM_MgCkm
BLK_,BLK_1,0,2016,1,527,0.267289221,0,0.000948767,27.62313388,13811.56694,1.81E-05,0.026164808,1.81E-05,8.15E-06,,115.0363,,0,,115.0363
BLK_,BLK_1,0,2017,2,527,3.295552969,1.566848874,0.613009453,12.21011683,6105.058415,0.026458059,1.216759745,0.005822744,0.002620235,-0.3796265,114.6567,0,0,-0.3796265,114.6567
BLK_,BLK_1,0,2018,3,527,5.388503551,2.254692554,2.175462246,7.573899439,3786.949719,0.151370984,3.544837902,0.023899094,0.010754592,-0.2490521,114.4076,0.116585,0.116585,-0.3656371,114.291
BLK_,BLK_1,0,2019,4,527,7.296396255,2.821799994,4.74963522,5.397177368,2698.588684,0.463771652,7.16433348,0.064039,0.02881755,-0.0542272,114.3534,0.2725853,0.3891703,-0.3268125,113.9642
BLK_,BLK_1,0,2020,5,527,8.956212997,3.284090281,8.053189278,4.555101312,2277.550656,0.931709423,10.86359516,0.119956705,0.053980517,0.03793088,114.3913,0.3332792,0.7224494,-0.2953483,113.6689
BLK_,BLK_1,0,2021,6,527,10.32362652,3.648300886,11.61258602,4.091364806,2045.682403,1.495792541,14.3505204,0.184346222,0.0829558,0.2440272,114.6354,0.4969606,1.21941,-0.2529334,113.4159
BLK_,BLK_1,0,2022,7,527,11.50388908,3.952653885,15.34737587,3.73631291,1868.156455,2.164718905,17.90074728,0.258390838,0.116275877,0.3374997,114.9729,0.5427635,1.762174,-0.2052638,113.2107
BLK_,BLK_1,0,2023,8,527,12.48853016,4.200383186,18.96323204,3.453757039,1726.878519,2.893551315,21.37700023,0.336612438,0.151475597,0.4204987,115.3934,0.5895647,2.351738,-0.169066,113.0416
BLK_,BLK_1,0,2024,9,527,13.55399799,4.462797642,23.41562462,3.222315516,1611.157758,3.82955503,25.28491884,0.435843032,0.196129364,0.4787832,115.8721,0.6127601,2.964498,-0.1339768,112.9076
BLK_,BLK_1,0,2025,10,527,14.4601078,4.681765079,27.66322136,3.028457451,1514.228726,4.813842657,29.08244738,0.537206712,0.24174302,0.649044,116.5212,0.752244,3.716742,-0.1032,112.8044
