POLY_ID,CMP,PERCENT,SLOPE,STONE,LOCSF,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,SOIL_ID,CMP_ID
242021,1,40,A,U,D,AB,BUF,gl~~~,N,ABBUFgl~~~N,24202101
242021,2,30,A,N,U,AB,KEG,~~~~~,N,ABKEG~~~~~N,24202102
242021,3,30,A,N,F13,AB,MLD,~~~~~,N,ABMLD~~~~~N,24202103
242022,1,40,A,N,B07,AB,MKW,~~~~~,N,ABMKW~~~~~N,24202201
242022,2,30,A,N,F13,AB,MLD,~~~~~,N,ABMLD~~~~~N,24202202
242022,3,30,A,N,U,AB,SEN,~~~~~,N,ABSEN~~~~~N,24202203
242023,1,40,A,N,B07,AB,MKW,~~~~~,N,ABMKW~~~~~N,24202301
242023,2,30,A,N,F13,AB,MLD,~~~~~,N,ABMLD~~~~~N,24202302
242023,3,30,A,N,U,AB,SEN,~~~~~,N,ABSEN~~~~~N,24202303
242024,1,60,A,N,B07,AB,MKW,~~~~~,N,ABMKW~~~~~N,24202401
242024,2,20,A,N,U,AB,HHY,~~~~~,N,ABHHY~~~~~N,24202402
242024,3,20,A,N,F13,AB,MLD,~~~~~,N,ABMLD~~~~~N,24202403
242025,1,30,A,S,U,AB,COS,~~~~~,A,ABCOS~~~~~A,24202501
242025,2,30,A,S,U,AB,RUT,~~~~~,N,ABRUT~~~~~N,24202502
242025,3,20,A,N,F13,AB,MLD,~~~~~,N,ABMLD~~~~~N,24202503
242025,4,20,C,S,D,AB,ZBR,~~~~~,N,ABZBR~~~~~N,24202504
242026,1,40,A,N,B07,AB,MKW,~~~~~,N,ABMKW~~~~~N,24202601
242026,2,30,A,N,U,AB,HHY,~~~~~,N,ABHHY~~~~~N,24202602
242026,3,30,A,N,F13,AB,MLD,~~~~~,N,ABMLD~~~~~N,24202603
242027,1,40,A,N,B14,AB,MUS,~~~~~,N,ABMUS~~~~~N,24202701
242027,2,20,A,S,U,AB,BUF,~~~~~,N,ABBUF~~~~~N,24202702
242027,3,20,A,N,F13,AB,MLD,~~~~~,N,ABMLD~~~~~N,24202703
242027,4,20,A,S,U,AB,STP,~~~~~,N,ABSTP~~~~~N,24202704
242028,1,50,A,N,B07,AB,MKW,~~~~~,N,ABMKW~~~~~N,24202801
242028,2,20,A,S,U,AB,BUF,~~~~~,N,ABBUF~~~~~N,24202802
242028,3,20,A,N,F13,AB,MLD,~~~~~,N,ABMLD~~~~~N,24202803
242028,4,10,A,S,U,AB,STP,~~~~~,N,ABSTP~~~~~N,24202804
242029,1,40,A,N,B14,AB,MUS,~~~~~,N,ABMUS~~~~~N,24202901
