Crop,Province,Soil type,"unit (bu, t, etc)",Expected yield per acre,Expected market price $/unit,Crop Sales $/acre,Seed / Cleaning and Treatment,Fertilizer,NPKS blend,Chemical,Hail / Crop Insurance,Trucking and Marketing,Fuel Oil Lube,Machinery Repairs,Building Repairs,Irrigation: Pumping Costs,Custom Work,Labour (Paid and Unpaid),Utilities and Miscellaneous,Operating Interest,Total Costs $/Acre,Contribution Margin,Total Cost Per Unit,Break Even-Yield,Herbicide Cost,Nitrogen $/Tonne,Phosphorus $/Tonne,Variable Cost $/acre,Fixed Cost $/Acre
Spring Wheat,Alberta,Black,bu,65,6.7,435.5,25.88,59,80-30-10-0,36.12,16.16,22.87,19.74,17.7,2.14,0,1.71,18.62,10.34,6.05,391.3,199.18,6,59,24.37,520,645,236.32,154.98
CPS Wheat,Alberta,Black,bu,72,5.5,396,25.88,59,80-30-10-0,36.12,18.71,25.33,17.87,17.44,5.36,0,1.71,22.76,10.34,6.05,401.54,149.44,5.56,73,24.37,520,645,246.56,154.98
Feed Barley,Alberta,Black,bu,85,4.25,361.25,23.18,59,80-30-10-0,18.66,14.35,24.47,18.67,13.85,2.14,0,1.92,15,10.34,5.04,361.6,154.63,4.24,85,12.18,520,645,206.62,154.98
Malt Barley,Alberta,Black,bu,83,5.25,435.75,25.88,62,70-30-20-10,36.12,17.43,23.9,20.54,17.19,5.89,0,2.56,24.31,10.34,6.2,407.33,183.4,4.89,78,24.37,520,645,252.35,154.98
Milling Oats,Alberta,Black,bu,98,3.35,328.3,13.46,50,70-30-0-0,14.27,16.68,19.85,20.8,13.85,2.95,0,12.37,20.17,10.34,3.89,353.6,129.68,3.59,106,10.22,520,645,198.62,154.98
Argentine HT Canola,Alberta,Black,bu,46,10.5,483,57.75,84.5,100-40-15-20,32.13,19.62,16.19,20.27,15.65,2.41,0,2.13,19.14,12.59,8.72,446.07,191.91,9.66,43,11.11,520,645,291.09,154.98
Field Peas,Alberta,Black,bu,56,7,392,43.06,22.5,5-30-15-0,36.88,23.69,19.7,25.6,18.21,4.82,0,7.04,22.76,12.59,5.12,396.96,150.02,7.06,57,12.63,520,645,241.98,154.98
Mixed Hay,Alberta,Black,t,2.25,85,191.25,3.94,14.5,15-15-0-0,0.81,NA,54.76,8.53,15.39,5.36,0,1.71,25.86,6.27,0.96,245.63,53.15,108.69,2.88,0,520,645,138.1,107.53
Alfalfa Hay,Alberta,Black,t,2.5,110,275,9,14,5-25-0-0,1.01,NA,60.03,5.33,7.18,3.21,0,3.84,11.38,6.27,1.2,229.99,152.54,91.57,2.08,0,520,645,122.46,107.53
Cereal Silage,Alberta,Black,t,7.5,58.56,439.2,22.69,45,65-25-0-0,14.27,NA,23.99,33.61,11.29,3.75,0,4.27,33.1,7.18,4.1,310.76,235.97,41.29,5.29,10.22,520,645,203.23,107.53
Spring Wheat,Alberta,Brown,bu,38,6.7,254.6,23,37,50-20-5-0,35.37,14.67,13.37,15.01,15.36,1.56,0,4.08,21.45,10.34,4.77,287.97,58.62,7.55,43,23.15,520,645,195.98,91.99
