TABLE: Nutrient Composition and Variability of Some Feedstuffs Commonly Fed to Dairy Cattle (all values on a dry basis) ,,,,,,,,,,,,,,,,,,
#,Feed,Class,TDN (1 x %),DM (%),CP (%),NDICP (%),ADICP (%),EE (%),NDF (%),ADF (%),Lignin (%),Ash (%),DE-1x (Mcal/kg,ME-3x (Mcal/kg),NEL-3x (Mcal/kg),NEL-4x (Mcal/kg),NEM-3x (Mcal/kg),NEG-3x (Mcal/kg)
1,ALFALFA (Medicago Sativa  17% CP),Forage,56.4,90.3,19.2,3.1,2.4,2.5,41.6,32.8,7.6,11,2.6,1.96,1.19,1.11,1.27,0.7
2,ALMOND Hulls,Conc,58.4,86.9,6.5,2.3,1.8,2.9,36.8,28.7,14.9,6.1,2.53,1.89,1.14,1.07,1.22,0.65
3,"APPLE (Pomace, wet)",Conc,57.1,35.9,7.7,3.7,3.1,5,52.5,43.2,15.4,2.8,2.48,1.86,1.12,1.06,1.18,0.62
4,"Bakery Biproduct , Byproduct meal",Conc,93.5,84.7,12.5,2.3,1.1,9.5,13.9,6.5,1.6,3.8,4.09,3.37,2.21,2.09,2.32,1.61
5,"Bakery Biproduct, Bread, meal",Conc,89.3,68.3,15,0.6,0.5,2.2,8.9,3.1,0.1,2.8,3.99,3.25,2.09,1.98,2.21,1.52
6,"Bakery Biproduct, Cereal byproduct",Conc,87.6,88.5,9.1,3.2,1.2,3.5,10,3.9,2.6,3.2,3.79,3.07,1.97,1.88,2.12,1.45
7,"Bakery Biproduct, Cookie byproduct",Conc,95,90.1,9.7,1.9,0.5,10.6,12.7,6.5,2.6,3,4.11,3.4,2.24,2.12,2.33,1.63
8,"Barley grain, rolled",Conc,82.7,91,12.4,1.8,0.5,2.2,20.8,7.2,1.9,2.9,3.64,2.92,1.86,1.76,2.02,1.36
9,"Barley, malt sprouts",Conc,66.4,90.5,20.1,3.7,1.1,2.3,47,21.8,3.4,7.4,3.05,2.38,1.49,1.4,1.61,1.01
10,"Barley Silage, headed",Forage,60.2,35.5,12,1.6,0.9,3.5,56.3,34.5,5.6,7.5,2.68,2.03,1.24,1.17,1.33,0.76
11,"Beet, Sugar pulp, dried ",Conc,69.1,88.3,10,5.5,0.6,1.1,45.8,23.1,1.6,7.3,3.03,2.36,1.47,1.38,1.6,0.99
12,"Bermudagrass (Cynodon dactlyon), Coastal, hay, early head",Forage,52.9,87.1,10.4,4.9,0.9,2.7,73.3,36.8,6.5,8.1,2.35,1.73,1.02,0.96,1.08,0.52
13,"Bermudagrass (Cynodon dactlyon), Tifton-85, hay, 3-4 wk growth",Forage,55.3,87.3,13.7,5.3,1.2,2.7,76.9,36.2,5.4,6.5,2.49,1.86,1.12,1.05,1.19,0.63
14,"BLOOD, meal, ring dried",Animal,76.4,90.2,95.5,na,na,1.2,na,na,na,2.5,4.35,3.58,2.33,2.21,2.49,1.76
15,"BLOOD meal, batch dried (composition data from ring-dried)",Animal,65.9,90.2,95.5,na,na,1.2,na,na,na,2.5,3.76,3.04,1.95,1.84,2.11,1.41
16,"Brewers grains, dried",Conc,71.3,90.7,29.2,9.1,3.5,5.2,47.4,22.2,5,4.3,3.38,2.69,1.71,1.62,1.84,1.21
17,"Brewers grains, wet",Conc,71.6,21.8,28.4,9.3,2.9,5.2,47.1,23.1,4.7,4.9,3.38,2.69,1.71,1.62,1.84,1.21
18,"CANOLA, seed",Conc,127.4,89.9,20.5,3.4,1.3,40.5,17.5,11.6,2.7,4.6,5.6,4.92,3.52,3.36,3.28,2.38
19,"CANOLA, meal, mech. Extracted",Conc,69.9,90.3,37.8,8.3,2.4,5.4,29.8,20.5,0.5,7.4,3.44,2.75,1.76,1.66,1.88,1.25
20,CHOCOLATE byproduct,Conc,102.7,95.2,11.9,0,0,20.5,23.8,15.7,3.2,2.1,4.46,3.77,2.56,2.43,2.56,1.81
21,CITRUS pulp dried,Conc,79.8,85.8,6.9,0.4,0.3,4.9,24.2,22.2,0.9,7.2,3.44,2.76,1.76,1.66,1.8,1.25
22,"CORN, Yellow, Cobs",Conc,54.2,90.8,3,1.7,0.8,0.6,86.2,42.2,5.9,2.2,2.31,1.68,0.99,0.93,1.04,0.48
23,"CORN, Yellow, Distillers grains solubles, dried",Conc,79.5,90.2,29.7,8.6,5,10,38.8,19.7,4.3,5.2,3.72,3.03,1.97,1.87,2.07,1.41
24,"CORN, Yellow, Gluten feed, dried",Conc,74.1,89.4,23.8,3.6,1.4,3.5,35.5,12.1,2,6.8,3.43,2.73,1.73,1.64,1.87,1.24
25,"CORN, Yellow, Gluten meal, dried ",Conc,84.4,86.4,65,3.6,3,2.5,11.1,8.2,1.5,3.3,4.43,3.66,2.39,2.25,2.54,1.79
26,"CORN, Yellow, Grain, cracked, dry",Conc,85,88.1,9.4,0.7,0.3,4.2,9.5,3.4,0.9,1.8,3.69,2.96,1.91,1.8,2.05,1.39
27,"CORN, Yellow, Grain, graund, dry",Conc,88.7,88.1,9.4,0.7,0.3,4.2,9.5,3.4,0.9,1.5,3.85,3.12,2.01,1.9,2.16,1.48
28,"CORN, Yellow, Grain, steam flacked ",Conc,91.7,88.1,9.4,0.7,0.3,4.2,9.5,3.4,0.9,1.5,3.97,3.24,2.09,1.98,2.24,1.55
29,"CORN, Yellow, Grain, rolled, high moisture",Conc,88.5,71.8,9.2,0.6,0.3,4.3,10.3,3.6,0.9,1.5,3.84,3.11,2.01,1.9,2.15,1.48
30,"CORN, Yellow, Grain, ground, high moisture",Conc,91.5,71.8,9.2,0.5,0.3,4.3,10.3,3.6,0.9,1.5,3.96,3.23,2.09,1.97,2.23,1.55
31,"CORN, Yellow, Grain and cob, dry, ground",Conc,83.5,89.2,8.6,0.9,0.4,3.9,21.5,8,1.5,1.7,3.62,2.91,1.86,1.76,2,1.35
32,"CORN, Yellow, Grain and cob, high moisture, ground",Conc,86.6,67.1,8.4,0.7,0.3,3.9,21,9.4,1.4,1.3,3.74,3.03,1.94,1.83,2.09,1.42
33,"CORN, Yellow, Hominy ",Conc,83.1,88.5,11.9,1.5,0.5,4.2,21.1,6.2,1.7,2.7,3.64,2.94,1.88,1.78,2.02,1.37
34,"CORN, Yellow, Silage, immature (<25% DM)",Forage,65.5,23.5,9.7,1.4,0.9,2.5,54.3,34.1,3.5,4.5,2.87,2.21,1.36,1.28,1.48,0.89
35,"CORN, Yellow, Silage, Normal (32-38% DM)",Forage,68.8,35.1,8.8,1.3,0.8,3.2,45,28.1,2.6,4.3,2.99,2.33,1.45,1.38,1.57,0.97
36,"CORN, Yellow, Silage, mature (>40% DM)",Forage,65.4,44.2,8.5,1.3,0.9,3.2,44.5,27.5,3.1,4.4,2.84,2.19,1.35,1.28,1.46,0.87
37,"COTTON SEED, whole seed with lint",Conc,77.2,90.1,23.5,2.4,1.9,19.3,50.3,40.1,12.9,4.2,3.53,2.91,1.94,1.83,1.96,1.31
38,"COTTON SEED, Hulls",Conc,34.3,89,6.2,3,1.1,2.5,85,64.9,22.5,2.8,1.51,0.95,0.48,0.44,0.39,0.13
39,"COTTON SEED, Meal, solvent, 41% CP",Conc,66.4,90.5,44.9,3.3,1.8,1.9,30.8,19.9,7.6,6.7,3.4,2.7,1.71,1.61,1.84,1.23
40,"FAT AND OILS, Calcium soaps",Fat,163.5,95.3,0,0,0,84.5,0,0,0,15.5,6.83,6.27,5.02,4.8,5.02,3.45
41,"FAT AND OILS, Hydrolyzed tallow fatty acids",Fat,176.3,99.8,0,0,0,99.2,na,na,na,0,7.37,6.76,5.41,5.17,5.41,3.72
42,"FAT AND OILS, Partially hydrogenated tallow",Fat + G,96.6,100,0,0,0,99.5,na,na,na,0,4.05,3.72,2.97,2.84,2.97,2.04
43,"FAT AND OILS, Tallow",Fat + G,147.4,99.8,0,0,0,99.8,na,na,na,0,6.17,5.66,4.53,4.33,4.53,3.12
44,"FAT AND OILS, Vegitable oils",Fat + G,184,100,0,0,0,99.9,0,0,0,0,7.7,7.07,5.65,5.41,5.65,3.89
45,"FEATHERS, Hydrolized meal",Animal,72.8,93.3,92,na,na,4.6,na,na,na,3.5,4.05,3.32,2.15,2.03,2.29,1.6
46,"FEATHERS, Hydrolized meal with some viscera",Animal,80.1,91.5,85,na,na,8.8,na,na,na,5.5,4.32,3.58,2.36,2.24,2.47,1.73
47,"FISH BYPRODUCTS, Anchovy, meal, mech.",Animal,76.1,92,71.2,na,na,4.6,na,na,na,16,4.16,3.42,2.22,2.1,2.34,1.65
48,"FISH BYPRODUCTS, Menhaden, meal, mech.",Animal,79.9,91.2,68.5,na,na,10.4,na,na,na,19.7,4.25,3.52,3.33,2.2,2.44,1.7
49,"GRASSES, COOL SEASON, Pasture, intensively managed",Forage,66.6,20.1,26.5,3.9,1.1,2.7,45.8,25,2.1,9.8,3.14,2.46,1.54,1.45,1.67,1.06
50,"GRASSES, COOL SEASON, Hay, all samples",Forage,56.3,88.1,10.6,3.8,1.1,2.6,64.4,39.5,6.4,7,2.49,1.86,1.12,1.05,1.19,0.63
51,"GRASSES, COOL SEASON, Hay, immature (<35% NDF)",Forage,63.1,84,18,3.4,1.3,3.3,49.6,31.4,3.9,9.2,2.88,2.22,1.37,1.29,1.48,0.89
52,"GRASSES, COOL SEASON, Hay, mid maturity (35-60% NDF)",Forage,59.7,83.8,13.3,3.9,1.2,2.5,57.7,36.9,4.3,8.8,2.67,2.02,1.23,1.16,1.33,0.75
53,"GRASSES, COOL SEASON, Hay, mature (>60% NDF)",Forage,56,84.4,10.8,7.4,1.1,2,69.1,41.6,5.9,7,2.48,1.85,1.11,1.04,1.18,0.62
54,"GRASSES, COOL SEASON, Silage, all samples",Forage,55.7,36.5,12.8,3.3,1.5,3.1,60.7,40.3,6.9,8.1,2.49,1.86,1.12,1.05,1.19,0.63
55,"GRASSES, COOL SEASON, Silage, immature (<35% NDF)",Forage,60.4,36.2,16.8,4.3,1.1,2.8,51,32.9,4.8,9.9,2.75,2.1,1.29,1.21,1.39,0.81
56,"GRASSES, COOL SEASON, Silage,  mid maturity (35-60% NDF)",Forage,56,42,16.8,4.3,1.1,2.4,59.2,35.2,6.8,8.7,2.56,1.92,1.16,1.09,1.25,0.68
57,"GRASSES, COOL SEASON, Silage, mature (>60% NDF)",Forage,53.2,38.7,12.7,3.2,1.4,3,66.6,41.1,7.4,8,2.39,1.76,1.05,0.98,1.11,0.55
58,"GRASS-LEGUME MIXTURES, predominantly grass (17-22% Hemicellulose), Hay, immature (<51% NDF)",Forage,62.1,84.3,18.4,4.2,1.3,2.4,49.6,31.5,4,9.2,2.84,2.18,1.34,1.26,1.45,0.87
59,"GRASS-LEGUME MIXTURES, predominantly grass (17-22% Hemicellulose), Hay, mid maturity (51-57% NDF)",Forage,59.5,87.3,17.4,4.2,1.4,2.6,55.1,36.4,4.5,9.5,2.71,2.07,1.26,1.19,1.36,0.78
60,"GRASS-LEGUME MIXTURES, predominantly grass (17-22% Hemicellulose), Hay, mature (>57% NDF)",Forage,57,84.7,13.3,4.4,1.3,2.3,62.5,42.1,5.5,7.9,2.55,1.92,1.16,1.09,1.24,0.67
61,"GRASS-LEGUME MIXTURES, predominantly grass (17-22% Hemicellulose), Silage, immature (<51% NDF)",Forage,60.9,47.1,18,3.1,1.2,2.9,49.9,31.8,5,9.1,2.78,2.13,1.31,1.23,1.42,0.79
62,"GRASS-LEGUME MIXTURES, predominantly grass (17-22% Hemicellulose), Silage, mid maturity (51-57% NDF)",Forage,56.7,44.5,17.6,3.1,1.4,2.9,54.5,35.7,6.5,9.5,2.6,1.96,1.19,1.11,1.29,0.73
63,"GRASS-LEGUME MIXTURES, predominantly grass (17-22% Hemicellulose), Silage, mature (>57% NDF)",Forage,53.6,38.5,15.4,3.1,1.8,2.5,61.7,42.2,5.9,9,2.43,1.8,1.08,1.01,1.15,0.59
64,"GRASS-LEGUME MIXTURES, mixed grass and Legume (12-15% Hemicellulose), Hay, immature (<47% NDF)",Forage,62.1,83.1,19.7,3.9,1.3,2.5,45.4,30.8,5.1,8.8,2.96,2.2,1.35,1.27,1.47,0.88
65,"GRASS-LEGUME MIXTURES, mixed grass and Legume (12-15% Hemicellulose), Hay, mid maturity (47-53% NDF)",Forage,58.8,85.3,18.4,4.6,1.5,2.3,50.8,35.8,5.7,9.3,2.7,2.05,1.25,1.17,1.35,0.77
66,"GRASS-LEGUME MIXTURES, mixed grass and Legume (12-15% Hemicellulose), Hay, mature (>53% NDF)",Forage,54.1,89.7,18.2,4.4,1.7,2,56,40.1,7,9.9,2.49,1.86,1.12,1.05,1.19,0.63
67,"GRASS-LEGUME MIXTURES, mixed grass and Legume (12-15% Hemicellulose), Silage, immature (<47% NDF)",Forage,59.5,45.9,20.3,3.1,1.4,2.3,45.3,30.8,5.8,9.8,2.76,2.1,1.29,1.21,1.39,0.81
68,"GRASS-LEGUME MIXTURES, mixed grass and Legume (12-15% Hemicellulose), Silage, mid maturity (47-53% NDF)",Forage,57.7,44.1,19.1,3.5,1.6,2.5,50.4,35.4,5.9,10.1,2.66,2.01,1.23,1.15,1.32,0.74
69,"GRASS-LEGUME MIXTURES, mixed grass and Legume (12-15% Hemicellulose), Silage, mature (>53% NDF)",Forage,53.6,42.8,17.4,3.5,2,2.3,57.4,42.1,7.1,9.6,2.46,1.83,1.09,1.02,1.16,0.6
70,"GRASS-LEGUME MIXTURES, predominantly Legume (10-13% Hemicellulose), Hay, immature (<44% NDF)",Forage,60.7,83.8,20.5,2.9,1.5,2,41.7,30.5,5.8,9.2,2.81,2.15,1.32,1.24,1.43,0.85
71,"GRASS-LEGUME MIXTURES, predominantly Legume (10-13% Hemicellulose), Hay, mid maturity (44-50% NDF)",Forage,57.8,84.2,19.1,3.1,1.5,2,47.2,35.4,6.7,9.1,2.66,2.02,1.23,1.15,1.32,0.75
72,"GRASS-LEGUME MIXTURES, predominantly Legume (10-13% Hemicellulose), Hay, mature (>50% NDF)",Forage,53.9,84.3,17.2,3.6,1.7,1.7,53.6,41.5,8.1,8.7,2.47,1.84,1.1,1.03,1.18,0.61
73,"GRASS-LEGUME MIXTURES, predominantly Legume (10-13% Hemicellulose), Silage, immature (<44% NDF)",Forage,57.1,43.2,20,2.8,1.7,2.2,42.2,31.1,6.7,11.5,2.65,2,1.22,1.14,1.31,0.74
74,"GRASS-LEGUME MIXTURES, predominantly Legume (10-13% Hemicellulose), Silage, mid maturity (44-50% NDF)",Forage,55.3,43.3,19,2.7,1.7,2.1,47,35.4,7.3,10.8,2.55,1.92,1.16,1.09,1.24,0.67
75,"GRASS-LEGUME MIXTURES, predominantly Legume (10-13% Hemicellulose), Silage, mature (>50% NDF)",Forage,51.8,42.9,18.3,2.7,2,2,53.7,41.6,8.4,10.2,2.3,1.77,1.05,0.99,1.12,0.56
76,"LEGUMES, FORAGE, Pasture, intensively managed ",Forage,66.3,21.4,26.5,3.8,1.1,3.7,33.1,23.9,5.4,10,3.13,2.46,1.54,1.45,1.66,1.05
77,"LEGUMES, FORAGE, Hay, all samples",Forage,58.9,87.8,20.2,2.4,1.6,2.1,39.6,31.2,7,10,2.73,2.08,1.27,1.19,1.37,0.79
78,"LEGUMES, FORAGE, Hay, immature (<40% NDF)",Forage,62.1,84.2,22.8,2.7,1.6,2.1,36.3,28.6,5.9,9.5,2.89,2.23,1.38,1.3,1.49,0.9
79,"LEGUMES, FORAGE, Hay, mid maturity (40-46% NDF)",Forage,59.1,83.9,20.8,2.5,1.6,2,42.9,33.4,6.4,9.4,2.74,2.09,1.28,1.2,1.38,0.8
80,"LEGUMES, FORAGE, Hay, mature (>46% NDF)",Forage,54.7,83.8,17.8,2.1,1.7,1.6,50.9,39.5,7.3,9.2,2.51,1.88,1.13,1.06,1.21,0.65
81,"LEGUMES, FORAGE, Silage, all samples",Forage,56.6,39.1,20,2.9,1.6,3.1,45.7,37,8.1,10.4,2.62,1.98,1.2,1.13,1.29,0.72
82,"LEGUMES, FORAGE, Silage, immature (<40% NDF)",Forage,60.5,41.2,23.2,3.4,1.6,2.3,36.7,30.2,6.2,11.1,2.83,2.18,1.34,1.36,1.45,0.86
83,"LEGUMES, FORAGE, Silage, mid maturity (40-46% NDF)",Forage,56.7,42.9,21.9,3.1,1.8,2.2,43.2,35.2,7.3,10.8,2.65,2.01,1.22,1.15,1.32,0.74
84,"LEGUMES, FORAGE, Silage, mature (>46% NDF)",Forage,53,42.6,20.3,2.9,2.1,2.1,50,40.9,8.4,10.3,2.47,1.84,1.1,1.03,1.18,0.62
85,"LINSEED (flax) meal, solvent",Conc,65.4,90.3,32.6,7.9,1.1,1.7,36.1,22.1,8.3,6.5,3.19,2.51,1.57,1.48,1.48,1.1
86,"MEAT, Meal, rendered",Animal,79.6,93.9,57.6,na,na,12.7,na,na,na,22.9,4.05,3.35,2.21,2.1,2.29,1.59
87,"MEAT, Meat and bone, rendered",Animal,61.9,94,54.2,na,na,10.4,na,na,na,30.4,3.19,2.54,1.63,1.54,1.71,1.09
88,"MOLASSES, Beet sugar",Conc,82.9,77.9,8.5,0,0,0.2,0.1,0.1,0,11.4,3.6,2.88,1.84,1.73,1.99,1.33
89,"MOLASSES, Sugarcane",Conc,81,74.3,5.8,0,0,0.2,0.4,0.2,0,13.3,3.48,2.78,1.76,1.66,1.91,1.28
90,"OATS, Grain, rolled",Conc,78.5,90,13.2,1.8,0.3,5.1,30,14.5,4.9,3.3,3.47,2.78,1.77,1.67,1.9,1.26
91,"OATS, Hay, headed",Forage,55.9,91.9,9.1,1.3,0.6,2.2,58,30.4,6.5,8.5,2.46,1.83,1.1,1.03,1.17,0.61
92,"OATS, Silage, headed",Forage,56.8,34.6,12.9,2.1,1,3.4,60.6,39.9,5.5,9.8,2.54,1.91,1.15,1.08,1.23,0.66
93,"PEANUT Meal, solvent",Conc,74.8,92.3,51.8,5.8,1.1,1.4,21.4,13.5,4.6,5.8,3.85,3.12,2,1.9,2.14,1.48
94,POTATO Byproduct meal,Conc,80.7,35.4,10.5,5.2,2.3,10.8,22.1,16.5,2.3,12.8,3.51,2.84,1.85,1.75,1.94,1.3
95,RICE Bran,Conc,84.8,90.6,15.5,3.7,0.4,15.2,26.1,13.1,4.6,10.4,3.76,3.09,2.05,1.94,2.1,1.43
96,"RYE, ANNUAL, Silage, Vegetative",Forage,60,29.7,16.1,1.9,0.9,3.8,57.8,34.9,4.5,9.6,2.72,2.06,1.28,1.2,1.37,0.79
97,"SAFFLOWER Meal, solvent",Conc,52.5,93.5,29,2,1.2,2.4,53.8,39.1,14.5,4.7,2.6,1.96,1.19,1.11,1.27,0.7
98,"SORGHUM, GRAIN,  dry rolled",Conc,80.6,89.6,11.6,2.8,1,3.1,10.9,5.9,1.1,2,3.53,2.83,1.8,1.7,1.95,1.3
99,"SORGHUM, GRAIN,  steam-flaked",Conc,89.4,88.6,11.6,2.8,1,3.1,10.9,5.9,1.1,2,3.91,3.17,2.04,1.93,2.2,1.51
100,"SORGHUM, Silage",Forage,56.7,28.8,9.1,2.4,1.2,2.9,60.7,38.7,6.5,7.5,2.48,1.85,1.11,1.04,1.18,0.62
