Ecodistrict,Ecozone,Province,PMayToOct,PEMayToOct,Ftopo,SoilType,SoilTexture
358,Boreal Shield West,Manitoba,348,453,0,Brown Chernozem,Coarse
358,Boreal Shield West,Saskatchewan,348,453,0,Brown Chernozem,Coarse
371,Boreal Shield West,Manitoba,376,581,0.33,Black/Gray Chernozem,Fine
371,Boreal Shield West,Ontario,376,581,0.33,Eastern Canada,Fine
375,Boreal Shield West,Manitoba,411,579,0.33,Black/Gray Chernozem,Fine
377,Boreal Shield West,Manitoba,501,492,3.38,Eastern Canada,Fine
377,Boreal Shield West,Ontario,501,492,3.38,Black/Gray Chernozem,Fine
378,Boreal Shield West,Ontario,436,505,3.38,Eastern Canada,Medium
379,Boreal Shield West,Manitoba,413,587,3.38,Black/Gray Chernozem,Medium
379,Boreal Shield West,Ontario,498,574,3.38,Eastern Canada,Medium
380,Boreal Shield West,Manitoba,516,608,0,Black/Gray Chernozem,Coarse
381,Boreal Shield West,Ontario,532,574,3.38,Eastern Canada,Medium
383,Boreal Shield West,Ontario,502,602,3.38,Eastern Canada,Medium
386,Boreal Shield West,Ontario,498,574,3.38,Eastern Canada,Coarse
391,Boreal Shield West,Ontario,498,589,3.38,Eastern Canada,Medium
400,Boreal Shield East,Ontario,498,586,0.8,Eastern Canada,Medium
401,Boreal Shield East,Ontario,504,574,0.8,Eastern Canada,Fine
401,Boreal Shield East,Quebec,559,529,0.8,Eastern Canada,Fine
407,Boreal Shield East,Ontario,453,574,0.8,Eastern Canada,Coarse
407,Boreal Shield East,Quebec,453,574,0.8,Eastern Canada,Coarse
408,Boreal Shield East,Ontario,478,571,2.99,Eastern Canada,Medium
408,Boreal Shield East,Quebec,559,529,2.99,Eastern Canada,Medium
409,Boreal Shield East,Ontario,555,555,2.99,Eastern Canada,Medium
410,Boreal Shield East,Ontario,514,509,21.77,Eastern Canada,Coarse
411,Boreal Shield East,Ontario,530,544,21.77,Eastern Canada,Coarse
412,Boreal Shield East,Ontario,551,531,21.77,Eastern Canada,Coarse
413,Boreal Shield East,Ontario,498,593,21.77,Eastern Canada,Medium
415,Boreal Shield East,Quebec,559,526,0,Eastern Canada,Coarse
418,Boreal Shield East,Quebec,559,525,45.54,Eastern Canada,Coarse
419,Boreal Shield East,Quebec,559,529,0,Eastern Canada,Coarse
422,Boreal Shield East,Quebec,554,529,13.9,Eastern Canada,Coarse
423,Boreal Shield East,Ontario,603,522,12.88,Eastern Canada,Medium
423,Boreal Shield East,Quebec,603,522,12.88,Eastern Canada,Medium
424,Boreal Shield East,Quebec,479,556,40.48,Eastern Canada,Fine
425,Boreal Shield East,Ontario,565,581,13.9,Eastern Canada,Medium
425,Boreal Shield East,Quebec,565,581,13.9,Eastern Canada,Medium
426,Boreal Shield East,Quebec,559,581,0.85,Eastern Canada,Coarse
438,Boreal Shield East,Quebec,544,449,0,Eastern Canada,Coarse
440,Boreal Shield East,Quebec,546,529,0,Eastern Canada,Medium
441,Boreal Shield East,Quebec,559,512,18.89,Eastern Canada,Medium
455,Boreal Shield East,Newfoundland and Labrador,556,333,0,Eastern Canada,Medium
458,Boreal Shield East,Newfoundland and Labrador,621,407,0,Eastern Canada,Medium
461,Boreal Shield East,Newfoundland and Labrador,692,365,13.35,Eastern Canada,Medium
463,Boreal Shield East,Newfoundland and Labrador,737,351,2.3,Eastern Canada,Medium
466,Boreal Shield East,Newfoundland and Labrador,567,460,3.29,Eastern Canada,Medium
468,Boreal Shield East,Newfoundland and Labrador,629,408,0,Eastern Canada,Medium
470,Boreal Shield East,Newfoundland and Labrador,585,414,16.93,Eastern Canada,Medium
471,Boreal Shield East,Newfoundland and Labrador,720,384,21.5,Eastern Canada,Medium
475,Boreal Shield East,Newfoundland and Labrador,633,400,0.69,Eastern Canada,Medium
476,Boreal Shield East,Newfoundland and Labrador,633,400,0.69,Eastern Canada,Medium
477,Boreal Shield East,Newfoundland and Labrador,543,333,0.69,Eastern Canada,Medium
478,Atlantic Maritimes,New Brunswick,522,472,0,Eastern Canada,Medium
478,Atlantic Maritimes,Quebec,522,472,0,Eastern Canada,Medium
479,Atlantic Maritimes,New Brunswick,542,467,14.75,Eastern Canada,Medium
479,Atlantic Maritimes,Quebec,542,467,14.75,Eastern Canada,Medium
480,Atlantic Maritimes,Quebec,522,472,0,Eastern Canada,Medium
481,Atlantic Maritimes,New Brunswick,662,502,60,Eastern Canada,Medium
481,Atlantic Maritimes,Quebec,559,529,60,Eastern Canada,Medium
482,Atlantic Maritimes,Quebec,611,547,27.18,Eastern Canada,Medium
483,Atlantic Maritimes,Quebec,550,586,27.82,Eastern Canada,Medium
484,Atlantic Maritimes,New Brunswick,543,504,0,Eastern Canada,Medium
484,Atlantic Maritimes,Quebec,559,529,4.77,Eastern Canada,Medium
485,Atlantic Maritimes,New Brunswick,607,507,0,Eastern Canada,Medium
486,Atlantic Maritimes,New Brunswick,590,564,6.16,Eastern Canada,Medium
487,Atlantic Maritimes,New Brunswick,594,559,5.31,Eastern Canada,Coarse
487,Atlantic Maritimes,Quebec,559,529,30.05,Eastern Canada,Coarse
488,Atlantic Maritimes,New Brunswick,618,600,0,Eastern Canada,Medium
489,Atlantic Maritimes,New Brunswick,599,557,2.31,Eastern Canada,Medium
490,Atlantic Maritimes,New Brunswick,580,557,0,Eastern Canada,Coarse
491,Atlantic Maritimes,New Brunswick,599,557,2.31,Eastern Canada,Medium
492,Atlantic Maritimes,New Brunswick,599,557,2.31,Eastern Canada,Medium
493,Atlantic Maritimes,New Brunswick,573,566,8.57,Eastern Canada,Medium
494,Atlantic Maritimes,New Brunswick,578,594,10.62,Eastern Canada,Medium
495,Atlantic Maritimes,New Brunswick,562,583,0,Eastern Canada,Medium
496,Atlantic Maritimes,New Brunswick,574,581,5.77,Eastern Canada,Medium
497,Atlantic Maritimes,New Brunswick,619,575,0,Eastern Canada,Medium
498,Atlantic Maritimes,New Brunswick,597,528,0,Eastern Canada,Coarse
499,Atlantic Maritimes,New Brunswick,548,567,2.99,Eastern Canada,Fine
500,Atlantic Maritimes,New Brunswick,544,514,0.22,Eastern Canada,Coarse
501,Atlantic Maritimes,New Brunswick,547,539,0,Eastern Canada,Medium
502,Atlantic Maritimes,New Brunswick,579,608,0.28,Eastern Canada,Medium
