ECODISTRIC,NAME_EN
1,Northern Ellesmere Ice Cap
2,Agassiz Ice Cap and Prince of Wales Ice Field
3,Muller Ice Cap
4,Devon Ice Cap
5,Northen Baffin Mountains
6,Southern Baffin Coastal Mountains
7,Upper Hantzsch River
8,Cumberland Peninsula Mountains
9,Atlantic Coastal Lowlands
10,Interior Coastal Lowlands
11,Torngat
12,Cape Chidley
13,Domes
14,Northwest Coast
15,Southwest Ellesmere Ice Fields
16,Bunde Fiord
17,James Ross River
18,Heintzelman Lake
19,Lake Hazen
20,Greely Fiord
21,Eureka
22,East Axel Heiburg
23,Troll Fiord
24,Vendom Fiord
25,East Bathurst and Cornwallis Islands
26,Nares Strait Coast
27,Northern Islands
28,Prince Patrick Island West
29,Sabine Peninsula
30,Crozier Channel Lowlands
31,Queens Channel
32,Central Plateau
33,Blue Hills
34,Grinnell Peninsula
35,North Brodeur Peninsula
36,Maxwell Bay
37,Central Devon Island
38,Northeast Somerset Island
39,South Brodeur Peninsula
40,Banks
41,Central Banks Island
42,Mercy Bay
43,Upper Thomson River
44,South Central Banks Island
45,Thesiger Bay Coastal Lowland
46,Prince Albert Sound
47,Albert Islands
48,Southern Victoria Island Coast
49,Surrey Lake
50,Tassijuak Lake
51,North Shaler Mountains
52,South Shaler Mountains
53,East Victoria Island
54,Prince of Wales Strait
55,Prince Albert Peninsula
56,Ommanney Bay
57,Hadley Bay
58,Starkerson Peninsula
59,Guillemard Bay
60,Tahiryuak Lake North
61,Collinson Peninsula
62,Namaycush Lake South
63,King William Island-St. Roch Basin
64,Quunnguq Lake
65,Browne Bay
66,Drake Bay
67,North Central Prince of Wales Island
68,Crooked Lake
69,West Somerset Island
70,Central Boothia
71,Lord Mayer Bay
72,Lady Melville Lake
73,Boothia Coastal Plains
74,Boothia Heights
75,Arctic Bay
76,Eclipse Sound
77,Fleming Inlet
78,Admiralty Inlet
79,Lower Roberts River
80,Taser Lake
81,Angaijurjualuk Lake
82,Rowley River
83,Steensby Inlet
84,Gifford Fiord North
85,Autridge Bay North
86,Lake Gillian
87,Prince Albert Hills North
88,Lower Hantzsch River
89,Prince Albert Hills South
90,Isurtuq River
91,Paquet Bay
92,Krag
93,Bieler Lake
94,Mcbeth River
95,Barnes Ice Cap
96,Isortcq
97,Ranger River
98,Foxe Basin Islands
99,Hull Lake
100,Koukdjuak East
101,Koukdjuak West
102,Nettilling Fjord
103,Nunatak
104,Cumberland Sound North
105,Hall Peninsula East
106,Hall Peninsula
107,Nettiling Lake
108,Fox Peninsula
109,Amadjuak Lake
110,Fox East
111,Leach Bay
112,Ward Inlet
113,Lake Harbour
114,West Baffin Upland
115,East Baffin Upland
116,Murchison Lake
117,Walker Lake
118,Nagvaak Lake
119,Cape Rupert Brown
120,Rae Ithmus
121,Blake Bay
122,Porsild
123,Happier Inlet
124,Cape Clarke
125,Vansittart Mountains
126,Bennett Bay
127,Gordon River
128,Granite Hills
129,Baker Lake
130,East Bay and Islands
131,Salluit Plateau
132,Pouvngnituk Hills
133,Clarence Lagoon
134,Shingle Point
135,Herschel
136,Moose Channel
137,Tukyoyaktuk Peninsula
138,Eskimo Lakes
139,Richards Island
140,Mackenzie Delta North
141,Noell Lake
142,Cape Bathurst - Smoking Hills
143,Wood Bay - Mason River
144,Anderson River
145,Biname Lake
146,Miner River
147,Simpson Lake
148,Horton Lake
149,Haldane River
150,Croker River
151,Dismal Lakes
152,Hornaday River
153,Rae River
154,Asiak River
155,Brock River
156,Hornada River
157,Southeast Kent Peninsula
158,Bathurst Inlet
159,Brichta Lake
160,McNaughton Lake
161,Hiuktak River
162,Ian Calder Lake
163,Chantrey
164,James River
165,Takijuk Lake
166,Stanbridge Lake
167,Mara River
168,Contwayto Lake
169,Back River
170,Garry Lake
171,Amer Lake
173,Tammarvi River
174,Aberdeen Lake
175,Kunwak River
176,Dubwant Lake
177,Clarke River
178,Thirty Mile Lake
179,Rankin Inlet
180,Chesterfield Inlet
181,Kaminak Lake
182,Eskimo Point
183,Geillini River
184,Fisher Strait and Islands
185,Boas River
186,Vachon Plateau
187,Lac Couture Hills
188,Lac Faribault Plateau
189,Ottawa Islands
190,Belcher Islands
191,MacKenzie Delta East
192,MacKenzie Delta West
193,North Treeline
194,Caribou River
195,Noisy Creek
196,English Chief River
197,Landy Creek
198,Upper Wrigley Creek
199,Travaillant Lake
200,Campbell Lake
201,Rorey Lake
202,Deese Arm
203,Smith Arm
204,McVicar Arm
205,Scented Grass Hills
206,Lost Hill Lake
207,Grizzley Bear Mountains
208,Fishing Lakes
209,Arctic Red River North
210,Marion Lake
211,Brown Bear Creek
212,Arctic Red River
213,Antaratue River
214,Aubry Lake
215,Lac des Bois
216,Fort Good Hope
217,Franklin
218,Blackwater Lake
219,Tseepantee Lake
220,MacKenzie North
221,Keele
222,MacKenzie South
223,Deese River
224,Grandin
225,Ochre River
226,Wrigley
227,Etna Lake
228,Keller
229,Grandlin Lake
230,Lac la Martre Plain
231,Cartage
232,Birch Lake Plain
233,Flat River
234,Prairie Creek
235,Sibbeston
236,Horn River
237,Horn Slope
238,Liard River
239,Fort Simpson
241,Rabbitskin River
242,Yates River Plain
243,Buffalo River Plain
244,Hay River Plain
245,Rainbow Lake Plain
246,Trout Lake North
247,Trout Lake
248,Etsho Plateau
249,Petitot Plain
250,Cameron Slope
251,Cameron Hills Upland
252,Muskwa
253,Caribou Slope
254,Caribou Upland
255,Calder River
256,Hepburn Lake
257,Snake River
258,Walmesley - Warburton
259,Whitefish Lake
260,Beaulieu River
261,East Arm
262,Territories Upland
263,Uranium City Upland
264,Thelon River
265,Kamilukuak Lake
266,Beaverhill Lake
267,Rennie Lake
268,Kazan Lake South
269,Watterson Lake
270,Pakulak Lake
271,Blevens Lake
272,Nejanilini Lake
273,Eynard Lake Upland
274,Striding River Upland
275,Kasba Lake
276,Neultin Lake
277,Dunvegan Lake Upland
278,Robins Lake Upland
279,Seal River
280,Sprott Lake
281,Embleton Lake
282,Big Sand Lake
283,Northern Indian Lake
284,Grande RiviÞre de la Baleine Plateau
285,Grande RiviÞre Depression
286,Lac Duncan Plain
287,Opinoca Hills
288,Lac Nedlouc Plateau
289,Lac Ó l'Eau Claire Plateau
290,Lac Guillaume-Deslisle
291,Lac D'Iberville Hills
292,Lac ChÔteaugay Plateau
293,RiviÞre Caniaspiseau Plateau
294,Lac Bienville Plateau
295,Lac OpiscotÚo Hills
296,Reservoir de Caniaspisaeu Depression
297,La Baleine Coastal Plain
298,Lac aux Feuilles Hills
299,RiviÚre Ó la Baleine Lowlands
300,Labrador Hills
301,Lac ChampdorÚ Depression
302,Port-Nouveau QuÚbec Coast
303,George River Lower Plateau
304,George Rriver Upper Plateau
305,Central Ranges
306,Western Plateau
307,Cabot Lake
308,Mistastin Lake
309,Hunt River
310,Harp Lake
311,Kanairiktok River
312,Smallwood Resevoir
