,BC,AB,SK,MB,ON,QC,NB,NS,NFLD,PEI
1990,0.017,0.95,0.8,0.026,0.2,0.013,0.37,0.72,0.045,1.3
1991,0.01,1,0.8,0.02,0.2,0.004,0.35,0.773,0.035,1.268
1992,0.02,1,0.88,0.01,0.2,0.007,0.391,0.785,0.041,1.471
1993,0.04,1,0.83,0.01,0.13,0.002,0.346,0.776,0.033,1.186
1994,0.04,0.98,0.88,0.01,0.1,0.003,0.392,0.754,0.019,1.5
1995,0.05,0.97,0.86,0.01,0.12,0.002,0.55,0.75,0.03,1.73
1996,0.01,0.99,0.86,0.01,0.13,0.002,0.393,0.723,0.032,2.222
1997,0.01,0.99,0.9,0.01,0.17,0.002,0.513,0.74,0.03,1.429
1998,0.03,0.97,0.91,0.03,0.23,0.01,0.512,0.747,0.023,3.333
1999,0.01,0.96,0.89,0.02,0.24,0.006,0.453,0.739,0.02,2.5
2000,0.035,0.95,0.85,0.033,0.3,0.004,0.49,0.85,0.019,1.1
2001,0.05,0.89,0.88,0.015,0.27,0.003,0.54,0.78,0.042,1.04
2002,0.014,0.88,0.85,0.017,0.26,0.002,0.53,0.64,0.043,0.76
2003,0.015,0.95,0.82,0.038,0.28,0.01,0.47,0.72,0.038,0.68
2004,0.023,0.92,0.86,0.014,0.2,0.009,0.49,0.84,0.032,0.38
2005,0.025,0.91,0.78,0.01,0.23,0.004,0.4,0.88,0.02,0.1
2006,0.028,0.85,0.74,0.012,0.19,0.005,0.44,0.86,0.016,0.08
2007,0.019,0.92,0.75,0.014,0.21,0.004,0.464,0.94,0.026,0.098
2008,0.028,0.94,0.71,0.012,0.17,0.003,0.52,0.79,0.021,0.028
2009,0.026,0.88,0.79,0.006,0.1,0.004,0.57,0.82,0.022,0.017
2010,0.024,0.87,0.8,0.002,0.13,0.003,0.5,0.75,0.017,0.003
2011,0.014,0.71,0.81,0.004,0.096,0.002,0.44,0.74,0.02,0.003
2012,0.009,0.79,0.83,0.003,0.096,0.003,0.42,0.7,0.018,0.022
2013,0.011,0.81,0.71,0.003,0.07,0.002,0.29,0.72,0.021,0.008
2014,0.011,0.76,0.76,0.004,0.04,0.001,0.24,0.7,0.03,0.007
2015,0.009,0.85,0.7,0.004,0.04,0.001,0.29,0.7,0.033,0.023
2016,0.012,0.76,0.66,0.002,0.04,0.001,0.27,0.67,0.037,0.007
2017,0.01,0.75,0.66,0.002,0.02,0.001,0.26,0.68,0.04,0.014
2018,0.012,0.63,0.68,0.001,0.029,0.001,0.29,0.72,0.026,0.004
