1,Alfalfa cubes,,,100,91,18.1,39.3,8.2,,,2.1,12,1.3,45.5,7.6,56,2,1.2,0.6,31,5.1,30,30,5.5,49.3,75,75,92,1.16,0.47,1.09,1.67,1.09,0.13,,1.14,,0.9,0.33,1.29,1.49,0.28,0.28,0.7,2.05,0.16,0.25,0.77,8.54,,648.5,44.1,0.8,24.3,19.3,1,
2,Alfalfa dehy,,,100,93.8,18.5,28,17,,,4,10.3,0.9,40.4,14.4,62.4,2.3,1.4,0.8,46,5.4,37,37,10,54.1,75,75,6,1.18,0.48,1.11,1.71,1.11,0.13,,1.17,,0.92,0.34,1.32,2.23,0.32,0.32,0.27,2.32,0.05,0.28,0.19,11.17,0.1,309,65.3,0.3,50.2,33,,91
3,Alfalfa fresh,,,100,30.7,23.1,50,8.7,,,1.5,6.2,22.5,37.9,10,63,2.3,1.4,0.8,8,5.7,25,25,5.5,43.5,75,75,82,0.56,0.15,0.72,1.48,0.74,0.28,,0.96,,0.76,0.42,,1.77,0.37,0.37,,2.92,0.12,0.33,0.65,8.31,0.2,252,39.7,0.2,24.7,155,,
4,Alfalfa greenchop,,,100,40.5,23.1,12.4,6.5,7.1,,2.5,11.1,2.1,34.4,6.2,59,2.1,1.3,0.7,46,5.4,37,37,10,54.1,75,75,6,1.48,0.61,1.39,2.14,1.39,0.17,,1.46,,1.16,0.43,1.65,1.51,0.35,0.35,0.66,2.88,0.07,0.21,0.19,10.5,0.1,309,31,0.3,21,33,,91
5,Alfalfa hay,,,100,87,19.8,25.2,12.2,8.7,,1.5,11.9,3,41.7,6.8,55.2,2,1.1,0.6,25,5.1,30,30,5.5,49.3,75,75,92,1.27,0.52,1.19,1.83,1.19,0.14,,1.25,,0.99,0.36,1.41,1.47,0.3,0.3,0.52,2.55,0.1,0.26,0.41,7.82,,170,44.5,0.6,23.5,19.3,1,
6,Alfalfa haylage,,,100,41,20.1,25.2,13.7,1.9,,2,12.1,1.9,42.5,6.4,63,2.3,1.4,0.8,46,5.4,37,37,10,54.1,75,75,6,1.28,0.53,1.21,1.86,1.21,0.15,,1.27,,1.01,0.37,1.44,1.56,0.33,0.33,0.63,2.75,0.13,0.31,0.19,7.84,0.1,309,42.4,0.3,25,33,,91
7,Almond hulls,,,100,89.2,5.5,40.9,11.5,15.1,,2.8,8.3,2.5,39,11.1,59.1,2.1,1.3,0.7,46.9,10.8,25,25,6,58.2,75,75,100,0.65,0.13,0.24,0.37,0.28,0.1,,0.36,,0.23,0.02,0.3,0.3,0.11,0.11,0.09,2.38,0.02,0.04,0.02,7.06,,368.1,20.9,0,16.3,,,
8,Apple pomace,,,100,18.5,6.4,20.2,10.6,,,6.1,3.1,4,45.6,14.9,70.9,2.6,1.7,1.1,56.8,10.7,50,50,5,33,75,75,34,0.18,0.06,0.18,0.35,0.18,0.04,,0.22,,0.18,0.29,0.24,0.15,0.09,0.09,0.04,0.83,0.02,0.08,,8.36,,105.6,10.8,,7.8,,,
9,Bakery products,,,,88.9,13.1,23.2,5.7,6.3,,10,4.1,37.6,13.9,2,91.9,3.3,2.3,1.6,33.4,9.7,16,16,7,81.9,75,75,,0.63,0.17,0.6,0.98,0.42,0.23,,0.54,,0.65,0.13,0.57,0.26,0.15,0.15,0.8,0.53,0.59,0.16,1.34,6.75,,192.4,44.4,,43.1,7.7,,44.9
10,Barley grain,,,,89.7,12.8,27.6,2.2,10.7,,2.2,2.8,56.7,18.3,1.7,84.1,3,2.1,1.4,50.8,10.4,30,30,5,79.2,75,75,34,0.62,0.29,0.5,0.87,0.39,0.1,,0.72,,0.4,0.16,0.62,0.08,0.13,0.13,0.17,0.53,0.02,0.14,0.35,6.12,0.1,99.4,21.8,1,30.6,3.8,,26.2
