,AB,AB,AB,AB,AB,AB,SK,SK,SK,SK,SK,SK,MB,MB,MB,MB,MB,MB,ON,ON,ON,QC,QC,QC,NB,NB,NB,NS,NS,NS,NFLD,NFLD,NFLD,PEI,PEI,PEI,BC,BC,BC,BC,BC,BC
,Black,Black,Black,Brown,Brown,Brown,Black,Black,Black,Brown,Brown,Brown,Black,Black,Black,Brown,Brown,Brown,East,East,East,East,East,East,East,East,East,East,East,East,East,East,East,East,East,East,Black,Black,Black,Brown,Brown,Brown
CROP,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT
Fallow,2.35,1.71,0.93,1.62,1.16,0.34,2.35,1.71,0.93,1.62,1.16,0.34,2.35,1.71,0.93,1.62,1.16,0.34,,,,,,,,,,,,,,,,,,,,,,,,
Small grain cereals,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Wheat,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Barley,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Undersown Barley,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Oats,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Triticale,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Sorghum,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Canary seed,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Buckwheat,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Grain corn,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,2.63,2.39,1.43,2.02,1.78,1.42
Mixed grains,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Durum,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Corn Silage,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,2.63,2.39,1.43,2.02,1.78,1.42
