Soil_Z,Cluster,Mortality_pct,Year,Age,Stems,DBH_cm,Height_m,Kg_pertree,km_per_ha,Stems_tosum1ha,Biomass_Mgkm,Volume_m3km,Roots_Mgkm,Fineroots_Mgkm
BLK_,BLK_1,0,2016,1,751,0.813430071,0,0.133155793,7.478855154,3739.427577,0.01337103,0.294054313,0.01337103,0.006016964
BLK_,BLK_1,0,2017,2,751,1.536061645,0.809283078,0.513031065,4.821803199,2410.901599,0.079905032,1.096551794,0.044391579,0.01997621
BLK_,BLK_1,0,2018,3,751,2.346818924,1.182612658,1.260931611,4.196095822,2098.047911,0.225676359,2.261485222,0.099239813,0.044657916
BLK_,BLK_1,0,2019,4,751,3.34535265,1.624192715,2.675205469,3.802037519,1901.01876,0.528421767,4.070766648,0.20613576,0.092761092
BLK_,BLK_1,0,2020,5,751,4.394327641,2.073241234,4.771737576,3.522051044,1761.025522,1.017468192,6.402469162,0.369797641,0.166408939
BLK_,BLK_1,0,2021,6,751,5.369513035,2.480574131,7.300569534,3.308661322,1654.330661,1.657083403,8.986720686,0.570037587,0.256516914
BLK_,BLK_1,0,2022,7,751,6.321951866,2.870923996,10.32337093,3.138361411,1569.180706,2.470350057,11.86884185,0.818169535,0.368176291
BLK_,BLK_1,0,2023,8,751,7.18693924,3.220077276,13.55146599,2.997942616,1498.971308,3.394711781,14.82991894,1.085713737,0.488571182
BLK_,BLK_1,0,2024,9,751,8.177458763,3.614535093,17.82217598,2.87930871,1439.654355,4.648495729,18.45233133,1.442423809,0.649090714
BLK_,BLK_1,0,2025,10,751,9.034280777,3.951694965,22.01804733,2.777170627,1388.585313,5.954100632,21.95091396,1.791867674,0.806340454
BLK_,BLK_1,0,2026,11,751,9.776628494,4.241091251,26.03421211,2.687900269,1343.950135,7.27396546,25.29103487,2.112385555,0.9505735
BLK_,BLK_1,0,2027,12,751,10.56266117,4.545014381,30.67615509,2.608910809,1304.455405,8.830425594,28.99102573,2.492942359,1.121824062
BLK_,BLK_1,0,2028,13,751,11.31624985,4.834167004,35.50605774,2.53829902,1269.14951,10.50508554,32.77023024,2.886833497,1.299075074
BLK_,BLK_1,0,2029,14,751,12.00997162,5.098562717,40.28345108,2.474627715,1237.313858,12.22522149,36.48954321,3.261241252,1.467558563
BLK_,BLK_1,0,2030,15,751,12.61162758,5.326570511,44.68575287,2.416787576,1208.393788,13.8857884,39.96999042,3.604436773,1.621996548
BLK_,BLK_1,0,2031,16,751,13.25085545,5.567569256,49.62818527,2.363906165,1181.953082,15.7666022,43.74945991,3.987599924,1.794419966
BLK_,BLK_1,0,2032,17,751,13.86691284,5.798678875,54.65154648,2.315286146,1157.643073,17.7271007,47.55890722,4.36723544,1.965255948
BLK_,BLK_1,0,2033,18,751,14.47404099,6.025386333,59.85325623,2.270362205,1135.181103,19.79851277,51.45427437,4.755655332,2.1400449
BLK_,BLK_1,0,2034,19,751,15.05096245,6.239890099,65.02838135,2.228670317,1114.335158,21.91275973,55.32150266,5.135085154,2.310788319
BLK_,BLK_1,0,2035,20,751,15.56289291,6.429506302,69.81089783,2.189825359,1094.912679,23.94162923,58.96236461,5.452950622,2.45382778
BLK_,BLK_1,0,2036,21,751,16.09590912,6.626238346,74.98145294,2.153504527,1076.752263,26.14857358,62.80872173,5.80893947,2.614022762
BLK_,BLK_1,0,2037,22,751,16.56908607,6.800310612,79.73547363,2.119434836,1059.717418,28.25344709,66.42155897,6.103468803,2.746560961
BLK_,BLK_1,0,2038,23,751,17.05679893,6.979186058,84.79753113,2.087383571,1043.691786,30.50850175,70.19599217,6.443776241,2.899699309
BLK_,BLK_1,0,2039,24,751,17.55944443,7.162976265,90.18721771,2.057150898,1028.575449,32.92446807,74.14015305,6.804266238,3.061919807
BLK_,BLK_1,0,2040,25,751,17.9963398,7.322277069,95.01475525,2.028564067,1014.282033,35.17566172,77.77844039,7.07635738,3.184360821
BLK_,BLK_1,0,2041,26,751,18.50464249,7.507103443,100.799057,2.001472833,1000.736416,37.82219441,81.92006178,7.450530685,3.352738808
BLK_,BLK_1,0,2042,27,751,18.93741226,7.664045811,105.8664932,1.975745789,987.8728943,40.24087209,85.67677295,7.731637683,3.479236958
BLK_,BLK_1,0,2043,28,751,19.37972641,7.824059963,111.181633,1.951267406,975.6337029,42.79137181,89.55992055,8.048053647,3.621624141
BLK_,BLK_1,0,2044,29,751,19.82687759,7.985435009,116.695015,1.92793563,963.967815,45.45688902,93.54234194,8.373096584,3.767893463
BLK_,BLK_1,0,2045,30,751,20.25509834,8.139619827,122.1073837,1.905659908,952.8299538,48.12120069,97.46774088,8.662081391,3.897936626
BLK_,BLK_1,0,2046,31,751,20.63809967,8.277233124,127.0582657,1.884359557,942.1797784,50.63829764,101.1506244,8.87543875,3.993947438
BLK_,BLK_1,0,2047,32,751,21.07523918,8.433971405,132.8362427,1.863962414,931.9812069,53.52040358,105.2582661,9.194737985,4.137632093
BLK_,BLK_1,0,2048,33,751,21.47660255,8.577581406,138.2610931,1.8444037,922.2018498,56.29682842,109.1799786,9.460898465,4.257404309
BLK_,BLK_1,0,2049,34,751,21.82841873,8.703231812,143.1107788,1.825625068,912.812534,58.87090353,112.804125,9.648527581,4.341837412
BLK_,BLK_1,0,2050,35,751,22.21576309,8.84132576,148.5525665,1.807573799,903.7868997,61.71973542,116.7297615,9.899907528,4.454958387
BLK_,BLK_1,0,2051,36,751,22.57909775,8.970628738,153.7546997,1.790202115,895.1010577,64.5009733,120.5306376,10.11314861,4.550916875
BLK_,BLK_1,0,2052,37,751,22.95444298,9.103978157,159.2283478,1.773466594,886.7332969,67.4275374,124.4677705,10.36189877,4.662854445
BLK_,BLK_1,0,2053,38,751,23.33000183,9.237174034,164.806488,1.757327666,878.6638331,70.43062045,128.4555205,10.62918382,4.783132719
BLK_,BLK_1,0,2054,39,751,23.67597198,9.359676361,170.0350952,1.741749185,870.8745924,73.31500849,132.2640077,10.824005,4.870802252
BLK_,BLK_1,0,2055,40,751,24.00170517,9.474842072,175.0368347,1.726698049,863.3490244,76.12950447,135.956393,10.98396572,4.942784573
BLK_,BLK_1,0,2056,41,751,24.34806824,9.597121239,180.4395599,1.712143877,856.0719387,79.14645034,139.8498969,11.19644597,5.038400688
BLK_,BLK_1,0,2057,42,751,24.70774269,9.723906517,186.141861,1.698058728,849.0293642,82.32491225,143.8923424,11.43236518,5.144564331
BLK_,BLK_1,0,2058,43,751,25.04704475,9.843334198,191.607254,1.684416848,842.208424,85.42840928,147.8136711,11.65972248,5.246875115
BLK_,BLK_1,0,2059,44,751,25.37370682,9.958150864,196.9480743,1.671194454,835.597227,88.50436703,151.6709729,11.84864487,5.331890189
BLK_,BLK_1,0,2060,45,751,25.71043015,10.07634258,202.5347595,1.658369545,829.1847724,91.71876424,155.6498553,12.05441508,5.424486784
BLK_,BLK_1,0,2061,46,751,26.06501198,10.20062637,208.5070801,1.645921728,822.9608642,95.13746189,159.8193366,12.3025035,5.536126574
BLK_,BLK_1,0,2062,47,751,26.37103844,10.30774879,213.7353973,1.633832074,816.9160371,98.24466641,163.616177,12.43400809,5.595303641
BLK_,BLK_1,0,2063,48,751,26.66196442,10.40946484,218.7692719,1.622082979,811.0414894,101.2868761,167.3153277,12.55176494,5.648294223
BLK_,BLK_1,0,2064,49,751,26.96939659,10.51682472,224.1560974,1.610658048,805.3290241,104.5170506,171.1891031,12.72360818,5.725623679
BLK_,BLK_1,0,2065,50,751,27.30533218,10.6339922,230.1216431,1.599541992,799.7709958,108.0442711,175.3486872,12.96481607,5.83416723
BLK_,BLK_1,0,2066,51,751,27.58492088,10.73139095,235.149765,1.588720527,794.3602635,111.1570381,179.0423349,13.06211335,5.877951006
BLK_,BLK_1,0,2067,52,751,27.88962936,10.83742332,240.6951294,1.578180297,789.0901485,114.5382731,182.991185,13.23774232,5.956984045
BLK_,BLK_1,0,2068,53,751,28.21655273,10.9510498,246.7208099,1.567908791,783.9543955,118.1748116,187.1759152,13.46578885,6.059604984
BLK_,BLK_1,0,2069,54,751,28.51138115,11.05340385,252.2225189,1.557894279,778.9471393,121.5866308,191.100613,13.62144643,6.129650892
BLK_,BLK_1,0,2070,55,751,28.79150581,11.15054989,257.5093384,1.548125746,774.0628732,124.9184781,194.91851,13.74211191,6.183950361
BLK_,BLK_1,0,2071,56,751,29.08254242,11.2513752,263.0635376,1.538592842,769.2964209,128.4035135,198.8671449,13.9137578,6.261191012
BLK_,BLK_1,0,2072,57,751,29.37496376,11.35257339,268.7073364,1.529285824,764.6429119,131.9564969,202.8587424,14.06375539,6.328689927
BLK_,BLK_1,0,2073,58,751,29.67032051,11.45468044,274.4720764,1.520195516,760.0977578,135.5934362,206.9085757,14.24089694,6.408403623
BLK_,BLK_1,0,2074,59,751,29.9366684,11.5466671,279.7261658,1.511313263,755.6566315,139.0011913,210.707103,14.33341286,6.450035788
BLK_,BLK_1,0,2075,60,751,30.21082497,11.6412611,285.1893005,1.502630897,751.3154487,142.5347822,214.6073352,14.46200485,6.507902184
BLK_,BLK_1,15,2016,1,639,0.877764046,0,0.156494528,8.798653123,4399.326561,0.011365376,0.255218777,0.011365376,0.005114419
BLK_,BLK_1,15,2017,2,639,1.659641147,0.858112872,0.604568362,5.672709646,2836.354823,0.068101353,0.953389565,0.037512494,0.016880622
BLK_,BLK_1,15,2018,3,639,2.520064831,1.247078419,1.466631413,4.936583319,2468.29166,0.18984334,1.949601717,0.082830495,0.037273723
BLK_,BLK_1,15,2019,4,639,3.571343422,1.703779459,3.073210478,4.472985316,2236.492658,0.439031508,3.48112852,0.170039245,0.07651766
BLK_,BLK_1,15,2020,5,639,4.674177647,2.167775631,5.439587116,4.143589463,2071.794732,0.838861118,5.4477273,0.30286511,0.1362893
BLK_,BLK_1,15,2021,6,639,5.701806068,2.589754581,8.292510986,3.892542732,1946.271366,1.361298951,7.628769237,0.465409576,0.209434309
BLK_,BLK_1,15,2022,7,639,6.709253311,2.995713711,11.71145439,3.692189896,1846.094948,2.026878264,10.06723934,0.667459838,0.300356927
BLK_,BLK_1,15,2023,8,639,7.62795639,3.360329151,15.37669659,3.526991313,1763.495656,2.785861507,12.58049419,0.886272755,0.39882274
BLK_,BLK_1,15,2024,9,639,8.684308052,3.773931742,20.24759674,3.387422012,1693.711006,3.819487067,15.66602308,1.179499214,0.530774646
BLK_,BLK_1,15,2025,10,639,9.613924026,4.133536339,25.12351608,3.267259561,1633.629781,4.913575681,18.6891087,1.472939847,0.662822931
BLK_,BLK_1,15,2026,11,639,10.41055393,4.438788891,29.74644661,3.162235611,1581.117805,6.010930937,21.55190513,1.739192219,0.782636499
BLK_,BLK_1,15,2027,12,639,11.25620079,4.760151863,35.10749054,3.069306834,1534.653417,7.309039975,24.73108889,2.056551116,0.925448002
BLK_,BLK_1,15,2028,13,639,12.06870174,5.066535473,40.7025528,2.986234141,1493.117071,8.709608978,27.98515082,2.386279236,1.073825656
BLK_,BLK_1,15,2029,14,639,12.8179369,5.347144604,46.25096893,2.911326724,1455.663362,10.15151273,31.19288623,2.700812307,1.215365538
BLK_,BLK_1,15,2030,15,639,13.46858788,5.589433193,51.37434387,2.843279501,1421.63975,11.54589433,34.19797178,2.99004522,1.345520349
BLK_,BLK_1,15,2031,16,639,14.16059017,5.845775604,57.13647842,2.781066076,1390.533038,13.12813486,37.46574307,3.313622049,1.491129922
BLK_,BLK_1,15,2032,17,639,14.82807732,6.09179306,63.0021553,2.723866054,1361.933027,14.77986662,40.76269189,3.63495436,1.635729462
BLK_,BLK_1,15,2033,18,639,15.48634529,6.333274841,69.08436584,2.671014359,1335.50718,16.52739582,44.13702264,3.964341859,1.783953836
BLK_,BLK_1,15,2034,19,639,16.11218643,6.561862946,75.14242554,2.621965079,1310.982539,18.31298677,47.48914865,4.286697168,1.929013725
BLK_,BLK_1,15,2035,20,639,16.66772842,6.763993263,80.74600983,2.576265128,1288.132564,20.02771456,50.64605164,4.557474129,2.050863358
BLK_,BLK_1,15,2036,21,639,17.24630737,6.97375536,86.80895233,2.533534737,1266.767369,21.8946745,53.98326248,4.860820979,2.18736944
BLK_,BLK_1,15,2037,22,639,17.76003456,7.159385681,92.38713837,2.493452748,1246.726374,23.67615881,57.11831926,5.112456688,2.30060551
BLK_,BLK_1,15,2038,23,639,18.28960991,7.350153923,98.33000183,2.455745378,1227.872689,25.58606994,60.39509705,5.403064264,2.431378919
BLK_,BLK_1,15,2039,24,639,18.83543968,7.546171665,104.6606293,2.420177527,1210.088763,27.63356799,63.82062311,5.710976558,2.569939451
BLK_,BLK_1,15,2040,25,639,19.30989265,7.716071606,110.3332977,2.386545961,1193.27298,29.54184712,66.98029528,5.94413383,2.674860223
BLK_,BLK_1,15,2041,26,639,19.86188507,7.913188457,117.1326218,2.354673921,1177.336961,31.78688255,70.57924534,6.263955752,2.818780088
BLK_,BLK_1,15,2042,27,639,20.33184624,8.080557823,123.0911484,2.32440681,1162.203405,33.83884503,73.84318785,6.504958972,2.927231537
BLK_,BLK_1,15,2043,28,639,20.81214714,8.251191139,129.3424988,2.295608713,1147.804356,36.00346099,77.21773467,6.775974423,3.049188491
BLK_,BLK_1,15,2044,29,639,21.29766846,8.423258781,135.8284302,2.268159565,1134.079782,38.26643059,80.67914965,7.05436072,3.174462324
BLK_,BLK_1,15,2045,30,639,21.76259613,8.58764267,142.1967316,2.241952833,1120.976416,40.52882342,84.0911117,7.302172578,3.28597766
BLK_,BLK_1,15,2046,31,639,22.17839622,8.734343529,148.0229187,2.216893596,1108.446798,42.66629991,87.29186075,7.485781825,3.368601821
BLK_,BLK_1,15,2047,32,639,22.65292358,8.901412964,154.8233185,2.192896957,1096.448479,45.11479574,90.86306697,7.759330991,3.491698946
BLK_,BLK_1,15,2048,33,639,23.08856773,9.054469109,161.2088318,2.169886705,1084.943353,47.47364959,94.27230943,7.987742789,3.594484255
BLK_,BLK_1,15,2049,34,639,23.47039604,9.188368797,166.9178467,2.147794198,1073.897099,49.66048841,97.42226252,8.149423611,3.667240625
