,AB,AB,AB,AB,AB,AB,SK,SK,SK,SK,SK,SK,MB,MB,MB,MB,MB,MB,ON,ON,ON,QC,QC,QC,NB,NB,NB,NS,NS,NS,NFLD,NFLD,NFLD,PEI,PEI,PEI,BC,BC,BC,BC,BC,BC
,Black,Black,Black,Brown,Brown,Brown,Black,Black,Black,Brown,Brown,Brown,Black,Black,Black,Brown,Brown,Brown,East,East,East,East,East,East,East,East,East,East,East,East,East,East,East,East,East,East,Black,Black,Black,Brown,Brown,Brown
,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT,IT,RT,NT
Fallow,0.06,0.11,0.6,0,0.07,0.78,0.06,0.11,0.6,0,0.07,0.78,0.06,0.11,0.6,0,0.07,0.78,,,,,,,,,,,,,,,,,,,,,,,,
Small grain cereals,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Wheat,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Barley,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Undersown Barley,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Oats,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Triticale,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Sorghum,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Canary seed,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Buckwheat,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Grain corn,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Mixed grains,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Durum,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Corn Silage,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Barley Silage,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Oat Silage,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Triticale Silage,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Wheat Silage,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Oilseeds,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Canola,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Mustard,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Flax,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Pulse crops,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Pulse crops,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Soybean,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Beans (dry field),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Chickpea,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Dry pea,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Field Pea,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Lentil,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Potato,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
