Soil_Z,Cluster,Mortality_pct,Year,Age,Stems,DBH_cm,Height_m,Kg_pertree,km_per_ha,Stems_tosum1ha,Biomass_Mgkm,Volume_m3km,Roots_Mgkm,Fineroots_Mgkm
BLK_,BLK_1,30,2020,5,249,6.056245327,6.543235302,5.767980099,5.320487677,2660.243838,0.269942741,3.430527194,0.096106215,0.043247797
BLK_,BLK_1,30,2021,6,249,8.189120293,7.351447105,11.5493288,4.712381975,2356.190987,0.61026099,6.231823162,0.206424767,0.092891145
BLK_,BLK_1,30,2022,7,249,10.44325542,8.074858665,20.20964813,4.252790687,2126.395344,1.183270654,10.1305375,0.388598507,0.174869328
BLK_,BLK_1,30,2023,8,249,12.61238289,8.685059547,31.20087814,3.891067539,1945.53377,1.996629076,14.90836409,0.636919832,0.286613924
BLK_,BLK_1,30,2024,9,249,15.20025349,9.333839417,47.93870926,3.597630322,1798.815161,3.317944663,21.63933354,1.031881156,0.46434652
BLK_,BLK_1,30,2025,10,249,17.54652596,9.865616798,66.70261383,3.353943741,1676.971871,4.952066241,29.10510282,1.501417817,0.675638018
BLK_,BLK_1,30,2026,11,249,19.64071465,10.30447006,86.46155548,3.147753119,1573.87656,6.839458612,37.04312536,2.006846298,0.903080834
BLK_,BLK_1,30,2027,12,249,22.01058388,10.76770687,112.3757248,2.970604386,1485.302193,9.419482199,46.97294354,2.705009152,1.217254119
BLK_,BLK_1,30,2028,13,249,24.31633186,11.18985653,141.33078,2.816460624,1408.230312,12.49488932,57.96798093,3.514241328,1.581408598
BLK_,BLK_1,30,2029,14,249,26.22327614,11.5207653,168.1473541,2.680885959,1340.44298,15.61748346,68.59576803,4.267686936,1.920459121
BLK_,BLK_1,30,2030,15,249,27.87350845,11.79539299,193.5005646,2.560541519,1280.27076,18.81697346,79.07189027,5.014990337,2.256745652
BLK_,BLK_1,30,2031,16,249,29.62016106,12.07539749,222.5480804,2.45286192,1226.43096,22.59176099,90.84216192,5.876884572,2.644598057
BLK_,BLK_1,30,2032,17,249,31.2947464,12.33448219,252.5720978,2.355840733,1177.920366,26.69554561,103.1482945,6.774691564,3.048611204
BLK_,BLK_1,30,2033,18,249,32.93554688,12.58020687,284.0904541,2.267884156,1133.942078,31.19141779,116.1367766,7.728961049,3.478032472
BLK_,BLK_1,30,2034,19,249,34.48485184,12.80542183,315.7885132,2.187708738,1093.854369,35.94232424,129.4400806,8.701626847,3.915732081
BLK_,BLK_1,30,2035,20,249,35.85102081,12.99891472,345.3222656,2.114268334,1057.134167,40.6690302,142.3949719,9.579132022,4.31060941
BLK_,BLK_1,30,2036,21,249,37.26466751,13.19442272,377.4631653,2.04670094,1023.35047,45.92186787,156.3416735,10.56209349,4.752942069
BLK_,BLK_1,30,2037,22,249,38.51202011,13.36318493,407.1734009,1.98428932,992.14466,51.09445227,169.8490813,11.43796142,5.147082637
BLK_,BLK_1,30,2038,23,249,39.79010773,13.53265953,438.9423218,1.92643142,963.2157102,56.73528819,184.1891905,12.43385741,5.595235834
BLK_,BLK_1,30,2039,24,249,41.09934616,13.70283318,472.8916321,1.872617812,936.3089058,62.87989671,199.4024112,13.49627739,6.073324825
BLK_,BLK_1,30,2040,25,249,42.23084641,13.84724236,503.3891296,1.82241428,911.2071399,68.77903498,213.8573853,14.37826972,6.470221374
