Soil_Z,Cluster,Mortality_pct,Year,Age,Stems,DBH_cm,Height_m,Kg_pertree,km_per_ha,Stems_tosum1ha,Biomass_Mgkm,Volume_m3km,Roots_Mgkm,Fineroots_Mgkm
BLK_,BLK_1,0,2016,1,791,0.03929482,0,0.000632111,4.747211014,2373.605507,0.000105325,0.002380612,0.000105325,4.73963E-05
BLK_,BLK_1,0,2017,2,791,0.063703857,0.339404494,0.001581441,3.941596728,1970.798364,0.000317364,0.005934413,0.001278753,0.000575439
BLK_,BLK_1,0,2018,3,791,0.464991033,0.972052097,0.068795711,3.535305134,1767.652567,0.015392562,0.131942381,0.029697166,0.013363725
BLK_,BLK_1,0,2019,4,791,2.765267849,2.497797012,2.028492451,3.27269732,1636.34866,0.490279816,2.08779606,0.316917474,0.142612863
BLK_,BLK_1,0,2020,5,791,5.109972477,3.457191706,6.506331444,3.08251277,1541.256385,1.66958205,5.587366102,0.805721961,0.362574883
BLK_,BLK_1,0,2021,6,791,6.849464417,4.037162304,11.34579086,2.935354486,1467.677243,3.057388961,9.120577711,1.292925029,0.581816263
BLK_,BLK_1,0,2022,7,791,8.437488556,4.508290291,16.8543396,2.816428513,1408.214257,4.733577478,13.01149189,1.842992588,0.829346665
BLK_,BLK_1,0,2023,8,791,9.705916405,4.855214119,21.98643303,2.717311915,1358.655957,6.400174039,16.65185249,2.339544721,1.052795124
BLK_,BLK_1,0,2024,9,791,11.08642769,5.209316254,28.29920769,2.63278425,1316.392125,8.502281552,20.99633013,2.944345859,1.324955637
BLK_,BLK_1,0,2025,10,791,12.33103943,5.511130333,34.63198853,2.559402186,1279.701093,10.70324268,25.35078595,3.537022714,1.591660221
BLK_,BLK_1,0,2026,11,791,13.38493252,5.755646229,40.46483612,2.494783592,1247.391796,12.82984469,29.42535251,4.04355103,1.819597964
BLK_,BLK_1,0,2027,12,791,14.48238087,6.000815392,46.99316406,2.437217053,1218.608527,15.2516552,33.91470043,4.619573768,2.078808195
BLK_,BLK_1,0,2028,13,791,15.52392769,6.225527763,53.61442947,2.385434714,1192.717357,17.77831666,38.47036743,5.18987678,2.335444551
BLK_,BLK_1,0,2029,14,791,16.47790146,6.425195694,60.0399971,2.338473133,1169.236566,20.30882294,42.92964205,5.708973196,2.569037938
BLK_,BLK_1,0,2030,15,791,17.3037281,6.593688965,65.87945557,2.295584331,1147.792166,22.70038591,47.07302964,6.165846975,2.774631139
BLK_,BLK_1,0,2031,16,791,18.18129539,6.768641472,72.36507416,2.256176884,1128.088442,25.37069342,51.59891275,6.670005965,3.001502684
BLK_,BLK_1,0,2032,17,791,19.02854156,6.933815956,78.89924622,2.21977569,1109.887845,28.11514037,56.16769559,7.158311598,3.221240219
BLK_,BLK_1,0,2033,18,791,19.86578941,7.093673706,85.61821747,2.185993788,1092.996894,30.98088011,60.855827,7.65032702,3.442647159
