PR,CARUID,PRSAD,YEAR,CROP,SEEDED,ESEED,HARV,EHARV,PERHARV,YIELD,YLDLBS,EYIELD,PRODN,PRDLBS,EPRODN,NYIELD,NYLDLBS,NEYIELD,PPYIELD,
46,4601,4601,1985,Barley,167000,67600,166000,67200,0.994011976,65.9,-99,3500,10939,-99,238200,66,-99,3544.64,0.012755102,
46,4601,4601,1985,Canary seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4601,4601,1985,Canola,116500,47100,116500,47100,1,26.8,-99,1500,3118,-99,70700,27,-99,1501.06,0.000707714,
46,4601,4601,1985,Chick peas,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4601,4601,1985,Flaxseed,115200,46600,115200,46600,1,18.6,-99,1200,2140,-99,54400,19,-99,1167.38,-0.027181688,
46,4601,4601,1985,Lentils,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4601,4601,1985,Mustard seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4601,4601,1985,Oats,49636,20100,40000,16200,0.80586671,68.2,-99,2600,2728,-99,42100,68,-99,2598.77,-0.000474834,
46,4601,4601,1985,"Peas, dry",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4601,4601,1985,"Rye, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4601,4601,1985,"Rye, fall remaining",47400,19200,47400,19200,1,31,-99,1900,1469,-99,37300,31,-99,1942.71,0.02247807,
46,4601,4601,1985,"Rye, spring",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4601,4601,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4601,4601,1985,Summerfallow,100000,40500,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4601,4601,1985,Sunflower seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4601,4601,1985,Triticale,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4601,4601,1985,"Wheat, all",689600,279100,689600,279100,1,39.6,-99,2700,27283,-99,742600,40,-99,2660.70,-0.014557374,
46,4601,4601,1985,"Wheat, durum",107000,43200,107000,43200,1,38.6,-99,2600,4133,-99,112600,39,-99,2606.48,0.002492877,
46,4601,4601,1985,"Wheat, spring",582600,235800,582600,235800,1,39.7,-99,2700,23150,-99,630000,40,-99,2671.76,-0.010460843,
46,4601,4601,1985,"Wheat, winter remaining",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4602,4602,1985,Barley,250000,101200,248000,100400,0.992,58.2,-99,3100,14436,-99,314300,58,-99,3130.48,0.009831641,
46,4602,4602,1985,Canary seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4602,4602,1985,Canola,87600,35500,87600,35500,1,25.9,-99,1500,2266,-99,51400,26,-99,1447.89,-0.034741784,
46,4602,4602,1985,Chick peas,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4602,4602,1985,Flaxseed,66800,27000,66800,27000,1,17.2,-99,1100,1148,-99,29200,17,-99,1081.48,-0.016835017,
46,4602,4602,1985,Lentils,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4602,4602,1985,Mustard seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4602,4602,1985,Oats,100500,40600,75000,30400,0.746268657,59.2,-99,2300,4443,-99,68600,59,-99,2256.58,-0.018878719,
46,4602,4602,1985,"Peas, dry",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4602,4602,1985,"Rye, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4602,4602,1985,"Rye, fall remaining",41800,16900,41800,16900,1,29,-99,1800,1213,-99,30800,29,-99,1822.49,0.012491782,
46,4602,4602,1985,"Rye, spring",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4602,4602,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4602,4602,1985,Summerfallow,143000,57900,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4602,4602,1985,Sunflower seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4602,4602,1985,Triticale,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4602,4602,1985,"Wheat, all",518600,209900,518600,209900,1,36.1,-99,2400,18696,-99,508800,36,-99,2424.01,0.010004764,
46,4602,4602,1985,"Wheat, durum",58000,23400,58000,23400,1,35.8,-99,2400,2078,-99,56700,36,-99,2423.08,0.009615385,
46,4602,4602,1985,"Wheat, spring",460600,186400,460600,186400,1,36.1,-99,2400,16618,-99,452300,36,-99,2426.50,0.011042561,
46,4602,4602,1985,"Wheat, winter remaining",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4603,4603,1985,Barley,285000,115300,285000,115300,1,59.6,-99,3200,16988,-99,370000,60,-99,3209.02,0.002818734,
46,4603,4603,1985,Canary seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4603,4603,1985,Canola,103800,42000,103800,42000,1,28.4,-99,1600,2943,-99,66700,28,-99,1588.10,-0.007440476,
46,4603,4603,1985,Chick peas,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
