Crops,Intercept,Slope,RSt,N Content of Residues,Lingin Content of residues,Moisture Content %
Barley,0.373,0.028,0.21,0.009,0.046,12
Buckwheat,0.344,0.015,0.229,0.007,0.053,12
Canola,0.18,0.046,0.375,0.0083,0.073,9
CEREALS,0.38,0.015,0.248,0.0083,0.073,12
CHICKPEA,0.301,0.063,0.219,0.008,0.075,13
GrainCorn,0.369,0.015,0.25,0.0063,0.11,15
CORNSiLaGe,0.369,0.015,0.25,0.0063,0.11,70
DryFieldBeaNS,0.2,0.099,0.224,0.008,0.085,13
DryFieldPEAS,0.163,0.071,0.215,0.008,0.075,13
FABABEAN,0.2,0.099,0.224,0.008,0.085,13
FLAXSeeD,0.171,0.11,0.193,0.0063,0.15,8
GRAINS,0.336,0.02,0.245,0.0068,0.074,12
LENTIL,0.305,0.059,0.239,0.008,0.075,13
MUSTardSeeD,0.18,0.046,0.375,0.0083,0.073,9
MiXeDGRaiN,0.357,0.029,0.419,0.0073,0.047,12
OATS,0.357,0.029,0.419,0.0073,0.047,12
OtherDryFieldBeaNS,0.279,0.046,0.223,0.008,0.075,13
OILSEEDS,0.197,0.078,0.246,0.008,0.073,2
PEAS,0.163,0.071,0.215,0.008,0.075,13
POTAToes,0.795,0,0.097,0.0169,0.073,75
PULSES,0.279,0.046,0.223,0.008,0.075,13
RYEALL,0.344,0.015,0.229,0.007,0.053,12
RYESPrinG,0.344,0.015,0.229,0.007,0.053,12
SAFFLoWeR,0.197,0.078,0.246,0.008,0.073,2
SOYBeaNS,0.2,0.099,0.224,0.008,0.085,14
SUGARBeets,0.925,0,0.097,0.0169,0.073,80
SUNFLowerSeeds,0.197,0.078,0.246,0.0169,0.073,2
TRITICaLe,0.344,0.015,0.229,0.007,0.053,12
WHITeBeans,0.279,0.046,0.223,0.008,0.075,13
WHeaTALL,0.344,0.015,0.229,0.007,0.053,12
WHeaTRYE,0.344,0.015,0.229,0.007,0.053,12
WHeaTSPrinG,0.344,0.015,0.229,0.007,0.053,12
WHeaTWINTer,0.344,0.015,0.229,0.007,0.053,12
WHeaTDURum,0.344,0.015,0.229,0.007,0.053,12
CANARYseeds,0.171,0.11,0.193,0.008,0.073,8
TOBACCO,0.5,0,0.2,0.008,0.073,13
Generic grains,0,0,0,0.0068,0.074,0
Winter wheat,0,0,0,0.0069,0.053,0
Spring wheat,0,0,0,0.007,0.053,0
Barley,0,0,0,0.009,0.046,0
Oats,0,0,0,0.0073,0.047,0
Maize,0,0,0,0.0063,0.11,0
Rye,0,0,0,0.008,0.05,0
Rice,0,0,0,0.007,0.125,0
Millet,0,0,0,0.007,0.062,0
Sorghum,0,0,0,0.0065,0.06,0
Beans,0,0,0,0.008,0.075,0
Pulses,0,0,0,0.008,0.075,0
Soybeans,0,0,0,0.008,0.085,0
Tubers,0,0,0,0.0169,0.073,0
Peanuts,0,0,0,0.016,0.086,0
N-fixing forages,0,0,0,0.025,0.072,0
Alfalfa,0,0,0,0.0238,0.072,0
Non-N-fixing forages,0,0,0,0.0134,0.049,0
Perennial grasses,0,0,0,0.0126,0.049,0
Grass-clover mixtures,0,0,0,0.0178,0.061,0
Non-legume hay,0,0,0,0.0134,0.057,0
