PR,CARUID,PRSAD,YEAR,CROP,SEEDED,ESEED,HARV,EHARV,PERHARV,YIELD,YLDLBS,EYIELD,PRODN,PRDLBS,EPRODN,NYIELD,NYLDLBS,NEYIELD,PPYIELD,CSAD
35,3501,3501,1985,Barley,69500,28000,69500,28000,1,67.8,-99,3700,4714,-99,102600,67.8,-99,3664,-0.01,Southern Ontario Region 1 - Ontario
35,3501,3501,1985,Corn for grain,1116900,452000,1116900,452000,1,113,-99,7100,126224,-99,3206300,113.0,-99,7094,0.00,Southern Ontario Region 1 - Ontario
35,3501,3501,1985,Oats,59500,24000,59500,24000,1,73.5,-99,2800,4373,-99,67500,73.5,-99,2813,0.00,Southern Ontario Region 1 - Ontario
35,3501,3501,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Southern Ontario Region 1 - Ontario
35,3501,3501,1985,"Wheat, all",313500,126700,313500,126700,1,67.9,-99,4600,21282,-99,579200,67.9,-99,4571,-0.01,Southern Ontario Region 1 - Ontario
35,3502,3502,1985,Barley,269500,109000,269500,109000,1,68.9,-99,3700,18566,-99,404400,68.9,-99,3710,0.00,Western Ontario Region 2 - Ontario
35,3502,3502,1985,Corn for grain,578200,234000,578200,234000,1,94.8,-99,5900,54801,-99,1392000,94.8,-99,5949,0.01,Western Ontario Region 2 - Ontario
35,3502,3502,1985,Oats,79200,32000,79200,32000,1,71.1,-99,2700,5633,-99,86900,71.1,-99,2716,0.01,Western Ontario Region 2 - Ontario
35,3502,3502,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Western Ontario Region 2 - Ontario
35,3502,3502,1985,"Wheat, all",145000,58600,145000,58600,1,68.8,-99,4600,9970,-99,271300,68.8,-99,4630,0.01,Western Ontario Region 2 - Ontario
35,3503,3503,1985,Barley,57500,23200,57500,23200,1,64.9,-99,3500,3730,-99,81200,64.9,-99,3500,0.00,Central Ontario Region 3 - Ontario
35,3503,3503,1985,Corn for grain,231700,93800,231700,93800,1,78.3,-99,4900,18129,-99,460500,78.2,-99,4909,0.00,Central Ontario Region 3 - Ontario
35,3503,3503,1985,Oats,45900,18500,45900,18500,1,65.1,-99,2500,2992,-99,46200,65.2,-99,2497,0.00,Central Ontario Region 3 - Ontario
35,3503,3503,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Central Ontario Region 3 - Ontario
