PR,CARUID,PRSAD,YEAR,CROP,SEEDED,ESEED,HARV,EHARV,PERHARV,YIELD,YLDLBS,EYIELD,PRODN,PRDLBS,EPRODN,NYIELD,NYLDLBS,NEYIELD,PPYIELD,CSAD
24,2401,2401,1985,Barley,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Bas-Saint-Laurent and Gaspésie-Îles de-la-Madeleine, 1 - Québec"
24,2401,2401,1985,Corn for grain,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Bas-Saint-Laurent and Gaspésie-Îles de-la-Madeleine, 1 - Québec"
24,2401,2401,1985,Oats,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Bas-Saint-Laurent and Gaspésie-Îles de-la-Madeleine, 1 - Québec"
24,2401,2401,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Bas-Saint-Laurent and Gaspésie-Îles de-la-Madeleine, 1 - Québec"
24,2401,2401,1985,"Wheat, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Bas-Saint-Laurent and Gaspésie-Îles de-la-Madeleine, 1 - Québec"
24,2402,2402,1985,Barley,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Saguenay-Lac-Saint-Jean and Côte-Nord, 2 - Québec"
24,2402,2402,1985,Corn for grain,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Saguenay-Lac-Saint-Jean and Côte-Nord, 2 - Québec"
24,2402,2402,1985,Oats,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Saguenay-Lac-Saint-Jean and Côte-Nord, 2 - Québec"
24,2402,2402,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Saguenay-Lac-Saint-Jean and Côte-Nord, 2 - Québec"
24,2402,2402,1985,"Wheat, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Saguenay-Lac-Saint-Jean and Côte-Nord, 2 - Québec"
24,2403,2403,1985,Barley,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Capitale nationale and Mauricie, 3 - Québec"
24,2403,2403,1985,Corn for grain,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Capitale nationale and Mauricie, 3 - Québec"
24,2403,2403,1985,Oats,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Capitale nationale and Mauricie, 3 - Québec"
24,2403,2403,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Capitale nationale and Mauricie, 3 - Québec"
24,2403,2403,1985,"Wheat, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Capitale nationale and Mauricie, 3 - Québec"
24,2404,2403,1985,Barley,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Capitale nationale and Mauricie, 3 - Québec"
24,2404,2403,1985,Corn for grain,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Capitale nationale and Mauricie, 3 - Québec"
24,2404,2403,1985,Oats,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Capitale nationale and Mauricie, 3 - Québec"
24,2404,2403,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Capitale nationale and Mauricie, 3 - Québec"
24,2404,2403,1985,"Wheat, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Capitale nationale and Mauricie, 3 - Québec"
24,2405,2404,1985,Barley,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Estrie, 4 - Québec"
24,2405,2404,1985,Corn for grain,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Estrie, 4 - Québec"
24,2405,2404,1985,Oats,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Estrie, 4 - Québec"
24,2405,2404,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Estrie, 4 - Québec"
24,2405,2404,1985,"Wheat, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Estrie, 4 - Québec"
24,2406,2405,1985,Barley,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Montréal, Laval and Lanaudière, 5 - Québec"
24,2406,2405,1985,Corn for grain,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Montréal, Laval and Lanaudière, 5 - Québec"
24,2406,2405,1985,Oats,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Montréal, Laval and Lanaudière, 5 - Québec"
24,2406,2405,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Montréal, Laval and Lanaudière, 5 - Québec"
24,2406,2405,1985,"Wheat, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Montréal, Laval and Lanaudière, 5 - Québec"
24,2407,2405,1985,Barley,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Montréal, Laval and Lanaudière, 5 - Québec"
24,2407,2405,1985,Corn for grain,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Montréal, Laval and Lanaudière, 5 - Québec"
24,2407,2405,1985,Oats,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Montréal, Laval and Lanaudière, 5 - Québec"
24,2407,2405,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Montréal, Laval and Lanaudière, 5 - Québec"
24,2407,2405,1985,"Wheat, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Montréal, Laval and Lanaudière, 5 - Québec"
24,2408,2406,1985,Barley,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Outaouais and Laurentides, 6 - Québec"
24,2408,2406,1985,Corn for grain,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Outaouais and Laurentides, 6 - Québec"
24,2408,2406,1985,Oats,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Outaouais and Laurentides, 6 - Québec"
24,2408,2406,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Outaouais and Laurentides, 6 - Québec"
24,2408,2406,1985,"Wheat, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Outaouais and Laurentides, 6 - Québec"
24,2409,2406,1985,Barley,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Outaouais and Laurentides, 6 - Québec"
24,2409,2406,1985,Corn for grain,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Outaouais and Laurentides, 6 - Québec"
24,2409,2406,1985,Oats,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Outaouais and Laurentides, 6 - Québec"
24,2409,2406,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Outaouais and Laurentides, 6 - Québec"
24,2409,2406,1985,"Wheat, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Outaouais and Laurentides, 6 - Québec"
