SLC_FULL_POLY_SQM,ECODISTRIC,ECOREGION,ECOPROVINC,ECOZONE,Zone: 0B,Zone: 1A,Zone: 1B,Zone: 2A,Zone: 2B,Zone: 3A,Zone: 3B,Zone: 4A,Zone: 4B,Zone: 5A,Zone: 5B,Zone: 6A,Zone: 6B,Zone: 7A,Zone: 7B,Zone: 8A,Zone: 8B,Zone: 9A,Tabulated Area Estimate of Plant Hardiness Zone Raster Overlapping SLC Polygon
954749210.841000,647,139,9.2,9,0.000000,0.000000,0.000000,0.000000,955750000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,955750000.000000
436426919.720000,652,139,9.2,9,0.000000,0.000000,0.000000,0.000000,434750000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,434750000.000000
1363493867.828000,657,139,9.2,9,0.000000,0.000000,0.000000,0.000000,1363750000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1363750000.000000
882384336.554690,658,139,9.2,9,0.000000,0.000000,0.000000,0.000000,882000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,882000000.000000
270206025.650000,659,139,9.2,9,0.000000,0.000000,0.000000,0.000000,269500000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,269500000.000000
2230348413.068500,660,139,9.2,9,0.000000,0.000000,0.000000,2250000.000000,2230500000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2232750000.000000
2236044580.029351,661,139,9.2,9,0.000000,0.000000,0.000000,0.000000,2225500000.000000,12000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2237500000.000000
5481721066.257520,672,148,9.3,9,0.000000,0.000000,0.000000,0.000000,3012250000.000000,2465750000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5478000000.000000
5394495137.239999,680,149,9.2,9,0.000000,0.000000,0.000000,96250000.000000,2385000000.000000,2913000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5394250000.000000
2132657781.979374,682,149,9.2,9,0.000000,0.000000,0.000000,0.000000,2132500000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2132500000.000000
1362445739.030000,685,149,9.2,9,0.000000,0.000000,0.000000,0.000000,1364250000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1364250000.000000
3373371289.600000,686,149,9.2,9,0.000000,0.000000,0.000000,0.000000,1462750000.000000,1909750000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3372500000.000000
3671861280.210000,687,149,9.2,9,0.000000,0.000000,0.000000,0.000000,2496500000.000000,1176750000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3673250000.000000
1598714360.378000,689,149,9.2,9,0.000000,0.000000,0.000000,0.000000,1597000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1597000000.000000
1793146565.239000,690,149,9.2,9,0.000000,0.000000,0.000000,0.000000,1449250000.000000,339250000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1788500000.000000
1707442596.926600,691,149,9.2,9,0.000000,0.000000,0.000000,0.000000,1433500000.000000,277000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1710500000.000000
2413709668.900000,693,149,9.2,9,0.000000,0.000000,0.000000,0.000000,1395000000.000000,1016750000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2411750000.000000
1586275382.147000,694,149,9.2,9,0.000000,0.000000,0.000000,0.000000,414000000.000000,1169250000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1583250000.000000
1204627400.400000,695,149,9.2,9,0.000000,0.000000,0.000000,0.000000,390500000.000000,812500000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1203000000.000000
3611910429.679999,696,149,9.2,9,0.000000,0.000000,0.000000,0.000000,2199250000.000000,1414250000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3613500000.000000
1541074711.462000,697,149,9.2,9,0.000000,0.000000,0.000000,0.000000,1157500000.000000,386500000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1544000000.000000
2341423408.220000,698,149,9.2,9,0.000000,0.000000,0.000000,0.000000,2750000.000000,2341000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2343750000.000000
1541713675.900000,699,149,9.2,9,0.000000,0.000000,0.000000,0.000000,1490000000.000000,53500000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1543500000.000000
1545636220.190000,700,149,9.2,9,0.000000,0.000000,0.000000,0.000000,764750000.000000,781500000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1546250000.000000
2674664853.670000,701,149,9.2,9,0.000000,0.000000,0.000000,0.000000,58000000.000000,2616500000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2674500000.000000
