Species,Hardiness Zone,Mortality_pct,Age,DBH_cm min,DBH_cm max,DBH_cm mean weighted by area,Roots_kgCperTree min,Roots_kgCperTree max,Roots_kgCperTree mean weighted by area,Fineroots_kgCperTree min,Fineroots_kgCperTree max,Fineroots_kgCperTree mean weighted by area
Hybrid Poplar,2A,0,1,0.443080544471741000212006156289,0.443080544471741000212006156289,0.443080544471741000212006156289,0.000422924044999998009156799705,0.000422924044999998009156799705,0.000422924044999998009156799705,0.000190315820249999009252869775,0.000190315820249999009252869775,0.000190315820249999009252869775
Hybrid Poplar,2A,0,2,1.035814285278320090455395074969,1.106495499610899990727830299875,1.078922211984497669945426423510,0.004277414620965759931014993356,0.004660084178424570358623135746,0.004507912515805881717434466793,0.001924836579434599992052823403,0.002097037880291060044091189241,0.002028560632112650849445678602
Hybrid Poplar,2A,0,3,2.095605611801150125472759100376,2.282332181930540215830660599750,2.209674207660619504878241059487,0.029135759469109498431826921205,0.033131261210377502268720206757,0.031504777393444954869394791785,0.013111091761099299968229558999,0.014909067544669899266218671130,0.014177149827050249467075282439
Hybrid Poplar,2A,0,4,3.429287910461429778052888650564,3.790302515029909891097759100376,3.648643728168516009446875614231,0.102295048717718994879533056519,0.120251394995981003566143385797,0.112822882649120298514944238377,0.046032771922973503286868890427,0.054113127748191297561319856868,0.050770297192104019146086102410
Hybrid Poplar,2A,0,5,5.046916007995609909642098500626,5.698474407196039592804481799249,5.440300632247863532597875746433,0.267364106222658992617624562627,0.332036945632011026852126178710,0.305099112929832660956463996627,0.120313847800195994341976302167,0.149416625534404989839032396048,0.137294600818424483712476558139
Hybrid Poplar,2A,0,6,6.927368164062500000000000000000,7.668982028961179864268160599750,7.380041927819314118153215531493,0.604958818373905971021997629578,0.727492001132082011238821905863,0.676752470660720750750272145524,0.272231468268259002574183114120,0.327371400509437027182002566406,0.304538611797324720864565961165
Hybrid Poplar,2A,0,7,8.728640556335440336965802998748,9.347852706909170805715802998748,9.115867393237945037753888755105,1.105062468877650028176162777527,1.270033041831349907013759548136,1.202193825403921279004748612351,0.497278110994942013078912168567,0.571514868824107957756552877981,0.540987221431764808698972046841
Hybrid Poplar,2A,0,8,10.844562530517599441282072803006,11.400534629821800436388912203256,11.200739598887480497069191187620,1.893269695621740078550487851317,2.111674235331149951377938123187,2.022631285822762414738917868817,0.851971363029783046449949779344,0.950253405899017966618202990503,0.910184078620243863788630278577
Hybrid Poplar,2A,0,9,13.116152763366599742766993585974,13.587761878967299367104715202004,13.370932171703385549221820838284,3.059792422436129921692327116034,3.299793483697690099631927296286,3.205027835912296119147413264727,1.376906590096260041278242169938,1.484907067663959967518394478248,1.442262526160533075980652029102
Hybrid Poplar,2A,0,10,15.029893875122100510566269804258,15.528100013732899498108963598497,15.325182162498212079526638262905,4.340617976913059727905874751741,4.602096751496319804175527679035,4.500153046362112441158842557343,1.953278089610869905357048992300,2.070943538173339870667177819996,2.025068870862945846766933755134
Hybrid Poplar,2A,0,11,16.881933212280298306495751603507,17.334110260009801152136788005009,17.155401983580752300895255757496,5.870829253542670045362683595158,6.076416223849609998808318778174,6.000348686914852791574048751500,2.641873164094190151729435456218,2.734387300732310066564423323143,2.700156909111671943435339926509
Hybrid Poplar,2A,0,12,18.714843750000000000000000000000,19.201848983764598699508496792987,19.021460006131128750439529540017,7.648072943433099624144233530387,7.916875026279320159972030523932,7.818384180194920318740514630917,3.441632824544900159935423289426,3.562593761825699978373904741602,3.518272881087717962600436294451
Hybrid Poplar,2A,0,13,20.421821594238299013568394002505,21.021409988403298996217927196994,20.805941172159005958519628620706,9.620305084165270415041959495284,10.083565815155500544619826541748,9.912109061227353024037256545853,4.329137287874379680374659074005,4.537604616819979952424546354450,4.460449077552312679983970156172
Hybrid Poplar,2A,0,14,22.049131393432599423931605997495,22.741134643554701710854715202004,22.484136849014646486466517671943,11.660241873873799178795707121026,12.254715875822700610342508298345,12.033560958274511776266990636941,5.247108843243199594041925593046,5.514622144120229663144527876284,5.415102431223532519766195036937
Hybrid Poplar,2A,0,15,23.457534790039101579850466805510,24.271345138549801134786321199499,23.959092784652661123345751548186,13.697247614899499268403815221973,14.516844763365899240170620032586,14.209751777131691241606858966406,6.163761426704759571748581947759,6.532580143514639559043644112535,6.394388299709250489399892103393
Hybrid Poplar,2A,0,16,24.953990936279300427713678800501,25.898876190185500689722175593488,25.527290778334762677559410803951,16.061153556758899441092580673285,17.156528475697001567823463119566,16.743797332280095702117250766605,7.227519100541489827094210340874,7.720437814063649817342138703680,7.534708799526039335603400104446
