PRUID,PRNAME,CARUID,CARNAME,Split_polys,POLY_ID,ECO_ID,OID_,POLY_ID_1,LAND_AREA,WATER_AREA,FRESH_AREA,OCEAN_AREA,TOTAL_AREA,OID_1,POLY_ID_12,CMP,PERCENT,SLOPE,STONE,LOCSF,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,SOIL_ID,CMP_ID,OID_12,ECO_ID_1,ECODISTRIC,ECOREGION,ECOPROVINC,ECOZONE,Shape_Leng,Shape_Area
47,Saskatchewan,4791,Census Agricultural Region 9B,,647012,647,7720,647012,28670,1412,1412,0,30082,9731,647012,1,21,A,N,U,SK,SYA,~~~~~,A,SKSYA~~~~~A,64701201,643,647,647,139,9.2,9,1.020507299,0.041732563
47,Saskatchewan,4790,Census Agricultural Region 9A,,650005,650,7730,650005,135877,9164,9164,0,145041,9755,650005,1,40,B,S,U,AB,ABC,~~~~~,A,ABABC~~~~~A,65000501,646,650,650,139,9.2,9,3.100653643,0.203201994
47,Saskatchewan,4790,Census Agricultural Region 9A,,650006,650,7731,650006,79226,3582,3582,0,82808,9759,650006,1,70,B,S,H,AB,ABC,~~~~~,A,ABABC~~~~~A,65000601,646,650,650,139,9.2,9,3.453419694,0.1156061
47,Saskatchewan,4791,Census Agricultural Region 9B,,652003,652,7741,652003,13288,1028,1028,0,14316,9766,652003,1,51,B,S,D,SK,LNA,~~~~~,A,SKLNA~~~~~A,65200301,648,652,652,139,9.2,9,0.789910161,0.01991863
47,Saskatchewan,4791,Census Agricultural Region 9B,,652004,652,7742,652004,4432,1177,1177,0,5609,9770,652004,1,30,B,S,H,SK,LNA,~~~~~,A,SKLNA~~~~~A,65200401,648,652,652,139,9.2,9,0.542505623,0.007805623
47,Saskatchewan,4790,Census Agricultural Region 9A,0,652005,652,7743,652005,20299,3227,3227,0,23526,9782,652005,1,69,B,S,H,SK,LNA,~~~~~,A,SKLNA~~~~~A,65200501,648,652,652,139,9.2,9,1.575410871,0.032738479
47,Saskatchewan,4791,Census Agricultural Region 9B,1,652005,652,7743,652005,20299,3227,3227,0,23526,9782,652005,1,69,B,S,H,SK,LNA,~~~~~,A,SKLNA~~~~~A,65200501,648,652,652,139,9.2,9,1.575410871,0.032738479
47,Saskatchewan,4790,Census Agricultural Region 9A,1,657005,657,7782,657005,23161,2300,2300,0,25461,0,0,0,0, , , , , , , , ,0,653,657,657,139,9.2,9,0.916566402,0.035192074
47,Saskatchewan,4791,Census Agricultural Region 9B,0,657005,657,7782,657005,23161,2300,2300,0,25461,0,0,0,0, , , , , , , , ,0,653,657,657,139,9.2,9,0.916566402,0.035192074
47,Saskatchewan,4790,Census Agricultural Region 9A,,657012,657,7789,657012,33469,7867,7867,0,41336,9785,657012,1,46,B,S,H,SK,WVA,~~~~~,A,SKWVA~~~~~A,65701201,653,657,657,139,9.2,9,1.538417168,0.056741108
47,Saskatchewan,4790,Census Agricultural Region 9A,,657013,657,7790,657013,4869,268,268,0,5137,9789,657013,1,37,A,S,U,SK,WVA,~~~~~,A,SKWVA~~~~~A,65701301,653,657,657,139,9.2,9,0.499520231,0.007046415
47,Saskatchewan,4790,Census Agricultural Region 9A,,657015,657,7792,657015,3013,0,0,0,3013,9796,657015,1,49,A,N,F13,SK,BLL,~~~~~,N,SKBLL~~~~~N,65701501,653,657,657,139,9.2,9,0.300802143,0.004126591
47,Saskatchewan,4790,Census Agricultural Region 9A,,657016,657,7793,657016,7767,0,0,0,7767,9802,657016,1,45,A,S,U,SK,WVA,~~~~~,A,SKWVA~~~~~A,65701601,653,657,657,139,9.2,9,0.60174934,0.010640136
47,Saskatchewan,4790,Census Agricultural Region 9A,,658014,658,7807,658014,37135,1094,1094,0,38229,9809,658014,1,15,A,U,U,SK,GXX,P~~~~,N,SKGXXP~~~~N,65801401,654,658,658,139,9.2,9,2.256087618,0.052059988
47,Saskatchewan,4790,Census Agricultural Region 9A,,659006,659,7820,659006,29191,0,0,0,29191,0,0,0,0, , , , , , , , ,0,655,659,659,139,9.2,9,1.045075343,0.039948636
47,Saskatchewan,4790,Census Agricultural Region 9A,,660005,660,7829,660005,19296,183,183,0,19479,9828,660005,1,20,A,N,F13,SK,BLL,~~~~~,N,SKBLL~~~~~N,66000501,656,660,660,139,9.2,9,1.109972926,0.02661396
47,Saskatchewan,4790,Census Agricultural Region 9A,,660006,660,7830,660006,5108,0,0,0,5108,9836,660006,1,28,A,N,F13,SK,BLL,~~~~~,N,SKBLL~~~~~N,66000601,656,660,660,139,9.2,9,0.695643788,0.006976754
47,Saskatchewan,4790,Census Agricultural Region 9A,,660008,660,7832,660008,56895,1891,1891,0,58786,9844,660008,1,46,B,V,H,SK,WVA,~~~~~,A,SKWVA~~~~~A,66000801,656,660,660,139,9.2,9,2.193831755,0.080118238
47,Saskatchewan,4790,Census Agricultural Region 9A,,660009,660,7833,660009,11126,147,147,0,11273,9850,660009,1,33,B,S,H,SK,WVA,~~~~~,A,SKWVA~~~~~A,66000901,656,660,660,139,9.2,9,0.827970529,0.015354356
47,Saskatchewan,4790,Census Agricultural Region 9A,,660010,660,7834,660010,40212,369,369,0,40581,9858,660010,1,40,B,S,H,SK,WVA,~~~~~,A,SKWVA~~~~~A,66001001,656,660,660,139,9.2,9,2.051676582,0.055152343
47,Saskatchewan,4790,Census Agricultural Region 9A,,661005,661,7839,661005,16546,1796,1796,0,18342,0,0,0,0, , , , , , , , ,0,657,661,661,139,9.2,9,0.899092121,0.025033765
