PR,CARUID,PRSAD,YEAR,CROP,SEEDED,ESEED,HARV,EHARV,PERHARV,YIELD,YLDLBS,EYIELD,PRODN,PRDLBS,EPRODN,NYIELD,NYLDLBS,NEYIELD,PPYIELD
47,all,all,1976,Barley,3100000,1255500,2950000,1194000,0.951612903,46.1,-99,2500,136000,-99,2961000,46.10169492,-99,2479.899497,-0.008040201
47,all,all,1976,Canary seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,all,all,1976,Canola,750000,303500,750000,303500,1,22.8,-99,1300,17100,-99,387800,22.8,-99,1277.759473,-0.017108098
47,all,all,1976,Chick peas,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,all,all,1976,Flaxseed,200000,81000,200000,81000,1,17,-99,1100,3400,-99,86400,17,-99,1066.666667,-0.03030303
47,all,all,1976,Lentils,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,all,all,1976,Mustard seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,all,all,1976,Oats,1900000,769000,1600000,647000,0.842105263,56.3,-99,2100,90000,-99,1388000,56.25,-99,2145.285935,0.021564731
47,all,all,1976,"Peas, dry",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,all,all,1976,"Rye, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,all,all,1976,"Rye, fall remaining",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,all,all,1976,"Rye, spring",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,all,all,1976,Summerfallow,17800000,7203000,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,all,all,1976,Sunflower seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,all,all,1976,Triticale,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,all,all,1976,"Wheat, all",17700000,7163000,17700000,7163000,1,31.1,-99,2100,551000,-99,14996000,31.1299435,-99,2093.536228,-0.003077987
47,all,all,1976,"Wheat, durum",2900000,1174000,2900000,1174000,1,30.3,-99,2000,88000,-99,2395000,30.34482759,-99,2040.034072,0.020017036
