SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,LAYER_NO,UDEPTH,LDEPTH,HZN_LIT,HZN_MAS,HZN_SUF,HZN_MOD,COFRAG,DOMSAND,VFSAND,TSAND,TSILT,TCLAY,ORGCARB,PHCA,PH2,BASES,CEC,KSAT,KP0,KP10,KP33,KP1500,BD,EC,CACO3,VONPOST,WOOD
ABABCgl~~~N,AB,ABC,gl~~~,N,1,-5,0,,LH,,,0,-,-9,-9,-9,-9,40,5.8,6.4,83,70,30,80,60,-9,20,0.1,0,0,4,5
ABABCgl~~~N,AB,ABC,gl~~~,N,2,0,13,,A,e,,5,F,13,50,39,11,0.3,5.3,5.9,74,5,10,49,-9,18,8,1.35,0,0,-9,-9
ABABCgl~~~N,AB,ABC,gl~~~,N,3,13,23,,AB,,,5,F,11,43,29,28,0.4,4.7,5.2,74,13,10,45,-9,28,15,1.45,0,0,-9,-9
ABABCgl~~~N,AB,ABC,gl~~~,N,4,23,58,,B,tgj,1,5,F,10,41,27,32,0.4,4.3,4.9,96,15,3,42,-9,36,22,1.55,0,0,-9,-9
ABABCgl~~~N,AB,ABC,gl~~~,N,5,58,91,,B,tgj,2,5,F,11,42,28,30,0.4,4.9,5.4,83,18,3,42,-9,35,21,1.55,0,0,-9,-9
ABABCgl~~~N,AB,ABC,gl~~~,N,6,91,120,,BC,g,,5,F,12,43,29,28,0.5,5.5,6,92,17,3,45,-9,32,19,1.45,0,0,-9,-9
ABABCgl~~~N,AB,ABC,gl~~~,N,7,120,160,,C,kg,,5,F,11,40,30,30,0,6.5,7,99,14,1,45,-9,34,20,1.45,0,4,-9,-9
ABABCst~~~A,AB,ABC,st~~~,A,1,0,18,,A,p,,20,F,12,45,35,20,1.5,5,5.5,74,18,10,53,-9,27,15,1.25,0,0,-9,-9
ABABCst~~~A,AB,ABC,st~~~,A,2,18,23,,AB,,,20,F,11,43,29,28,0.4,4.6,5.2,74,13,10,45,-9,28,15,1.45,0,0,-9,-9
ABABCst~~~A,AB,ABC,st~~~,A,3,23,58,,B,t,1,15,F,10,41,27,32,0.4,4.3,4.9,96,15,3,42,-9,36,22,1.55,0,0,-9,-9
ABABCst~~~A,AB,ABC,st~~~,A,4,58,91,,B,t,2,15,F,11,42,28,30,0.4,4.8,5.4,83,18,3,42,-9,35,21,1.55,0,0,-9,-9
ABABCst~~~A,AB,ABC,st~~~,A,5,91,120,,BC,,,15,F,12,43,29,28,0,5.4,6,92,17,3,45,-9,32,19,1.45,0,0,-9,-9
ABABCst~~~A,AB,ABC,st~~~,A,6,120,160,,C,k,,10,F,11,40,30,30,0,6.5,7,99,14,1,45,-9,34,20,1.45,0,4,-9,-9
ABABCst~~~N,AB,ABC,st~~~,N,1,-5,0,,LH,,,0,-,-9,-9,-9,-9,40,5.8,6.4,83,70,30,80,60,-9,20,0.1,0,0,4,5
ABABCst~~~N,AB,ABC,st~~~,N,2,0,13,,A,e,,20,F,13,50,39,11,0.3,5.3,5.9,74,5,10,49,-9,18,8,1.35,0,0,-9,-9
ABABCst~~~N,AB,ABC,st~~~,N,3,13,23,,AB,,,20,F,11,43,29,28,0.4,4.6,5.2,74,13,10,45,-9,28,15,1.45,0,0,-9,-9
ABABCst~~~N,AB,ABC,st~~~,N,4,23,58,,B,t,1,15,F,10,41,27,32,0.4,4.3,4.9,96,15,3,42,-9,36,22,1.55,0,0,-9,-9
ABABCst~~~N,AB,ABC,st~~~,N,5,58,91,,B,t,2,15,F,11,42,28,30,0.4,4.8,5.4,83,18,3,42,-9,35,21,1.55,0,0,-9,-9
ABABCst~~~N,AB,ABC,st~~~,N,6,91,120,,BC,,,15,F,12,43,29,28,0.5,5.4,6,92,17,3,45,-9,32,19,1.45,0,0,-9,-9
ABABCst~~~N,AB,ABC,st~~~,N,7,120,160,,C,k,,10,F,11,40,30,30,0,6.5,7,99,14,1,45,-9,34,20,1.45,0,4,-9,-9
ABABC~~~~~A,AB,ABC,~~~~~,A,1,0,18,,A,p,,5,F,12,45,30,25,1.5,5.2,5.8,70,21,10,53,-9,28,16,1.25,0,0,-9,-9
ABABC~~~~~A,AB,ABC,~~~~~,A,2,18,23,,AB,,,5,F,11,43,29,28,0.4,4.6,5.2,74,13,10,45,-9,28,15,1.45,0,0,-9,-9
ABABC~~~~~A,AB,ABC,~~~~~,A,3,23,58,,B,t,1,5,F,10,41,27,32,0.4,4.3,4.9,96,15,3,42,-9,36,22,1.55,0,0,-9,-9
ABABC~~~~~A,AB,ABC,~~~~~,A,4,58,91,,B,t,2,5,F,11,42,28,30,0.4,4.9,5.4,83,18,3,42,-9,35,21,1.55,0,0,-9,-9
ABABC~~~~~A,AB,ABC,~~~~~,A,5,91,100,,BC,,,5,F,12,43,29,28,0.5,5.5,6,92,17,3,45,-9,32,19,1.45,0,0,-9,-9
ABABC~~~~~N,AB,ABC,~~~~~,N,1,-5,0,,LH,,,0,-,-9,-9,-9,-9,40,5.8,6.4,83,70,30,80,60,-9,20,0.1,0,0,4,5
ABABC~~~~~N,AB,ABC,~~~~~,N,2,0,13,,A,e,,5,F,13,50,39,11,0.3,5.3,5.9,74,5,10,49,-9,18,8,1.35,0,0,-9,-9
