SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,LAYER_NO,UDEPTH,LDEPTH,HZN_LIT,HZN_MAS,HZN_SUF,HZN_MOD,COFRAG,DOMSAND,VFSAND,TSAND,TSILT,TCLAY,ORGCARB,PHCA,PH2,BASES,CEC,KSAT,KP0,KP10,KP33,KP1500,BD,EC,CACO3,VONPOST,WOOD
BC$AR~~~~~N,BC,$AR,~~~~~,N,1,-6,0,,LFH,,,0,-,-9,-9,-9,-9,30,5.2,5.7,30,90,21,92,35,21,14,0.3,0,0,-9,-9
BC$AR~~~~~N,BC,$AR,~~~~~,N,2,0,100,,R,,,-9,-,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.65,-9,-9,-9,-9
BC$BR~~~~~N,BC,$BR,~~~~~,N,1,-4,0,,LFH,,,0,-,-9,-9,-9,-9,45,6,6.5,88,65,21,92,35,21,14,0.11,0,0,-9,-9
BC$BR~~~~~N,BC,$BR,~~~~~,N,2,0,100,,R,,,-9,-,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.65,-9,-9,-9,-9
BC$CB~~~~~N,BC,$CB,~~~~~,N,1,0,12,,C,g,1,20,F,21,91,6,3,0.25,5.9,6.4,65,5,50,41,15,8,4,1.57,0,0,-9,-9
BC$CB~~~~~N,BC,$CB,~~~~~,N,2,12,100,,C,g,2,80,F,21,91,6,3,0.25,5.9,6.4,65,5,50,41,15,8,4,1.57,0,0,-9,-9
BC$CR~~~~~N,BC,$CR,~~~~~,N,1,-4,0,,LFH,,,0,-,-9,-9,-9,-9,45,6,6.5,88,65,21,92,35,21,14,0.11,0,0,-9,-9
BC$CR~~~~~N,BC,$CR,~~~~~,N,2,0,100,,R,,,-9,-,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.65,-9,-9,-9,-9
BC$ER~~~~~N,BC,$ER,~~~~~,N,1,0,100,,C,,,0,F,20,91,5,4,0.26,5.9,6.5,62,5,56,42,13,8,4,1.55,0,0,-9,-9
BC$LR~~~~~N,BC,$LR,~~~~~,N,1,-4,0,,LFH,,,0,-,-9,-9,-9,-9,45,6,6.5,88,65,21,92,35,21,14,0.11,0,0,-9,-9
