SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,LAYER_NO,UDEPTH,LDEPTH,HZN_LIT,HZN_MAS,HZN_SUF,HZN_MOD,COFRAG,DOMSAND,VFSAND,TSAND,TSILT,TCLAY,ORGCARB,PHCA,PH2,BASES,CEC,KSAT,KP0,KP10,KP33,KP1500,BD,EC,CACO3,VONPOST,WOOD
MB$AR~~~~~N,MB,$AR,~~~~~,N,1,-5,0,,LH,,,0,-,-9,-9,-9,-9,34.8,4.9,5.4,60,89,10,85,70,50,15,0.15,0,0,-9,0
MB$AR~~~~~N,MB,$AR,~~~~~,N,2,0,100,,R,,,-9,-,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.8,-9,-9,-9,-9
MB$CB~~~~~N,MB,$CB,~~~~~,N,1,0,20,,C,k,1,75,C,0,100,0,0,0.1,7.8,8.2,100,0,60,34,6,5,1,1.8,0,20,-9,-9
MB$CB~~~~~N,MB,$CB,~~~~~,N,2,20,30,,C,k,2,35,C,0,100,0,0,0.1,7.8,8.2,100,0,50,37,6,5,1,1.7,0,20,-9,-9
MB$CB~~~~~N,MB,$CB,~~~~~,N,3,30,100,,C,k,3,25,M,5,92,6,2,0.1,7.8,8.2,100,1,25,40,6,5,1,1.6,0,15,-9,-9
MB$CR~~~~~N,MB,$CR,~~~~~,N,1,-5,0,,LH,,,0,-,-9,-9,-9,-9,44,6.1,6.6,87,98,10,85,70,50,15,0.15,0,0,-9,0
MB$CR~~~~~N,MB,$CR,~~~~~,N,2,0,100,,R,,,-9,-,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.8,-9,-9,-9,-9
MB$ER~~~~~N,MB,$ER,~~~~~,N,1,0,100,,C,k,,7,F,10,30,40,30,0.2,8,8.3,100,10,3,43,35,29,15,1.5,1,15,-9,-9
MB$MHs~~~~N,MB,$MH,s~~~~,N,1,-70,-10,,W,,,-9,-,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
MB$MHs~~~~N,MB,$MH,s~~~~,N,2,-10,0,,O,co,,0,-,-9,-9,-9,-9,30,7.6,8,100,80,0.3,85,70,50,20,0.13,0,5,8,0
MB$MHs~~~~N,MB,$MH,s~~~~,N,3,0,10,,A,hksg,,0,F,15,40,35,25,12,7.6,8,100,35,1,57,43,33,15,1.1,5,10,-9,-9
MB$MHs~~~~N,MB,$MH,s~~~~,N,4,10,100,,C,ksg,,0,F,15,40,35,25,0.2,7.8,8.2,100,22,1,46,38,30,14,1.4,7,15,-9,-9
MB$MH~~~~~N,MB,$MH,~~~~~,N,1,-70,-10,,W,,,-9,-,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
MB$MH~~~~~N,MB,$MH,~~~~~,N,2,-10,0,,O,co,,0,-,-9,-9,-9,-9,30,7.6,8,100,80,0.3,85,70,50,20,0.13,0,5,8,0
MB$MH~~~~~N,MB,$MH,~~~~~,N,3,0,10,,A,hk,,0,F,15,40,35,25,12,7.6,8,100,35,1,57,43,33,15,1.1,1,10,-9,-9
MB$MH~~~~~N,MB,$MH,~~~~~,N,4,10,100,,C,kg,,0,F,15,40,35,25,0.2,7.8,8.2,100,22,1,46,38,30,14,1.4,1,15,-9,-9
MB$SB~~~~~N,MB,$SB,~~~~~,N,1,-5,0,,LFH,,,0,-,-9,-9,-9,-9,17.1,6.9,7.4,98,60,10,85,70,50,15,0.15,0,28,-9,0
MB$SB~~~~~N,MB,$SB,~~~~~,N,2,0,15,,A,hk,,0,M,0,99,1,0,3.5,7.3,7.7,100,3,25,34,7,5,2,1.7,0,17,-9,-9
MB$SB~~~~~N,MB,$SB,~~~~~,N,3,15,25,,C,kgj,1,0,M,0,97,3,0,0,7.4,7.8,100,4,25,37,7,5,2,1.7,0,32,-9,-9
MB$SB~~~~~N,MB,$SB,~~~~~,N,4,25,50,,C,kgj,2,0,C,2,99,1,0,0,7.5,7.8,100,2,25,37,7,5,2,1.7,0,40,-9,-9
MB$SB~~~~~N,MB,$SB,~~~~~,N,5,50,100,,C,kgj,3,0,M,0,99,1,0,0,7.6,7.9,100,2,25,37,7,5,2,1.7,0,22,-9,-9
MB$SFu~~~~N,MB,$SF,u~~~~,N,1,0,30,,C,kgs,,0,VF,23,33,49,18,0.4,8,8.3,100,5,3,44,30,22,8,1.4,22,70,-9,-9
MB$SFu~~~~N,MB,$SF,u~~~~,N,2,30,100,2,C,kgs,,0,F,7,27,54,19,0,8.8,9.1,100,5,3,42,28,20,7,1.5,22,64,-9,-9
MB$SF~~~~~N,MB,$SF,~~~~~,N,1,0,30,,C,kgs,,0,VF,23,33,49,18,0.4,8,8.3,100,5,3,44,30,22,8,1.4,22,70,-9,-9
MB$SF~~~~~N,MB,$SF,~~~~~,N,2,30,100,2,C,kgs,,0,F,7,27,54,19,0,8.8,9.1,100,5,3,42,28,20,7,1.5,22,64,-9,-9
MB$SR~~~~~N,MB,$SR,~~~~~,N,1,-5,0,,LF,,,0,-,-9,-9,-9,-9,35,4.9,5.3,65,55,10,85,70,50,15,0.15,0,0,-9,0
MB$SR~~~~~N,MB,$SR,~~~~~,N,2,0,100,,R,,,-9,-,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1.8,-9,-9,-9,-9
MBABGs~~~~A,MB,ABG,s~~~~,A,1,0,15,,A,ps,,0,-,0,5,27,68,4.2,6.5,7,87,55,0.3,51,47,44,20,1.25,4,0,-9,-9
MBABGs~~~~A,MB,ABG,s~~~~,A,2,15,29,,B,ntjgj,,0,-,2,7,19,74,1.5,6.7,7.2,95,48,0.1,47,46,44,22,1.4,5,0,-9,-9
MBABGs~~~~A,MB,ABG,s~~~~,A,3,29,52,,BC,,,0,-,0,7,18,75,0.6,7.6,7.9,100,39,0.1,50,49,47,22,1.26,5,11,-9,-9
MBABGs~~~~A,MB,ABG,s~~~~,A,4,52,76,,C,kgjs,,0,-,0,4,19,77,0,7.8,8.1,100,38,0.1,50,49,47,21,1.3,5,14,-9,-9
MBABGs~~~~A,MB,ABG,s~~~~,A,5,76,100,,C,kgs,,0,-,0,2,18,80,0,8,8.3,100,36,0.1,50,49,47,21,1.32,5,17,-9,-9
MBABG~~~~~A,MB,ABG,~~~~~,A,1,0,15,,A,p,,0,F,3,11,36,53,3,6,6.4,85,38,0.3,57,50,47,22,1.1,0,0,-9,-9
