SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,LAYER_NO,UDEPTH,LDEPTH,HZN_LIT,HZN_MAS,HZN_SUF,HZN_MOD,COFRAG,DOMSAND,VFSAND,TSAND,TSILT,TCLAY,ORGCARB,PHCA,PH2,BASES,CEC,KSAT,KP0,KP10,KP33,KP1500,BD,EC,CACO3,VONPOST,WOOD
NBACD125~~A,NB,ACD,125~~,A,1,0,15,,A,p,,0,VF,7,13,57,30,4,4.9,5.4,92,28,10,53,45,41,17,1.25,1,0,-9,-9
NBACD125~~A,NB,ACD,125~~,A,2,15,100,,C,g,,0,VF,5,11,58,31,1.2,6,6.5,99,16,1,42,38,36,15,1.45,3,0,-9,-9
NBACD125~~N,NB,ACD,125~~,N,1,-5,0,,O,m,,-9,-,-9,-9,-9,-9,45,4.5,5,10,85,60,93,37,26,12,0.18,0,0,-9,15
NBACD125~~N,NB,ACD,125~~,N,2,0,15,,A,h,,0,VF,7,13,62,25,4,4.9,5.4,92,27,10,58,48,43,21,1.1,1,0,-9,-9
NBACD125~~N,NB,ACD,125~~,N,3,15,100,,C,g,,0,VF,5,11,58,31,1.2,6,6.5,99,16,1,42,38,36,15,1.45,3,0,-9,-9
NBACD71~~~A,NB,ACD,71~~~,A,1,0,15,,A,p,,0,VF,8,13,57,30,2.6,4.5,5,60,21,7,55,46,42,17,1.2,1,0,-9,-9
NBACD71~~~A,NB,ACD,71~~~,A,2,15,100,,C,gj,,0,VF,7,11,58,31,1.5,6,6.5,99,17,3,42,38,36,15,1.45,2,0,-9,-9
NBACD71~~~N,NB,ACD,71~~~,N,1,-3,0,,O,m,,-9,-,-9,-9,-9,-9,45,4.5,5,10,85,60,93,37,26,12,0.18,0,0,-9,15
NBACD71~~~N,NB,ACD,71~~~,N,2,0,8,,A,h,,0,VF,7,13,62,25,4,4.9,5.4,92,27,20,62,52,40,21,1,1,0,-9,-9
NBACD71~~~N,NB,ACD,71~~~,N,3,8,100,,C,gj,,0,VF,6,11,58,31,1.5,6,6.5,99,17,3,42,38,36,15,1.45,2,0,-9,-9
NBACS182~~N,NB,ACS,182~~,N,1,0,25,,O,f,1,-9,-,-9,-9,-9,-9,44,3.4,4.1,0,127,80,98,41,13,5,0.04,0,0,2,10
NBACS182~~N,NB,ACS,182~~,N,2,25,40,,O,f,2,-9,-,-9,-9,-9,-9,44,3,4,0,135,20,98,53,17,7,0.06,0,0,3,10
NBACS182~~N,NB,ACS,182~~,N,3,40,70,,O,m,,-9,-,-9,-9,-9,-9,47,3.3,3.9,0,129,2,94,75,38,18,0.15,0,0,6,10
NBACS182~~N,NB,ACS,182~~,N,4,70,100,2,O,h,,-9,-,-9,-9,-9,-9,27,3.8,4.2,12,74,0.1,92,79,41,23,0.2,0,0,7,10
NBACS182~~N,NB,ACS,182~~,N,5,100,160,3,C,g,,20,F,5,60,16,24,0.1,3.5,4.2,0,9,0.1,22,22,21,16,1.9,0,0,-9,-9
NBAGC280~~A,NB,AGC,280~~,A,1,0,15,,A,p,,9,F,9,70,21,9,2.5,5,5.5,99,17,35,49,34,27,10,1.23,0,0,-9,-9
NBAGC280~~A,NB,AGC,280~~,A,2,15,25,,B,f,,9,M,8,75,14,11,1.2,4.6,5.1,68,11,45,53,29,22,8,1.12,0,0,-9,-9
NBAGC280~~A,NB,AGC,280~~,A,3,25,40,,B,fj,,20,F,14,84,12,4,0.9,5.1,5.6,99,9,35,44,19,13,6,1.2,0,0,-9,-9
NBAGC280~~A,NB,AGC,280~~,A,4,40,55,,BC,,,22,F,10,88,9,3,0.3,4.9,5.4,92,6,12,35,13,11,2,1.45,0,0,-9,-9
NBAGC280~~A,NB,AGC,280~~,A,5,55,100,,C,,,30,F,9,81,14,5,0.2,5.2,5.7,99,6,13,29,15,10,3,1.55,0,0,-9,-9
NBAGC280~~N,NB,AGC,280~~,N,1,-4,0,,LFH,,,-9,-,-9,-9,-9,-9,40,4.3,4.8,10,100,50,93,40,28,13,0.22,0,0,-9,15
NBAGC280~~N,NB,AGC,280~~,N,2,0,11,,A,e,,9,F,9,80,18,2,0.6,4.4,4.9,52,7,40,50,23,16,7,1.18,0,0,-9,-9
NBAGC280~~N,NB,AGC,280~~,N,3,11,25,,B,f,,9,M,8,75,14,11,2.1,4.6,5.1,68,15,50,57,31,26,9,0.97,0,0,-9,-9
NBAGC280~~N,NB,AGC,280~~,N,4,25,40,,B,fj,,20,F,14,84,12,4,0.9,5.1,5.6,99,9,35,44,29,13,6,1.2,0,0,-9,-9
