SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,LAYER_NO,UDEPTH,LDEPTH,HZN_LIT,HZN_MAS,HZN_SUF,HZN_MOD,COFRAG,DOMSAND,VFSAND,TSAND,TSILT,TCLAY,ORGCARB,PHCA,PH2,BASES,CEC,KSAT,KP0,KP10,KP33,KP1500,BD,EC,CACO3,VONPOST,WOOD
NLAARE1~~~N,NL,AAR,E1~~~,N,2,-15,-1,,F,,,0,-,-9,-9,-9,-9,28,3.4,3.8,0,120,50,90,40,30,10,0.29,0,0,-9,-9
NLAARE1~~~N,NL,AAR,E1~~~,N,3,-1,0,,H,,,0,-,-9,-9,-9,-9,28,3.3,3.8,0,120,50,90,40,30,10,0.38,0,0,-9,-9
NLAARE1~~~N,NL,AAR,E1~~~,N,4,0,15,,A,e,,0,VF,20,60,35,5,2.1,3.5,4.2,0,14,7,42,24,18,5,1.4,0,0,-9,-9
NLAARE1~~~N,NL,AAR,E1~~~,N,5,15,40,,B,fgj,1,0,F,17,58,25,17,4.2,3.9,4.6,16,26,7,30,21,18,10,1.53,0,0,-9,-9
NLAARE1~~~N,NL,AAR,E1~~~,N,6,40,41,,B,fc,,0,F,15,81,17,2,2.1,4,4.8,20,13,15,27,12,8,2,1.55,0,0,-9,-9
NLAARE1~~~N,NL,AAR,E1~~~,N,7,41,65,,B,fgj,2,0,M,15,81,17,2,1.7,4.8,5,84,12,25,28,12,8,2,1.5,0,0,-9,-9
NLAARE1~~~N,NL,AAR,E1~~~,N,8,65,75,,BC,gj,,0,C,7,92,4,4,0.5,4.7,5.1,76,7,25,27,13,9,4,1.55,0,0,-9,-9
NLAARE1~~~N,NL,AAR,E1~~~,N,9,75,100,,C,,,0,C,7,96,3,1,0.2,4.6,5,68,5,25,23,8,6,1,1.52,0,0,-9,-9
NLABH~~~~~N,NL,ABH,~~~~~,N,1,-13,0,,F,,,0,-,-9,-9,-9,-9,28,2.8,3.9,0,120,50,90,40,30,10,0.38,0,0,-9,-9
NLABH~~~~~N,NL,ABH,~~~~~,N,2,0,3,,A,e,,4,F,6,18,35,47,1.3,3.5,4.2,0,19,7,46,39,36,26,1.37,0,0,-9,-9
NLABH~~~~~N,NL,ABH,~~~~~,N,3,3,11,,B,m,1,6,F,4,13,42,45,1,4,4.5,20,18,10,45,38,35,25,1.37,0,0,-9,-9
NLABH~~~~~N,NL,ABH,~~~~~,N,4,11,25,,B,m,2,9,F,5,13,43,44,1.1,4.5,4.9,60,18,10,44,37,34,24,1.37,0,0,-9,-9
NLABH~~~~~N,NL,ABH,~~~~~,N,5,25,45,,C,k,,0,VF,5,10,47,43,0.1,6.6,6.7,99,13,1,43,36,34,23,1.38,0,0,-9,-9
NLABH~~~~~N,NL,ABH,~~~~~,N,6,45,100,,R,,,-9,-,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.65,-9,-9,-9,-9
NLABNE1~~~N,NL,ABN,E1~~~,N,1,-10,0,,LF,,,0,-,-9,-9,-9,-9,28,3.6,4,3,120,50,90,40,30,10,0.35,0,0,-9,-9
NLABNE1~~~N,NL,ABN,E1~~~,N,2,0,12,,A,egj,,0,F,16,59,32,9,0.5,3.9,4.5,16,8,7,40,25,20,8,1.48,0,0,-9,-9
NLABNE1~~~N,NL,ABN,E1~~~,N,3,12,29,,B,fjgj,,0,F,19,65,24,11,0.3,4.2,4.7,36,7,7,35,23,18,9,1.5,0,0,-9,-9
NLABNE1~~~N,NL,ABN,E1~~~,N,4,29,100,,C,g,,0,F,19,66,25,9,0.2,4.8,5.5,84,7,3,25,15,12,5,1.5,0,0,-9,-9
NLABNE2~~~N,NL,ABN,E2~~~,N,1,-4,0,,LF,,,0,-,-9,-9,-9,-9,28,3.5,3.8,0,120,50,90,40,30,10,0.35,0,0,-9,-9
NLABNE2~~~N,NL,ABN,E2~~~,N,2,0,2,,A,e,,8,F,16,54,37,9,1,3.4,4.2,0,10,7,43,27,22,8,1.4,0,0,-9,-9
NLABNE2~~~N,NL,ABN,E2~~~,N,3,2,7,,B,f,1,9,F,12,55,28,17,4.2,4.3,4.8,44,26,7,39,28,24,13,1.52,0,0,-9,-9
NLABNE2~~~N,NL,ABN,E2~~~,N,4,7,24,,B,f,2,0,F,14,59,30,11,1.6,4.8,5.2,84,13,7,34,22,18,8,1.48,0,0,-9,-9
NLABNE2~~~N,NL,ABN,E2~~~,N,5,24,37,,BC,,,0,F,13,59,32,9,0.9,5.3,5.7,99,10,10,28,18,14,6,1.47,0,0,-9,-9
