SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,LAYER_NO,UDEPTH,LDEPTH,HZN_LIT,HZN_MAS,HZN_SUF,HZN_MOD,COFRAG,DOMSAND,VFSAND,TSAND,TSILT,TCLAY,ORGCARB,PHCA,PH2,BASES,CEC,KSAT,KP0,KP10,KP33,KP1500,BD,EC,CACO3,VONPOST,WOOD
NSACA4~~~~A,NS,ACA,4~~~~,A,1,0,15,,A,p,,0,VF,25,30,60,10,1,5,6,100,11,10,51,36,30,9,1,0,0,-9,-9
NSACA4~~~~A,NS,ACA,4~~~~,A,2,15,100,,C,,,0,VF,25,30,60,10,0,5,6,92,6,3,43,32,28,10,2,0,0,-9,-9
NSACA5~~~~A,NS,ACA,5~~~~,A,1,0,15,,A,p,,0,VF,15,20,55,25,2,5,6,100,16,3,55,41,36,15,1,0,0,-9,-9
NSACA5~~~~A,NS,ACA,5~~~~,A,2,15,100,,C,gj,,0,VF,15,20,55,25,0,5,6,92,9,0,47,37,34,18,1,0,0,-9,-9
NSACA6~~~~A,NS,ACA,6~~~~,A,1,0,15,,A,p,,0,VF,15,20,55,25,2,5,6,100,16,3,55,41,36,15,1,0,0,-9,-9
NSACA6~~~~A,NS,ACA,6~~~~,A,2,15,100,,C,g,,0,VF,15,20,55,25,0,5,6,92,9,0,47,37,34,18,1,0,0,-9,-9
NSACA~~~~~A,NS,ACA,~~~~~,A,1,0,30,,A,p,,0,VF,8,11,62,27,1,5,6,100,11,3,47,38,36,24,1,0,0,-9,-9
NSACA~~~~~A,NS,ACA,~~~~~,A,2,30,55,,C,gj,1,0,VF,9,10,59,31,1,5,6,92,6,1,48,39,36,23,1,0,0,-9,-9
NSACA~~~~~A,NS,ACA,~~~~~,A,3,55,100,,C,gj,2,0,VF,6,7,63,30,1,5,6,92,6,2,45,28,27,21,1,0,0,-9,-9
NSAPG6~~~~N,NS,APG,6~~~~,N,1,-7,0,,LFH,,,0,-,-9,-9,-9,-9,28,4,4,5,120,50,90,40,30,10,0,0,0,-9,5
NSAPG6~~~~N,NS,APG,6~~~~,N,2,0,25,,A,eg,,40,M,10,60,37,3,0,4,5,28,5,7,33,16,11,2,1,0,0,-9,-9
NSAPG6~~~~N,NS,APG,6~~~~,N,3,25,60,,B,g,,20,M,10,60,37,3,0,5,6,84,5,7,38,20,14,3,1,0,0,-9,-9
NSAPG6~~~~N,NS,APG,6~~~~,N,4,60,100,,C,g,,20,M,10,55,42,3,0,5,6,92,5,0,26,16,13,4,2,0,0,-9,-9
NSAVP5~~~~A,NS,AVP,5~~~~,A,1,0,15,,A,p,,0,F,10,80,15,5,1,5,6,100,10,25,47,23,16,6,1,0,0,-9,-9
NSAVP5~~~~A,NS,AVP,5~~~~,A,2,15,70,,B,fgj,,0,F,10,80,15,5,2,5,5,100,14,25,43,22,16,6,2,0,0,-9,-9
NSAVP5~~~~A,NS,AVP,5~~~~,A,3,70,100,2,C,g,,0,VF,15,20,50,30,0,5,6,92,11,0,47,38,35,20,1,0,0,-9,-9
NSAVP5~~~~N,NS,AVP,5~~~~,N,1,-7,0,,LFH,,,0,-,-9,-9,-9,-9,28,4,4,5,120,50,90,40,30,10,0,0,0,-9,5
NSAVP5~~~~N,NS,AVP,5~~~~,N,2,0,25,,A,egj,,0,F,10,80,15,5,0,5,6,76,5,25,51,24,16,5,1,0,0,-9,-9
NSAVP5~~~~N,NS,AVP,5~~~~,N,3,25,70,,B,fgj,,0,F,10,80,15,5,2,5,5,100,14,25,43,22,16,6,2,0,0,-9,-9
NSAVP5~~~~N,NS,AVP,5~~~~,N,4,70,100,2,C,g,,0,VF,15,20,50,30,0,5,6,92,11,0,47,38,35,20,1,0,0,-9,-9
NSBDW3~~~~N,NS,BDW,3~~~~,N,1,-7,0,,LFH,,,0,0,-9,-9,-9,-9,28,4,4,5,120,50,90,40,30,10,0,0,0,-9,5
NSBDW3~~~~N,NS,BDW,3~~~~,N,2,0,5,,A,e,,5,M,10,60,30,10,0,4,5,28,6,7,52,30,23,8,1,0,0,-9,-9
NSBDW3~~~~N,NS,BDW,3~~~~,N,3,5,50,,B,f,,10,M,10,60,30,10,1,5,6,84,10,7,53,29,22,7,1,0,0,-9,-9
NSBDW3~~~~N,NS,BDW,3~~~~,N,4,50,100,,C,,,10,M,10,60,30,10,0,5,6,92,6,1,32,23,19,10,2,0,0,-9,-9
NSBDW5~~~~N,NS,BDW,5~~~~,N,1,-7,0,,LFH,,,0,-,-9,-9,-9,-9,28,4,4,5,120,50,90,40,30,10,0,0,0,-9,5
NSBDW5~~~~N,NS,BDW,5~~~~,N,2,0,5,,A,egj,,5,M,10,60,30,10,0,4,5,28,6,7,52,30,23,8,1,0,0,-9,-9
NSBDW5~~~~N,NS,BDW,5~~~~,N,3,5,50,,B,fgj,,10,M,10,60,30,10,2,5,6,84,15,7,42,26,21,8,1,0,0,-9,-9
NSBDW5~~~~N,NS,BDW,5~~~~,N,4,50,100,,C,g,,10,M,10,60,30,10,0,5,6,92,6,0,29,21,19,11,2,0,0,-9,-9
NSBDW6~~~~N,NS,BDW,6~~~~,N,1,-7,0,,LFH,,,-9,0,-9,-9,-9,-9,28,4,4,5,120,50,90,40,30,10,0,0,0,-9,5
NSBDW6~~~~N,NS,BDW,6~~~~,N,2,0,5,,A,eg,,5,M,10,60,30,10,0,4,5,28,6,7,52,30,23,8,1,0,0,-9,-9
NSBDW6~~~~N,NS,BDW,6~~~~,N,3,15,50,,B,g,,10,M,10,60,30,10,0,5,6,84,6,7,42,26,21,8,1,0,0,-9,-9
NSBDW6~~~~N,NS,BDW,6~~~~,N,4,50,100,,C,g,,10,M,10,60,30,10,0,5,6,92,6,0,29,21,19,11,2,0,0,-9,-9
NSBEY4~~~~N,NS,BEY,4~~~~,N,1,-7,0,,LFH,,,0,-,-9,-9,-9,-9,28,4,4,5,120,50,90,40,30,10,0,0,0,-9,5
NSBEY4~~~~N,NS,BEY,4~~~~,N,2,0,10,,A,e,,25,M,5,30,50,20,0,4,5,52,8,7,44,30,26,9,1,0,0,-9,-9
NSBEY4~~~~N,NS,BEY,4~~~~,N,3,10,50,,B,f,,25,M,5,30,50,20,1,5,5,60,12,10,44,30,26,9,1,0,0,-9,-9
NSBEY4~~~~N,NS,BEY,4~~~~,N,4,50,100,,C,,,30,M,5,30,50,20,0,5,6,92,8,1,28,22,21,12,2,0,0,-9,-9
NSBEY5~~~~N,NS,BEY,5~~~~,N,1,-7,0,,LFH,,,0,-,-9,-9,-9,-9,28,4,4,5,120,50,90,40,30,10,0,0,0,-9,5
NSBEY5~~~~N,NS,BEY,5~~~~,N,2,0,10,,A,egj,,25,M,5,30,50,20,0,4,5,52,8,7,44,30,26,9,1,0,0,-9,-9
NSBEY5~~~~N,NS,BEY,5~~~~,N,3,10,50,,B,fgj,,25,M,5,30,50,20,2,5,5,60,17,3,38,28,25,11,1,0,0,-9,-9
