SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,LAYER_NO,UDEPTH,LDEPTH,HZN_LIT,HZN_MAS,HZN_SUF,HZN_MOD,COFRAG,DOMSAND,VFSAND,TSAND,TSILT,TCLAY,ORGCARB,PHCA,PH2,BASES,CEC,KSAT,KP0,KP10,KP33,KP1500,BD,EC,CACO3,VONPOST,WOOD
ONABM~~~~~A,ON,ABM,~~~~~,A,1,0,20,,A,p,,0,VF,11,23,54,23,3.1,6.4,5.9,100,39,0.511,57,50,43,14,1.16,0,0,-9,-9
ONABM~~~~~A,ON,ABM,~~~~~,A,2,20,39,,B,m,,0,VF,10,23,50,27,0.5,6.3,5.8,100,27,0.312,48,40,37,19,1.39,0,0,-9,-9
ONABM~~~~~A,ON,ABM,~~~~~,A,3,39,78,,B,tg,,0,VF,0,8,30,62,0.2,6.7,6.2,100,54,0.205,45,40,36,35,1.47,0,0,-9,-9
ONABM~~~~~A,ON,ABM,~~~~~,A,4,78,100,,C,kgj,,0,VF,0,4,37,59,0.3,7.5,7,100,52,0.192,44,40,35,35,1.49,0,0,-9,-9
ONABO~~~~~N,ON,ABO,~~~~~,N,1,0,30,,A,h,,0,VF,10,19,61,20,3.9,6.9,6.4,100,46,0.286,55,50,36,14,1.45,0,0,-9,-9
ONABO~~~~~N,ON,ABO,~~~~~,N,2,30,50,,C,gj,,0,VF,4,5,42,53,1,7,6.5,100,27,0.194,44,40,35,29,1.49,0,0,-9,-9
ONABO~~~~~N,ON,ABO,~~~~~,N,3,50,100,,C,g,,0,VF,5,7,63,30,0.7,7,6.5,100,24,0.199,44,40,35,20,1.49,0,0,-9,-9
ONACE~~~~~A,ON,ACE,~~~~~,A,1,0,21,,A,p,,0,VF,14,26,57,17,2,5.1,4.6,68,27,0.561,53,40,39,12,1.27,0,0,-9,-9
ONACE~~~~~A,ON,ACE,~~~~~,A,2,21,50,,B,m,1,0,VF,11,19,51,30,0.8,5.4,4.9,92,27,0.281,48,40,38,20,1.39,0,1,-9,-9
ONACE~~~~~A,ON,ACE,~~~~~,A,3,50,90,,B,tj,,0,VF,7,11,55,34,0.3,5.6,5.1,100,25,0.212,45,40,36,23,1.47,0,0,-9,-9
ONACE~~~~~A,ON,ACE,~~~~~,A,4,90,110,,B,m,2,0,VF,9,12,62,26,0.3,5.8,5.3,100,25,0.269,48,40,38,18,1.39,0,1,-9,-9
ONAHGSH~~~A,ON,AHG,SH~~~,A,1,0,11,,A,p,,0,F,25,83,15,2,0.4,5.8,5.3,100,6,7.738,47,40,10,3,1.41,0,0,-9,-9
ONAHGSH~~~A,ON,AHG,SH~~~,A,2,11,23,,B,h,,0,F,18,93,5,2,2.5,5.7,5.2,100,19,12.24,58,40,12,2,1.12,0,0,-9,-9
ONAHGSH~~~A,ON,AHG,SH~~~,A,3,23,45,,B,fjgj,1,0,F,21,95,4,1,1,5.3,4.8,84,9,9.21,48,40,8,2,1.39,0,0,-9,-9
ONAHGSH~~~A,ON,AHG,SH~~~,A,4,45,52,,B,fjgj,2,0,F,23,96,3,1,0.5,4.8,4.3,44,6,9.309,48,40,8,2,1.39,0,0,-9,-9
