SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,LAYER_NO,UDEPTH,LDEPTH,HZN_LIT,HZN_MAS,HZN_SUF,HZN_MOD,COFRAG,DOMSAND,VFSAND,TSAND,TSILT,TCLAY,ORGCARB,PHCA,PH2,BASES,CEC,KSAT,KP0,KP10,KP33,KP1500,BD,EC,CACO3,VONPOST,WOOD
PEAND612~~N,PE,AND,612~~,N,1,0,10,,O,m,1,-9,-,-9,-9,-9,-9,50,5.3,6,57,147,-9,-9,-9,-9,-9,0.09,0,0,6,10
PEAND612~~N,PE,AND,612~~,N,2,10,20,,O,m,2,-9,-,-9,-9,-9,-9,48,5.2,6,56,161,-9,-9,-9,-9,-9,0.12,0,0,6,5
PEAND612~~N,PE,AND,612~~,N,3,20,55,,O,m,3,-9,-,-9,-9,-9,-9,40,5.2,6,54,140,-9,-9,-9,-9,-9,0.17,0,0,5,2
PEAND612~~N,PE,AND,612~~,N,4,55,160,,C,g,,-9,-,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,-9
PEARN611~~N,PE,ARN,611~~,N,1,0,22,,O,f,1,-9,-,-9,-9,-9,-9,50,3,4,14,131,-9,-9,-9,-9,-9,0.05,0,0,2,1
PEARN611~~N,PE,ARN,611~~,N,2,22,40,,O,f,2,-9,-,-9,-9,-9,-9,54,3,4,12,139,-9,-9,-9,-9,-9,0.06,0,0,2,1
PEARN611~~N,PE,ARN,611~~,N,3,40,100,,O,f,3,-9,-,-9,-9,-9,-9,54,3,4,13,134,-9,-9,-9,-9,-9,0.09,0,0,2,1
PEARN611~~N,PE,ARN,611~~,N,4,100,160,,O,f,4,-9,-,-9,-9,-9,-9,55,3,4,14,137,-9,-9,-9,-9,-9,0.15,0,0,2,1
PEARYAB~~~A,PE,ARY,AB~~~,A,1,0,20,,A,p,,0,F,27,87,10,3,1.5,4.3,4.8,73,3,14,51,27,19,4,1.25,0,0,-9,-9
PEARYAB~~~A,PE,ARY,AB~~~,A,2,20,33,,B,fj,,8,F,12,65,28,7,1,4.7,5.2,43,1,21,53,33,29,8,1.35,0,0,-9,-9
PEARYAB~~~A,PE,ARY,AB~~~,A,3,33,53,,BC,,1,21,F,13,66,30,4,0.1,4.7,5.2,79,1,5.7,38,27,23,5,1.54,0,0,-9,-9
PEARYAB~~~A,PE,ARY,AB~~~,A,4,53,84,,BC,,2,12,M,5,84,10,6,0.1,4.8,5.3,93,1,5.7,38,27,23,4,1.54,0,0,-9,-9
PEARYAB~~~A,PE,ARY,AB~~~,A,5,84,100,,C,,,20,F,20,75,20,5,0.1,5,5.5,99,1,5,34,24,21,5,1.62,0,0,-9,-9
PEARYA~~~~A,PE,ARY,A~~~~,A,1,0,20,,A,p,,0,F,27,87,10,3,1.5,4.3,4.8,73,3,14,51,27,19,4,1.25,0,0,-9,-9
PEARYA~~~~A,PE,ARY,A~~~~,A,2,20,33,,B,f,,8,F,12,65,28,7,1,4.7,5.2,43,1,21,53,33,29,8,1.35,0,0,-9,-9
PEARYA~~~~A,PE,ARY,A~~~~,A,3,33,53,,BC,,1,21,F,13,66,30,4,0.1,4.7,5.2,79,1,5.7,38,27,23,5,1.54,0,0,-9,-9
PEARYA~~~~A,PE,ARY,A~~~~,A,4,53,84,,BC,,2,12,M,5,84,10,6,0.1,4.8,5.3,93,1,5.7,38,27,23,4,1.54,0,0,-9,-9
