SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,LAYER_NO,UDEPTH,LDEPTH,HZN_LIT,HZN_MAS,HZN_SUF,HZN_MOD,COFRAG,DOMSAND,VFSAND,TSAND,TSILT,TCLAY,ORGCARB,PHCA,PH2,BASES,CEC,KSAT,KP0,KP10,KP33,KP1500,BD,EC,CACO3,VONPOST,WOOD
QCABT50000A,QC,ABT,50000,A,1,0,17,,A,hp,,0,-,0,0,51,49,2.3,4.4,5.2,17,18,10,60,47,42,21,1.05,0,0,-9,-9
QCABT50000A,QC,ABT,50000,A,2,17,29,,A,egj,,0,-,0,0,54,46,0.3,5,6.2,59,15,10,60,47,42,20,1.05,0,0,-9,-9
QCABT50000A,QC,ABT,50000,A,3,29,39,,B,tgj,,0,-,0,0,52,48,0.3,5.7,6.8,68,21,3.25,49,42,39,27,1.35,0,0,-9,-9
QCABT50000A,QC,ABT,50000,A,4,39,61,,C,g,1,0,-,0,0,31,69,0.2,6.2,7.2,77,23,0.075,47,42,41,36,1.4,0,0,-9,-9
QCABT50000A,QC,ABT,50000,A,5,61,100,,C,g,2,0,-,0,0,42,58,0.2,6.3,7.3,75,20,0.075,47,41,40,32,1.4,0,0,-9,-9
QCAGO33000N,QC,AGO,33000,N,1,-5,0,,LH,,,15,-,-9,-9,-9,-9,38.6,3.4,3.8,13,71,3.25,90,60,40,15,0.15,0,0,-9,-9
QCAGO33000N,QC,AGO,33000,N,2,0,8,,A,e,,14,VF,22,51,36,13,0.6,3.9,4.3,16,8,3.25,42,28,23,9,1.35,0,0,-9,-9
QCAGO33000N,QC,AGO,33000,N,3,8,13,,B,hf,,13,VF,29,58,25,17,12.2,4.1,4.5,6,33,5,39,27,23,12,1.45,0,0,-9,-9
QCAGO33000N,QC,AGO,33000,N,4,13,25,,B,f,1,16,VF,22,49,39,12,4.3,4.5,4.9,5,15,3.25,43,28,23,8,1.28,0,0,-9,-9
QCAGO33000N,QC,AGO,33000,N,5,25,35,,B,f,2,11,VF,25,60,27,13,2.1,4.6,5,15,5,5,36,25,21,11,1.57,0,0,-9,-9
QCAGO33000N,QC,AGO,33000,N,6,35,46,,A,egj,,19,VF,16,47,29,24,0.7,4.8,5.2,25,5,0.25,20,19,18,17,1.99,0,0,-9,-9
QCAGO33000N,QC,AGO,33000,N,7,46,61,,B,txgj,1,19,VF,15,47,26,27,0.4,4.7,5.1,64,2,0.25,23,19,18,17,2.09,0,0,-9,-9
QCAGO33000N,QC,AGO,33000,N,8,61,76,,B,txgj,2,36,VF,16,50,23,27,0.3,5.8,6.2,86,9,0.25,18,17,15,14,2.07,0,0,-9,-9
QCAGO33000N,QC,AGO,33000,N,9,76,100,,BC,x,,24,VF,17,54,23,23,0.4,6.4,6.9,100,7,0.25,19,18,17,16,2.1,0,0,-9,-9
QCAGR30000A,QC,AGR,30000,A,1,0,30,,A,p,,10,F,8,51,29,20,2.2,5.6,6,69,15,25.25,42,30,26,14,1.4,0,0,-9,-9
QCAGR30000A,QC,AGR,30000,A,2,30,50,,B,g,,10,M,7,44,29,27,0.8,5,5.4,39,14,7.75,29,26,25,22,1.8,0,0,-9,-9
