SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,LAYER_NO,UDEPTH,LDEPTH,HZN_LIT,HZN_MAS,HZN_SUF,HZN_MOD,COFRAG,DOMSAND,VFSAND,TSAND,TSILT,TCLAY,ORGCARB,PHCA,PH2,BASES,CEC,KSAT,KP0,KP10,KP33,KP1500,BD,EC,CACO3,VONPOST,WOOD
SKADA43~~~A,SK,ADA,43~~~,A,1,0,13,,A,p,,0,VF,12,39,32,29,1.9,6.8,7,100,25,3.1,51,-9,34,21,1.4,1,0,-9,-9
SKADA43~~~A,SK,ADA,43~~~,A,2,13,40,,B,m,,0,VF,13,35,32,33,1,7.2,7.4,100,24,2.35,47,-9,35,21,1.4,1,0,-9,-9
SKADA43~~~A,SK,ADA,43~~~,A,3,40,100,,C,k,,0,F,11,35,32,33,0.1,8.3,8.3,100,20,2.35,43,-9,38,22,1.5,1,13,-9,-9
SKADA49~~~A,SK,ADA,49~~~,A,1,0,13,,A,p,,0,VF,12,21,37,42,2.1,6.8,7,100,29,1.12,51,-9,43,27,1.3,1,0,-9,-9
SKADA49~~~A,SK,ADA,49~~~,A,2,13,40,,B,m,,0,VF,13,35,32,33,1,7.2,7.4,100,24,2.35,47,-9,35,21,1.4,1,0,-9,-9
SKADA49~~~A,SK,ADA,49~~~,A,3,40,100,,C,k,,0,F,11,35,32,33,0.1,8.3,8.3,100,20,2.35,43,-9,38,22,1.5,1,13,-9,-9
SKADAR43~~A,SK,ADA,R43~~,A,1,0,13,,A,p,,0,VF,12,39,32,29,1.9,6.8,7,100,25,3.1,51,-9,34,21,1.4,1,0,-9,-9
SKADAR43~~A,SK,ADA,R43~~,A,2,13,40,,B,m,,0,VF,13,35,32,33,1,7.2,7.4,100,24,2.35,47,-9,35,21,1.4,1,0,-9,-9
SKADAR43~~A,SK,ADA,R43~~,A,3,40,80,,C,k,,0,F,11,35,32,33,0.1,8.3,8.3,100,20,2.35,43,-9,38,22,1.5,1,13,-9,-9
SKADAR43~~A,SK,ADA,R43~~,A,4,80,100,,R,,,-9,-,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
SKADAR49~~A,SK,ADA,R49~~,A,1,0,13,,A,p,,0,VF,12,21,37,42,2.1,6.8,7,100,29,1.12,51,-9,43,27,1.3,1,0,-9,-9
SKADAR49~~A,SK,ADA,R49~~,A,2,13,40,,B,m,,0,VF,13,35,32,33,1,7.2,7.4,100,24,2.35,47,-9,35,21,1.4,1,0,-9,-9
SKADAR49~~A,SK,ADA,R49~~,A,3,40,80,,C,k,,0,F,11,35,32,33,0.1,8.3,8.3,100,20,2.35,43,-9,38,22,1.5,1,13,-9,-9
SKADAR49~~A,SK,ADA,R49~~,A,4,80,100,,R,,,-9,-,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
SKADAR~~~~A,SK,ADA,R~~~~,A,1,0,13,,A,p,,0,VF,12,38,36,26,1.7,6.8,7,100,22,3.29,47,-9,34,20,1.4,1,0,-9,-9
SKADAR~~~~A,SK,ADA,R~~~~,A,2,13,40,,B,m,,0,VF,13,35,32,33,1,7.2,7.4,100,24,2.35,47,-9,35,21,1.4,1,0,-9,-9
SKADAR~~~~A,SK,ADA,R~~~~,A,3,40,80,,C,k,,0,F,11,35,32,33,0.1,8.3,8.3,100,20,2.35,43,-9,38,22,1.5,1,13,-9,-9
SKADAR~~~~A,SK,ADA,R~~~~,A,4,80,100,,R,,,-9,-,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
SKADA~~~~~A,SK,ADA,~~~~~,A,1,0,13,,A,p,,0,VF,12,38,36,26,1.7,6.8,7,100,22,3.29,47,-9,34,20,1.4,1,0,-9,-9
SKADA~~~~~A,SK,ADA,~~~~~,A,2,13,40,,B,m,,0,VF,13,35,32,33,1,7.2,7.4,100,24,2.35,47,-9,35,21,1.4,1,0,-9,-9
SKADA~~~~~A,SK,ADA,~~~~~,A,3,40,100,,C,k,,0,F,11,35,32,33,0.1,8.3,8.3,100,20,2.35,43,-9,38,22,1.5,1,13,-9,-9
SKADC43~~~A,SK,ADC,43~~~,A,1,0,11,,A,pk,,0,VF,12,39,32,29,1.9,6.8,7,100,25,3.1,51,-9,34,21,1.4,1,4,-9,-9
SKADC43~~~A,SK,ADC,43~~~,A,2,11,27,,B,mk,,0,VF,13,35,32,33,1,7.8,7.9,100,24,2.35,47,-9,35,21,1.4,1,8,-9,-9
SKADC43~~~A,SK,ADC,43~~~,A,3,27,100,,C,k,,0,F,11,35,32,33,0.1,8.3,8.3,100,20,2.35,43,-9,38,22,1.5,2,13,-9,-9
SKADC49~~~A,SK,ADC,49~~~,A,1,0,11,,A,pk,,0,VF,12,21,37,42,2.1,6.8,7,100,29,1.12,51,-9,43,27,1.3,1,4,-9,-9
SKADC49~~~A,SK,ADC,49~~~,A,2,11,27,,B,mk,,0,VF,13,35,32,33,1,7.8,7.9,100,24,2.35,47,-9,35,21,1.4,1,8,-9,-9
SKADC49~~~A,SK,ADC,49~~~,A,3,27,100,,C,k,,0,F,11,35,32,33,0.1,8.3,8.3,100,20,2.35,43,-9,38,22,1.5,2,13,-9,-9
SKADC~~~~~A,SK,ADC,~~~~~,A,1,0,11,,A,pk,,0,VF,12,38,36,26,1.2,7.6,7.7,100,20,3.29,47,-9,32,18,1.4,1,4,-9,-9
SKADC~~~~~A,SK,ADC,~~~~~,A,2,11,27,,B,mk,,0,VF,13,35,32,33,1,7.8,7.9,100,24,2.35,47,-9,35,21,1.4,1,8,-9,-9
SKADC~~~~~A,SK,ADC,~~~~~,A,3,27,100,,C,k,,0,F,11,35,32,33,0.1,8.3,8.3,100,20,2.35,43,-9,38,22,1.5,2,13,-9,-9
SKADE43~~~A,SK,ADE,43~~~,A,1,0,13,,A,p,,0,VF,12,39,32,29,1.9,6.8,7,100,25,3.1,51,-9,34,21,1.4,1,0,-9,-9
SKADE43~~~A,SK,ADE,43~~~,A,2,13,22,,A,e,,0,VF,12,38,38,24,1,6.6,6.8,100,18,3.51,47,-9,31,17,1.4,0,0,-9,-9
SKADE43~~~A,SK,ADE,43~~~,A,3,22,48,,B,tj,,0,VF,13,35,32,33,1,7.8,7.9,100,24,2.35,47,-9,35,21,1.4,1,0,-9,-9
SKADE43~~~A,SK,ADE,43~~~,A,4,48,100,,C,k,,0,F,11,35,32,33,0.1,8.3,8.3,100,20,2.35,43,-9,38,22,1.5,1,13,-9,-9
SKADE49~~~A,SK,ADE,49~~~,A,1,0,13,,A,p,,0,VF,12,21,37,42,1.9,6.6,6.8,100,25,3.1,51,-9,34,21,1.4,1,0,-9,-9
SKADE49~~~A,SK,ADE,49~~~,A,2,13,22,,A,e,,0,VF,12,40,32,28,1,6.6,6.8,100,24,3,51,-9,34,21,1.3,0,0,-9,-9
SKADE49~~~A,SK,ADE,49~~~,A,3,22,48,,B,tj,,0,VF,13,35,32,33,1,7.8,7.9,100,24,2.35,47,-9,35,21,1.4,1,0,-9,-9
SKADE49~~~A,SK,ADE,49~~~,A,4,48,100,,C,k,,0,F,11,35,32,33,0.1,8.3,8.3,100,20,2.35,43,-9,38,22,1.5,1,13,-9,-9
SKADE~~~~~A,SK,ADE,~~~~~,A,1,0,13,,A,p,,0,VF,12,38,36,26,2,6.6,6.8,100,23,3.29,51,-9,33,19,1.3,1,0,-9,-9
SKADE~~~~~A,SK,ADE,~~~~~,A,2,13,22,,A,e,,0,VF,12,38,38,24,1,6.6,6.8,100,18,3.51,47,-9,31,17,1.4,0,0,-9,-9
SKADE~~~~~A,SK,ADE,~~~~~,A,3,22,48,,B,tj,,0,VF,13,35,32,33,1,7.8,7.9,100,24,2.35,47,-9,35,21,1.4,1,0,-9,-9
SKADE~~~~~A,SK,ADE,~~~~~,A,4,48,100,,C,k,,0,F,11,35,32,33,0.1,8.3,8.3,100,20,2.35,43,-9,38,22,1.5,1,13,-9,-9
SKADHS43~~A,SK,ADH,S43~~,A,1,0,13,,A,pk,,0,VF,12,39,32,29,1.9,6.8,7,100,25,3.1,51,-9,34,21,1.4,1,4,-9,-9
SKADHS43~~A,SK,ADH,S43~~,A,2,13,27,,B,mkgjsa,,0,VF,13,35,32,33,1,7.8,7.9,100,24,2.35,47,-9,35,21,1.4,6,8,-9,-9
SKADHS43~~A,SK,ADH,S43~~,A,3,27,100,,C,kgjsa,,0,F,11,35,32,33,0.1,8.3,8.3,100,20,2.35,43,-9,38,22,1.5,8,13,-9,-9
SKADHS49~~A,SK,ADH,S49~~,A,1,0,13,,A,pk,,0,VF,12,21,37,42,2.1,6.8,7,100,29,1.12,51,-9,43,27,1.3,1,4,-9,-9
SKADHS49~~A,SK,ADH,S49~~,A,2,13,27,,B,mkgjsa,,0,VF,13,35,32,33,1,7.8,7.9,100,24,2.35,47,-9,35,21,1.4,6,8,-9,-9
SKADHS49~~A,SK,ADH,S49~~,A,3,27,100,,C,kgjsa,,0,F,11,35,32,33,0.1,8.3,8.3,100,20,2.35,43,-9,38,22,1.5,8,13,-9,-9
SKADHS~~~~A,SK,ADH,S~~~~,A,1,0,13,,A,pk,,0,VF,12,38,36,26,1.7,7.6,7.7,100,22,3.29,47,-9,34,20,1.4,1,4,-9,-9
SKADHS~~~~A,SK,ADH,S~~~~,A,2,13,27,,B,mkgjsa,,0,VF,13,35,32,33,1,7.8,7.9,100,24,2.35,47,-9,35,21,1.4,6,8,-9,-9
SKADHS~~~~A,SK,ADH,S~~~~,A,3,27,100,,C,kgjsa,,0,F,11,35,32,33,0.1,8.3,8.3,100,20,2.35,43,-9,38,22,1.5,8,13,-9,-9
SKADI43~~~A,SK,ADI,43~~~,A,1,0,11,,A,p,,0,VF,12,39,32,29,1.9,6.8,7,100,25,3.1,51,-9,34,21,1.4,0,0,-9,-9
SKADI43~~~A,SK,ADI,43~~~,A,2,11,40,,B,tnj,,0,VF,13,35,32,33,1,7.8,7.9,100,24,2.35,47,-9,35,21,1.4,1,0,-9,-9
