SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,SOILNAME,KIND,WATERTBL,ROOTRESTRI,RESTR_TYPE,DRAINAGE,PMTEX1,PMTEX2,PMTEX3,PMCHEM1,PMCHEM2,PMCHEM3,MDEP1,MDEP2,MDEP3,ORDER2,G_GROUP2,S_GROUP2,ORDER3,G_GROUP3,S_GROUP3
ABABCgl~~~N,AB,ABC,gl~~~,N,ATHABASCA,M,YU,0,-,I,MF,-,-,WC,-,-,TILL,-,-,,,,LU,GL,GL
ABABCst~~~A,AB,ABC,st~~~,A,ATHABASCA,M,NO,0,-,W,MF,-,-,WC,-,-,TILL,-,-,,,,LU,GL,O
ABABCst~~~N,AB,ABC,st~~~,N,ATHABASCA,M,NO,0,-,W,MF,-,-,WC,-,-,TILL,-,-,,,,LU,GL,O
ABABC~~~~~A,AB,ABC,~~~~~,A,ATHABASCA,M,NO,0,-,W,MF,-,-,WC,-,-,TILL,-,-,,,,LU,GL,O
ABABC~~~~~N,AB,ABC,~~~~~,N,ATHABASCA,M,NO,0,-,W,MF,-,-,WC,-,-,TILL,-,-,,,,LU,GL,O
ABABNaa~~~N,AB,ABN,aa~~~,N,ALBIAN,O,YB,0,-,VP,FI,-,-,AN,-,-,FNPT,-,-,,,,OR,F,TY
ABABNxt~~~N,AB,ABN,xt~~~,N,ALBIAN,O,YB,0,-,VP,FI,MF,-,AN,WC,-,FNPT,TILL,-,,,,OR,F,T
ABABN~~~~~N,AB,ABN,~~~~~,N,ALBIAN,O,YB,0,-,VP,FI,-,-,AN,-,-,FNPT,-,-,,,,OR,F,TY
ABACE~~~~~A,AB,ACE,~~~~~,A,ALLIANCE,M,NO,0,-,W,M,MF,-,VC,UD,-,GLLC,TILL,-,,,,CH,BLC,O
ABACV~~~~~A,AB,ACV,~~~~~,A,ACADIA VALLEY,M,NO,0,-,W,VF,-,-,VC,-,-,GLLC,-,-,,,,VE,V,O
