SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,SOILNAME,KIND,WATERTBL,ROOTRESTRI,RESTR_TYPE,DRAINAGE,PMTEX1,PMTEX2,PMTEX3,PMCHEM1,PMCHEM2,PMCHEM3,MDEP1,MDEP2,MDEP3,ORDER2,G_GROUP2,S_GROUP2,ORDER3,G_GROUP3,S_GROUP3
BC$AN~~~~~N,BC,$AN,~~~~~,N,ANTHROPOGENIC,U,-,-,-,-,-,-,-,-,-,-,ANTH,-,-,-,-,-,-,-,-
BC$AR~~~~~N,BC,$AR,~~~~~,N,BEDROCK ACIDIC,N,NO,-,-,-,-,-,-,-,-,-,RKIA,-,-,-,-,-,-,-,-
BC$BR~~~~~N,BC,$BR,~~~~~,N,BEDROCK BASIC,N,NO,-,-,-,-,-,-,-,-,-,RKIB,-,-,-,-,-,-,-,-
BC$CB~~~~~N,BC,$CB,~~~~~,N,COASTAL BEACHES,N,-,-,-,-,-,-,-,-,-,-,MARI,-,-,-,-,-,-,-,-
BC$CF~~~~~N,BC,$CF,~~~~~,N,CUT AND FILL,U,-,-,-,-,UD,-,-,-,-,-,ANTH,-,-,RG,R,O,RG,R,O
BC$CR~~~~~N,BC,$CR,~~~~~,N,BEDROCK CALCAREOUS,N,NO,-,-,-,-,-,-,-,-,-,RKCA,-,-,-,-,-,-,-,-
BC$DK~~~~~N,BC,$DK,~~~~~,N,DIKE,U,-,-,-,-,UD,-,-,AN,-,-,ANTH,-,-,RG,R,O,RG,R,O
BC$ER~~~~~N,BC,$ER,~~~~~,N,ERODED SCARPS,N,-,-,-,-,-,-,-,-,-,-,COLL,-,-,-,-,-,-,-,-
BC$GD~~~~~N,BC,$GD,~~~~~,N,GARBAGE DUMP,N,-,-,-,-,-,-,-,-,-,-,ANTH,-,-,-,-,-,-,-,-
BC$GP~~~~~N,BC,$GP,~~~~~,N,GRAVEL PIT,U,-,-,-,-,CS,-,-,AN,-,-,ANTH,-,-,RG,R,O,RG,R,O
BC$LR~~~~~N,BC,$LR,~~~~~,N,LIMESTONE BEDROCK,N,NO,-,-,-,-,-,-,-,-,-,RKLS,-,-,-,-,-,-,-,-
BC$MA~~~~~N,BC,$MA,~~~~~,N,MARL,N,YB,0,-,I,MF,-,-,VC,-,-,UNDM,-,-,RG,R,GL,RG,R,GL
BC$MD~~~~~N,BC,$MD,~~~~~,N,MINE DUMP,U,-,-,-,-,C,-,-,WC,-,-,ANTH,-,-,-,-,-,-,-,-
BC$MN~~~~~N,BC,$MN,~~~~~,N,MINE,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BC$MR~~~~~N,BC,$MR,~~~~~,N,BEDROCK METAMORPHIC,N,NO,-,-,-,-,-,-,-,-,-,RKSA,-,-,-,-,-,-,-,-
BC$NK~~~~~N,BC,$NK,~~~~~,N,UNKNOWN,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BC$RA~~~~~N,BC,$RA,~~~~~,N,RECENT ALLUVIUM,N,YB,0,-,I,VC,-,-,AN,-,-,FLUV,-,-,RG,R,GL,RG,R,GL
BC$RB~~~~~N,BC,$RB,~~~~~,N,RAISED BEACH,N,-,-,-,-,-,-,-,-,-,-,MARI,-,-,-,-,-,-,-,-
BC$RC~~~~~N,BC,$RC,~~~~~,N,DRY RIVER CHANNEL,N,YU,0,-,I,CS,-,-,AN,-,-,FLUV,-,-,RG,R,O,RG,R,O
BC$SR~~~~~N,BC,$SR,~~~~~,N,BEDROCK SANDSTONE,N,NO,-,-,-,-,-,-,-,-,-,RKSS,-,-,-,-,-,-,-,-
BC$SS~~~~~N,BC,$SS,~~~~~,N,STEEP SLOPES,N,NO,-,-,-,UD,-,-,-,-,-,UNDM,-,-,-,-,-,-,-,-
BC$SW~~~~~N,BC,$SW,~~~~~,N,SWAMP,N,YU,1,UN,-,-,-,-,-,-,-,LACU,-,-,-,-,-,-,-,-
BC$TA~~~~~N,BC,$TA,~~~~~,N,TALUS,N,NO,0,-,R,CS,-,-,AN,-,-,COLL,-,-,RG,R,O,RG,R,O
BC$TF~~~~~N,BC,$TF,~~~~~,N,TIDAL FLAT,N,YB,1,SA,VP,M,-,-,EA,-,-,MARI,-,-,GL,G,R,GL,G,R
BC$UI~~~~~N,BC,$UI,~~~~~,N,UNCLASSIFIED ISLAND,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BC$UL~~~~~N,BC,$UL,~~~~~,N,UNCLASSIFIED LAND,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BC$UR~~~~~N,BC,$UR,~~~~~,N,UNDIFFERENTIATED BEDROCK,N,NO,-,-,-,-,-,-,-,-,-,RKUD,-,-,-,-,-,-,-,-
BC$UU~~~~~N,BC,$UU,~~~~~,N,UNCLASSIFIED URBAN,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BC$WW~~~~~N,BC,$WW,~~~~~,N,WOOD WASTE,N,-,-,-,-,-,-,-,-,-,-,ANTH,-,-,-,-,-,-,-,-
BC$ZZ~~~~~N,BC,$ZZ,~~~~~,N,OPEN WATER,N,YU,1,UN,P,-,-,-,-,-,-,LACU,-,-,RG,R,O,RG,R,O
BCABFan~~~N,BC,ABF,an~~~,N,ABBOTSFORD,M,NO,0,-,R,MF,CS,-,AN,AN,-,ANTH,GLFL,-,PZ,HFP,O,PZ,HFP,O
BCABF~~~~~A,BC,ABF,~~~~~,A,ABBOTSFORD,M,NO,0,-,W,MF,CS,-,AN,AN,-,EOLI,GLFL,-,PZ,HFP,O,PZ,HFP,O
BCABF~~~~~N,BC,ABF,~~~~~,N,ABBOTSFORD,M,NO,0,-,W,MF,CS,-,AN,AN,-,EOLI,GLFL,-,PZ,HFP,O,PZ,HFP,O
BCABId~~~~A,BC,ABI,d~~~~,A,ALBION,M,YB,3,UN,P,F,-,-,AN,-,-,GLMA,-,-,GL,LG,HU,GL,LG,HU
BCABI~~~~~N,BC,ABI,~~~~~,N,ALBION,M,YB,4,UN,VP,F,-,-,AN,-,-,GLMA,-,-,GL,LG,HU,GL,LG,HU
BCABO~~~~~N,BC,ABO,~~~~~,N,ABBOT,M,NO,0,-,R,CS,-,-,EA,-,-,TILL,-,-,BR,DYB,O,BR,DYB,O
BCABRgsli~N,BC,ABR,gsli~,N,ALBERNI,M,YU,4,LI,MW,F,-,-,AN,-,-,MARI,-,-,BR,DYB,O,BR,DYB,O
BCABRg~~~~A,BC,ABR,g~~~~,A,ALBERNI,M,YU,5,UN,MW,F,-,-,AN,-,-,MARI,-,-,BR,DYB,O,BR,DYB,O
BCABRg~~~~N,BC,ABR,g~~~~,N,ALBERNI,M,YU,6,UN,MW,F,-,-,AN,-,-,MARI,-,-,BR,DYB,O,BR,DYB,O
BCABRmot~~A,BC,ABR,mot~~,A,ALBERNI,M,YU,5,UN,MW,F,-,-,AN,-,-,MARI,-,-,BR,DYB,O,BR,DYB,O
BCABRmot~~N,BC,ABR,mot~~,N,ALBERNI,M,YU,6,UN,MW,F,-,-,AN,-,-,MARI,-,-,BR,DYB,O,BR,DYB,O
BCABRsli~~N,BC,ABR,sli~~,N,ALBERNI,M,YU,4,LI,MW,F,-,-,AN,-,-,MARI,-,-,BR,DYB,O,BR,DYB,O
BCABRsv~~~A,BC,ABR,sv~~~,A,ALBERNI,M,YU,5,UN,MW,F,-,-,AN,-,-,MARI,-,-,BR,DYB,O,BR,DYB,O
BCABRsv~~~N,BC,ABR,sv~~~,N,ALBERNI,M,YU,6,UN,MW,F,-,-,AN,-,-,MARI,-,-,BR,DYB,O,BR,DYB,O
BCABR~~~~~A,BC,ABR,~~~~~,A,ALBERNI,M,YU,5,UN,MW,F,-,-,AN,-,-,MARI,-,-,BR,DYB,O,BR,DYB,O
BCABR~~~~~N,BC,ABR,~~~~~,N,ALBERNI,M,YU,6,UN,MW,F,-,-,AN,-,-,MARI,-,-,BR,DYB,O,BR,DYB,O
BCACC~~~~~A,BC,ACC,~~~~~,A,ACLAND CREEK,M,NO,0,-,W,CS,-,-,WC,-,-,GLFL,-,-,CH,DB,O,CH,DBC,O
BCACC~~~~~N,BC,ACC,~~~~~,N,ACLAND CREEK,M,NO,0,-,W,CS,-,-,WC,-,-,GLFL,-,-,CH,DB,O,CH,DBC,O
BCADGpd~~~A,BC,ADG,pd~~~,A,ADDINGTON,M,YB,0,-,P,HU,M,C,EA,EA,EA,FNPT,FLUV,FLUV,GL,G,R,GL,G,R
BCADGp~~~~N,BC,ADG,p~~~~,N,ADDINGTON,M,YB,0,-,VP,HU,M,C,EA,EA,EA,FNPT,FLUV,FLUV,GL,G,R,GL,G,R
BCADM~~~~~A,BC,ADM,~~~~~,A,ADAMS,M,YU,0,-,MW,M,-,-,UD,-,-,FLUV,-,-,LU,GL,O,LU,GL,O
BCADM~~~~~N,BC,ADM,~~~~~,N,ADAMS,M,YU,0,-,MW,M,-,-,UD,-,-,FLUV,-,-,LU,GL,O,LU,GL,O
BCAGH~~~~~A,BC,AGH,~~~~~,A,ALBRIGHT,M,YU,7,SA,MW,MF,F,-,SA,-,-,GLLC,-,-,CH,DG,SZ,CH,DGC,SZ
BCAGL~~~~~A,BC,AGL,~~~~~,A,AGAR LAKE,M,NO,0,-,W,CS,-,-,WC,-,-,GLFL,-,-,CH,B,O,CH,BC,O
BCAGL~~~~~N,BC,AGL,~~~~~,N,AGAR LAKE,M,NO,0,-,W,CS,-,-,WC,-,-,GLFL,-,-,CH,B,O,CH,BC,O
BCAGTli~~~N,BC,AGT,li~~~,N,ANGLEMONT,M,NO,6,LI,W,MS,-,-,VC,-,-,COLL,RKLS,-,BR,DYB,E,BR,DYB,E
BCAGT~~~~~N,BC,AGT,~~~~~,N,ANGLEMONT,M,NO,0,-,W,MS,-,-,VC,-,-,COLL,-,-,BR,DYB,E,BR,DYB,E
BCAIX14~~~N,BC,AIX,14~~~,N,ALIX,M,NO,0,-,R,CS,-,-,AN,-,-,GLFL,-,-,BR,DYB,O,BR,DYB,O
BCAIX~~~~~A,BC,AIX,~~~~~,A,ALIX,M,NO,0,-,R,CS,-,-,AN,-,-,GLFL,-,-,BR,DYB,O,BR,DYB,O
BCAIX~~~~~N,BC,AIX,~~~~~,N,ALIX,M,NO,0,-,R,CS,-,-,AN,-,-,GLFL,-,-,BR,DYB,O,BR,DYB,O
BCALC01~~~N,BC,ALC,01~~~,N,ALCAN,M,YU,0,-,I,MF,F,-,AN,WC,-,TILL,-,-,LU,GL,GL,LU,GL,GL
BCALCid~~~N,BC,ALC,id~~~,N,ALCAN,M,YU,0,-,I,MF,F,-,AN,WC,-,TILL,-,-,LU,GL,GL,LU,GL,GL
BCALC~~~~~A,BC,ALC,~~~~~,A,ALCAN,M,YU,0,-,MW,MF,F,-,AN,WC,-,TILL,-,-,LU,GL,O,LU,GL,O
BCALC~~~~~N,BC,ALC,~~~~~,N,ALCAN,M,YU,0,-,MW,MF,F,-,AN,WC,-,TILL,-,-,LU,GL,O,LU,GL,O
BCALE~~~~~N,BC,ALE,~~~~~,N,ALLIE,M,NO,5,CT,W,MC,MF,-,VC,-,-,TILL,-,-,LU,GL,BR,LU,GL,BR
BCALK05~~~N,BC,ALK,05~~~,N,ALKALI,M,NO,8,LI,W,MC,MF,-,AN,AN,-,TILL,RKUD,-,LU,GL,PZ,LU,GL,PZ
BCALKli~~~N,BC,ALK,li~~~,N,ALKALI,M,NO,8,LI,W,MC,MF,-,AN,AN,-,TILL,RKUD,-,LU,GL,PZ,LU,GL,PZ
BCALK~~~~~A,BC,ALK,~~~~~,A,ALKALI,M,NO,7,CT,W,MC,MF,-,AN,AN,-,TILL,-,-,LU,GL,PZ,LU,GL,PZ
BCALK~~~~~N,BC,ALK,~~~~~,N,ALKALI,M,NO,8,CT,W,MC,MF,-,AN,AN,-,TILL,-,-,LU,GL,PZ,LU,GL,PZ
BCALMid~~~N,BC,ALM,id~~~,N,ALLAMORE,M,YU,0,-,I,MC,-,-,WC,-,-,TILL,-,-,LU,GL,GLPZ,LU,GL,GLPZ
BCALMli~~~N,BC,ALM,li~~~,N,ALLAMORE,M,YU,7,LI,MW,MS,-,-,WC,-,-,TILL,-,-,LU,GL,PZ,LU,GL,PZ
BCALM~~~~~N,BC,ALM,~~~~~,N,ALLAMORE,M,NO,5,CT,W,MS,-,-,WC,-,-,TILL,-,-,LU,GL,PZ,LU,GL,PZ
BCALS~~~~~N,BC,ALS,~~~~~,N,ALLISON,M,NO,0,-,R,CS,-,-,WC,-,-,GLFL,-,-,CH,BL,O,CH,BLC,O
BCALV~~~~~A,BC,ALV,~~~~~,A,ALLUVIAL,M,NO,0,-,W,CS,-,-,AN,-,-,FLUV,-,-,RG,R,CU,RG,R,CU
BCALV~~~~~N,BC,ALV,~~~~~,N,ALLUVIAL,M,NO,0,-,W,CS,-,-,AN,-,-,FLUV,-,-,RG,R,CU,RG,R,CU
BCALZ~~~~~A,BC,ALZ,~~~~~,A,ALEZA,M,YB,3,UN,P,F,-,-,AN,-,-,GLLC,-,-,GL,LG,O,GL,LG,O
BCALZ~~~~~N,BC,ALZ,~~~~~,N,ALEZA,M,YU,4,UN,P,F,-,-,AN,-,-,GLLC,-,-,GL,LG,O,GL,LG,O
BCAMGb~~~~N,BC,AMG,b~~~~,N,ARMSTRONG,M,NO,5,UN,W,MC,-,-,VC,-,-,TILL,-,-,CH,BL,O,CH,BLC,O
BCAMGer~~~N,BC,AMG,er~~~,N,ARMSTRONG,M,NO,3,UN,W,MC,-,-,VC,-,-,TILL,-,-,CH,BL,R,CH,BLC,R
BCAMGli~~~N,BC,AMG,li~~~,N,ARMSTRONG,M,NO,7,LI,W,MC,-,-,VC,-,-,TILL,-,-,CH,BL,O,CH,BLC,O
BCAMGswca~N,BC,AMG,swca~,N,ARMSTRONG,M,YU,6,UN,MW,MC,MS,-,VC,VC,-,FLUV,TILL,-,CH,BL,CA,CH,BLC,CA
BCAMGsw~~~N,BC,AMG,sw~~~,N,ARMSTRONG,M,NO,5,UN,W,MC,MS,-,AN,VC,-,FLUV,TILL,-,CH,BL,O,CH,BLC,O
BCAMG~~~~~A,BC,AMG,~~~~~,A,ARMSTRONG,M,NO,5,UN,W,MC,-,-,VC,-,-,TILL,-,-,CH,BL,O,CH,BLC,O
BCAMG~~~~~N,BC,AMG,~~~~~,N,ARMSTRONG,M,NO,6,UN,W,MC,-,-,VC,-,-,TILL,-,-,CH,BL,O,CH,BLC,O
BCANCd~~~~A,BC,ANC,d~~~~,A,ANNACIS,O,YB,0,-,VP,HU,-,-,EA,-,-,FNPT,-,-,OR,H,TY,OR,H,TY
BCANC~~~~~N,BC,ANC,~~~~~,N,ANNACIS,O,YB,0,-,VP,HU,-,-,EA,-,-,FNPT,-,-,OR,H,TY,OR,H,TY
BCAND~~~~~N,BC,AND,~~~~~,N,ANDREW,M,NO,0,-,W,CS,-,-,WC,-,-,TILL,-,-,BR,EB,E,BR,EB,E
BCANGli~~~N,BC,ANG,li~~~,N,ANGLE,M,NO,6,LI,W,MS,-,-,WC,-,-,COLL,RKIB,-,BR,EB,E,BR,EB,E
BCANG~~~~~N,BC,ANG,~~~~~,N,ANGLE,M,NO,0,-,W,MS,-,-,WC,-,-,COLL,-,-,BR,EB,E,BR,EB,E
BCANSpd~~~A,BC,ANS,pd~~~,A,ANNIS,M,YB,0,-,P,HU,MF,-,EA,EA,-,FNPT,FLUV,-,GL,G,R,GL,G,R
BCANSp~~~~N,BC,ANS,p~~~~,N,ANNIS,M,YB,0,-,VP,HU,MF,-,EA,EA,-,FNPT,FLUV,-,GL,G,R,GL,G,R
BCAODd~~~~A,BC,AOD,d~~~~,A,ARNOLD,M,YB,0,-,P,MF,-,-,AN,-,-,FLUV,-,-,GL,HG,O,GL,HG,O
BCAPM~~~~~N,BC,APM,~~~~~,N,APALMER,M,YU,0,-,VP,SM,-,-,VC,-,-,FLUV,-,-,GL,G,R,RG,R,O
BCAPX05~~~N,BC,APX,05~~~,N,APEX,M,NO,6,FP,W,M,MS,-,AN,-,-,COLL,RKIA,-,BR,SB,O,BR,SB,O
BCAPXli~~~N,BC,APX,li~~~,N,APEX,M,NO,6,FP,W,M,MS,-,AN,-,-,COLL,RKIA,-,BR,SB,O,BR,SB,O
BCARC~~~~~N,BC,ARC,~~~~~,N,ARCAT,M,NO,0,-,W,MC,-,-,WC,-,-,GLLC,-,-,LU,GL,O,LU,GL,O
BCARH01~~~N,BC,ARH,01~~~,N,ARCHIE,M,YU,8,CT,I,MS,-,-,AN,-,-,TILL,-,-,LU,GL,GLPZ,LU,GL,GLPZ
BCARH05~~~N,BC,ARH,05~~~,N,ARCHIE,M,NO,8,LI,W,MS,-,-,AN,-,-,TILL,RKIA,-,LU,GL,PZ,LU,GL,PZ
BCARHid~~~N,BC,ARH,id~~~,N,ARCHIE,M,YU,8,CT,I,MS,-,-,AN,-,-,TILL,-,-,LU,GL,GLPZ,LU,GL,GLPZ
BCARHli~~~N,BC,ARH,li~~~,N,ARCHIE,M,NO,8,LI,W,MS,-,-,AN,-,-,TILL,RKIA,-,LU,GL,PZ,LU,GL,PZ
BCARH~~~~~N,BC,ARH,~~~~~,N,ARCHIE,M,YU,8,CT,MW,MS,-,-,AN,-,-,TILL,-,-,LU,GL,PZ,LU,GL,PZ
BCARNid~~~N,BC,ARN,id~~~,N,ARTISAN,M,YU,4,UN,I,MC,-,-,VC,-,-,TILL,-,-,LU,GL,BR,LU,GL,BR
BCARNli~~~N,BC,ARN,li~~~,N,ARTISAN,M,NO,6,LI,W,MC,-,-,VC,-,-,TILL,-,-,LU,GL,BR,LU,GL,BR
BCARN~~~~~N,BC,ARN,~~~~~,N,ARTISAN,M,NO,4,UN,W,MC,-,-,VC,-,-,TILL,-,-,LU,GL,BR,LU,GL,BR
BCARO~~~~~A,BC,ARO,~~~~~,A,ARGONAUT,M,NO,0,-,W,VC,-,-,EA,-,-,FLUV,-,-,PZ,HFP,O,PZ,HFP,O
BCARO~~~~~N,BC,ARO,~~~~~,N,ARGONAUT,M,NO,0,-,W,VC,-,-,EA,-,-,FLUV,-,-,PZ,HFP,O,PZ,HFP,O
BCARRid~~~N,BC,ARR,id~~~,N,ARMOUR,M,YU,0,-,I,MC,-,-,AN,-,-,TILL,-,-,PZ,FHP,GL,PZ,FHP,GL
BCARRli~~~N,BC,ARR,li~~~,N,ARMOUR,M,YU,4,LI,MW,MC,-,-,AN,-,-,TILL,-,-,PZ,FHP,O,PZ,FHP,O
BCARR~~~~~A,BC,ARR,~~~~~,A,ARMOUR,M,YU,0,-,MW,MC,-,-,EA,-,-,TILL,-,-,PZ,FHP,O,PZ,FHP,O
BCARR~~~~~N,BC,ARR,~~~~~,N,ARMOUR,M,YU,0,-,MW,MC,-,-,EA,-,-,TILL,-,-,PZ,FHP,O,PZ,FHP,O
BCARS~~~~~N,BC,ARS,~~~~~,N,ARRASTRA,M,NO,8,UN,W,MC,-,-,WC,-,-,GLLC,-,-,LU,GL,PZ,LU,GL,PZ
BCART~~~~~N,BC,ART,~~~~~,N,ART,M,NO,7,CT,W,MC,M,-,WC,-,-,TILL,-,-,LU,GL,BR,LU,GL,BR
BCASHid~~~N,BC,ASH,id~~~,N,ASHTON,M,YU,0,-,I,VC,-,-,AN,-,-,TILL,-,-,BR,DYB,GLE,BR,DYB,GLE
BCASH~~~~~A,BC,ASH,~~~~~,A,ASHTON,M,NO,0,-,W,VC,-,-,AN,-,-,TILL,-,-,BR,DYB,O,BR,DYB,O
BCASH~~~~~N,BC,ASH,~~~~~,N,ASHTON,M,NO,0,-,W,VC,-,-,AN,-,-,TILL,-,-,BR,DYB,E,BR,DYB,E
BCASP~~~~~N,BC,ASP,~~~~~,N,ASP,M,NO,0,-,R,CS,-,-,AN,-,-,GLFL,-,-,BR,EB,E,BR,EB,E
BCATT19~~~N,BC,ATT,19~~~,N,ATTACHIE,M,NO,0,-,W,UD,MC,-,AN,-,-,UNDM,-,-,RG,R,O,RG,R,O
BCATT~~~~~N,BC,ATT,~~~~~,N,ATTACHIE,M,NO,0,-,W,UD,MC,-,AN,-,-,UNDM,-,-,RG,R,O,RG,R,O
BCAUTpd~~~A,BC,AUT,pd~~~,A,ALOUETTE,M,YB,0,-,P,HU,M,-,EA,AN,-,FNPT,FLUV,-,GL,G,O,GL,G,O
BCAUTp~~~~N,BC,AUT,p~~~~,N,ALOUETTE,M,YB,0,-,VP,HU,M,-,EA,AN,-,FNPT,FLUV,-,GL,G,O,GL,G,O
