SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,SOILNAME,KIND,WATERTBL,ROOTRESTRI,RESTR_TYPE,DRAINAGE,PMTEX1,PMTEX2,PMTEX3,PMCHEM1,PMCHEM2,PMCHEM3,MDEP1,MDEP2,MDEP3,ORDER2,G_GROUP2,S_GROUP2,ORDER3,G_GROUP3,S_GROUP3
MB$AR~~~~~N,MB,$AR,~~~~~,N,Acidic Bedrock,N,-,-,-,-,-,-,-,-,-,-,RKIA,-,-,-,-,-,-,-,-
MB$CB~~~~~N,MB,$CB,~~~~~,N,Cobble Beach,M,YU,0,-,I,FR,-,-,UD,-,-,LACU,-,-,RG,R,O,RG,R,O
MB$CR~~~~~N,MB,$CR,~~~~~,N,Carbonate Bedrock,N,NO,-,-,-,-,-,-,-,-,-,RKLS,-,-,-,-,-,-,-,-
MB$ER~~~~~N,MB,$ER,~~~~~,N,Eroded Slope Complex,U,NO,0,-,R,UD,-,-,UD,-,-,COLL,-,-,RG,R,O,RG,R,O
MB$MHs~~~~N,MB,$MH,s~~~~,N,Marsh,U,YB,3,SA,VP,M,-,-,-,-,-,UNDM,-,-,GL,G,R,GL,G,R
MB$MH~~~~~A,MB,$MH,~~~~~,A,Marsh,U,YB,-,-,VP,M,-,-,-,-,-,UNDM,-,-,GL,G,R,GL,G,R
MB$MH~~~~~N,MB,$MH,~~~~~,N,Marsh,U,YB,-,-,VP,M,-,-,-,-,-,UNDM,-,-,GL,G,R,GL,G,R
MB$ML~~~~~A,MB,$ML,~~~~~,A,Modified land,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MB$QQ~~~~~N,MB,$QQ,~~~~~,N,Unclassified Land,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MB$SB~~~~~N,MB,$SB,~~~~~,N,Sand Beaches,M,YB,0,-,I,C,-,-,WC,-,-,LACU,-,-,RG,R,GL,RG,R,GL
MB$SFu~~~~N,MB,$SF,u~~~~,N,Saline flats,U,YB,1,SA,P,-,-,-,-,-,-,UNDM,-,-,GL,G,R,GL,G,R
MB$SF~~~~~N,MB,$SF,~~~~~,N,Saline flats,U,YB,1,SA,P,-,-,-,-,-,-,UNDM,-,-,GL,G,R,GL,G,R
MB$SR~~~~~N,MB,$SR,~~~~~,N,Shale Bedrock,N,-,-,-,-,-,-,-,-,-,-,RKSH,-,-,-,-,-,-,-,-
MB$UI~~~~~N,MB,$UI,~~~~~,N,Unclassified Island,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MB$UL~~~~~A,MB,$UL,~~~~~,A,Unclassified land,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MB$UR~~~~~A,MB,$UR,~~~~~,A,Urban land,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MB$ZF~~~~~N,MB,$ZF,~~~~~,N,Flooded Land,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MB$ZI~~~~~N,MB,$ZI,~~~~~,N,Intermittant Lake,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MB$ZZ~~~~~N,MB,$ZZ,~~~~~,N,Water,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MBABGs~~~~A,MB,ABG,s~~~~,A,Arborg,M,YU,0,-,I,VF,-,-,VC,-,-,LACU,-,-,CH,DG,GLSZ,CH,DGC,GLSZ
MBABG~~~~~A,MB,ABG,~~~~~,A,Arborg,M,YU,0,-,I,VF,-,-,VC,-,-,LACU,-,-,CH,DG,GLSZ,CH,DGC,GLSZ
MBABG~~~~~N,MB,ABG,~~~~~,N,Arborg,M,YU,0,-,I,VF,-,-,VC,-,-,LACU,-,-,CH,DG,GLSZ,CH,DGC,GLSZ
MBABK~~~~~N,MB,ABK,~~~~~,N,Anabusko,O,YG,0,-,VP,ME,MF,-,AN,VC,-,FNPT,MARI,-,CY,OC,TME,CY,OC,TME
MBABN~~~~~N,MB,ABN,~~~~~,N,Abernathy,M,NO,7,CR,W,MC,-,-,AN,-,-,TILL,-,-,CY,SC,BR,CY,SC,BRE
MBABYp~~~~N,MB,ABY,p~~~~,N,"Aubrey, peaty phase",M,YB,0,-,VP,F,CS,VF,WC,WC,WC,LACU,GLFL,TILL,GL,HG,R,GL,HG,R
MBABY~~~~~A,MB,ABY,~~~~~,A,Aubrey,M,YU,0,-,P,F,CS,VF,WC,WC,WC,LACU,GLFL,TILL,GL,HG,R,GL,HG,R
MBACD~~~~~A,MB,ACD,~~~~~,A,Acland,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MBACR~~~~~A,MB,ACR,~~~~~,A,Alcester,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MBAGU~~~~~N,MB,AGU,~~~~~,N,Angus,M,NO,0,-,W,MC,-,-,AN,-,-,TILL,-,-,BR,DYB,O,BR,DYB,O
MBAGW~~~~~A,MB,AGW,~~~~~,A,Agnew,M,YU,0,-,I,F,-,-,VC,-,-,LACU,-,-,CH,BL,GL,CH,BLC,GL
MBAHO~~1~~A,MB,AHO,~~1~~,A,Ashmore,M,NO,0,-,W,MC,CS,-,VC,VC,-,FLLC,GLFL,-,CH,BL,R,CH,BLC,R
MBAHO~~2~~A,MB,AHO,~~2~~,A,Ashmore,M,NO,0,-,W,MC,CS,-,VC,VC,-,FLLC,GLFL,-,CH,BL,R,CH,BLC,R
MBAHO~~~~~A,MB,AHO,~~~~~,A,Ashmore,M,NO,0,-,W,MC,CS,-,VC,VC,-,FLLC,GLFL,-,CH,BL,R,CH,BLC,R
MBAHO~~~~~N,MB,AHO,~~~~~,N,Ashmore,M,NO,0,-,W,MC,CS,-,VC,VC,-,FLLC,GLFL,-,CH,BL,R,CH,BLC,R
MBAHP~~~~~N,MB,AHP,~~~~~,N,Athapap,U,YU,-,-,I,CS,-,-,AN,-,-,TILL,-,-,BR,DYB,GL,BR,DYB,GL
MBAHW~~~~~A,MB,AHW,~~~~~,A,Ashdown,M,YB,0,-,I,C,M,-,VC,VC,-,LACU,TILL,-,CH,BL,GL,CH,BLC,GL
MBAHY~~2~~A,MB,AHY,~~2~~,A,Ashbury,M,YU,0,-,I,MC,M,-,VC,VC,-,LACU,TILL,-,CH,BL,GL,CH,BLC,GL
MBAHY~~~~~A,MB,AHY,~~~~~,A,Ashbury,M,YU,0,-,I,MC,M,-,VC,VC,-,LACU,TILL,-,CH,BL,GL,CH,BLC,GL
MBAIZ~~1~~A,MB,AIZ,~~1~~,A,Arizona,M,NO,0,-,W,C,-,-,WC,-,-,LACU,-,-,RG,R,O,RG,R,O
MBAIZ~~3~~A,MB,AIZ,~~3~~,A,Arizona,M,NO,0,-,W,C,-,-,WC,-,-,LACU,-,-,RG,R,O,RG,R,O
MBAIZ~~o~~A,MB,AIZ,~~o~~,A,Arizona,M,NO,0,-,W,C,-,-,WC,-,-,LACU,-,-,RG,R,O,RG,R,O
MBAIZ~~~~~A,MB,AIZ,~~~~~,A,Arizona,M,NO,0,-,W,C,-,-,WC,-,-,LACU,-,-,RG,R,O,RG,R,O
MBAKDp~~~~N,MB,AKD,p~~~~,N,Askandigau,M,YU,0,-,VP,F,-,-,VC,-,-,TILL,-,-,GL,G,R,GL,G,R
MBAKD~~~~~N,MB,AKD,~~~~~,N,Askandigau,M,YU,0,-,P,F,-,-,VC,-,-,TILL,-,-,GL,G,R,GL,G,R
MBAKG~~~~~N,MB,AKG,~~~~~,N,Atikameg,M,NO,0,-,W,M,-,-,EC,-,-,TILL,-,-,BR,EB,E,BR,EB,E
MBAKK~~~~~A,MB,AKK,~~~~~,A,Arbakka,M,YU,0,-,I,CS,M,-,VC,EC,-,GLLC,TILL,-,LU,GL,GL,LU,GL,GL
MBAKK~~~~~N,MB,AKK,~~~~~,N,Arbakka,M,YU,0,-,I,CS,M,-,VC,EC,-,GLLC,TILL,-,LU,GL,GL,LU,GL,GL
MBALG~~2~~A,MB,ALG,~~2~~,A,Algar,M,NO,0,-,W,MC,-,-,VC,-,-,TILL,RKSS,-,CH,BL,R,CH,BLC,R
MBALG~~3~~A,MB,ALG,~~3~~,A,Algar,M,NO,0,-,W,MC,-,-,VC,-,-,TILL,RKSS,-,CH,BL,R,CH,BLC,R
