SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,SOILNAME,KIND,WATERTBL,ROOTRESTRI,RESTR_TYPE,DRAINAGE,PMTEX1,PMTEX2,PMTEX3,PMCHEM1,PMCHEM2,PMCHEM3,MDEP1,MDEP2,MDEP3,ORDER2,G_GROUP2,S_GROUP2,ORDER3,G_GROUP3,S_GROUP3
NBACD125~~A,NB,ACD,125~~,A,ACADIA,M,YB,0,-,P,MF,-,-,EA,-,-,MARI,-,-,GL,HG,R,GL,HG,R
NBACD125~~N,NB,ACD,125~~,N,ACADIA,M,YB,0,-,P,MF,-,-,EA,-,-,MARI,-,-,GL,G,R,GL,G,R
NBACD71~~~A,NB,ACD,71~~~,A,ACADIA,M,YB,0,-,MW,MF,-,-,AN,-,-,MARI,-,-,RG,HR,GL,RG,HR,GL
NBACD71~~~N,NB,ACD,71~~~,N,ACADIA,M,YB,0,-,MW,MF,-,-,AN,-,-,MARI,-,-,RG,R,GL,RG,R,GL
NBACS182~~N,NB,ACS,182~~,N,ACADIE SIDING,O,YB,5,UN,VP,FI,HU,MF,EA,EA,EA,SPPT,FNPT,UNDM,OR,M,TFI,OR,M,TFI
NBAGC280~~A,NB,AGC,280~~,A,ANAGANCE,M,NO,0,-,R,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
NBAGC280~~N,NB,AGC,280~~,N,ANAGANCE,M,NO,0,-,R,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
NBBBM220~~N,NB,BBM,220~~,N,BIG BALD MOUNTAIN,M,NO,7,LI,W,C,-,-,EA,-,-,RESD,-,-,BR,DYB,E,BR,DYB,E
NBBBU125~~A,NB,BBU,125~~,A,BARRIEAU-BUCTOUCHE,M,YB,5,CT,P,C,MF,-,EA,EA,-,GLMA,TILL,-,GL,HG,O,GL,HG,O
NBBBU125~~N,NB,BBU,125~~,N,BARRIEAU-BUCTOUCHE,M,YB,6,CT,P,C,MF,-,EA,EA,-,GLMA,TILL,-,GL,G,O,GL,G,O
NBBBU217~~A,NB,BBU,217~~,A,BARRIEAU-BUCTOUCHE,M,YU,6,CT,W,C,MF,-,EA,EA,-,GLMA,TILL,-,PZ,HFP,O,PZ,HFP,O
NBBBU217~~N,NB,BBU,217~~,N,BARRIEAU-BUCTOUCHE,M,YU,7,CT,W,C,MF,-,EA,EA,-,GLMA,TILL,-,PZ,HFP,O,PZ,HFP,O
NBBBU8~~~~A,NB,BBU,8~~~~,A,BARRIEAU-BUCTOUCHE,M,YB,6,CT,I,C,MF,-,EA,EA,-,GLMA,TILL,-,PZ,HFP,GL,PZ,HFP,GL
NBBBU8~~~~N,NB,BBU,8~~~~,N,BARRIEAU-BUCTOUCHE,M,YB,7,CT,I,C,MF,-,EA,EA,-,GLMA,TILL,-,PZ,HFP,GL,PZ,HFP,GL
NBBDN8~~~~A,NB,BDN,8~~~~,A,BELLDUNE RIVER,M,YB,0,-,I,MC,-,-,EA,-,-,MARI,-,-,PZ,HFP,GL,PZ,HFP,GL
NBBDN8~~~~N,NB,BDN,8~~~~,N,BELLDUNE RIVER,M,YB,0,-,I,MC,-,-,EA,-,-,MARI,-,-,PZ,HFP,GL,PZ,HFP,GL
NBBFU1~~~~A,NB,BFU,1~~~~,A,BELLEFLEUR,M,YB,3,UN,MW,F,M,-,AN,WC,-,GLLC,TILL,-,LU,GL,BR,LU,GL,BR
NBBFU1~~~~N,NB,BFU,1~~~~,N,BELLEFLEUR,M,YB,4,UN,MW,F,M,-,AN,WC,-,GLLC,TILL,-,LU,GL,PZ,LU,GL,PZ
NBBGL253~~A,NB,BGL,253~~,A,BIG HOLE,M,NO,4,LI,W,MC,-,-,EA,-,-,TILL,-,-,BR,SB,O,BR,SB,O
NBBGL253~~N,NB,BGL,253~~,N,BIG HOLE,M,NO,5,LI,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
NBBGN1~~~~A,NB,BGN,1~~~~,A,BOURGOIN,M,YB,4,CT,VP,F,-,-,AN,-,-,TILL,-,-,GL,HG,O,GL,HG,O
NBBGN1~~~~N,NB,BGN,1~~~~,N,BOURGOIN,M,YB,5,CT,VP,F,-,-,AN,-,-,TILL,-,-,GL,LG,O,GL,LG,O
