SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,SOILNAME,KIND,WATERTBL,ROOTRESTRI,RESTR_TYPE,DRAINAGE,PMTEX1,PMTEX2,PMTEX3,PMCHEM1,PMCHEM2,PMCHEM3,MDEP1,MDEP2,MDEP3,ORDER2,G_GROUP2,S_GROUP2,ORDER3,G_GROUP3,S_GROUP3
NLAARE1~~~N,NL,AAR,E1~~~,N,Aaron Cove,M,YU,4,PL,MW,MS,MS,-,EA,EA,EA,GLFL,-,-,PZ,FHP,GL,PZ,FHP,GL
NLABH~~~~~N,NL,ABH,~~~~~,N,Abraham,M,YU,0,-,MW,F,F,-,EA,AN,UD,TILL,-,-,BR,DYB,GLE,BR,DYB,GLE
NLABNE1~~~N,NL,ABN,E1~~~,N,Alderburn,M,YN,0,-,W,MS,MS,-,EA,EA,EA,TILL,-,-,PZ,HFP,O,PZ,HFP,O
NLABNE2~~~N,NL,ABN,E2~~~,N,Alderburn,M,YN,0,-,W,MS,MS,-,EA,EA,EA,TILL,-,-,PZ,HFP,O,PZ,HFP,O
NLABNE3~~~A,NL,ABN,E3~~~,A,Alderburn,M,YU,0,-,I,MS,MS,-,EA,EA,EA,TILL,-,-,PZ,HFP,GL,PZ,HFP,GL
NLABN~~~~~A,NL,ABN,~~~~~,A,Alderburn,M,YU,0,-,W,MS,MS,-,AN,AN,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
NLADLE1~~~N,NL,ADL,E1~~~,N,Adies Lake,M,YU,0,-,I,MS,MS,-,EA,EA,EA,TILL,-,-,PZ,HFP,GL,PZ,HFP,GL
NLADLE2~~~N,NL,ADL,E2~~~,N,Adies Lake,M,YN,0,-,W,MS,MS,-,EA,EA,EA,TILL,-,-,PZ,HFP,O,PZ,HFP,O
NLADP~~~~~N,NL,ADP,~~~~~,N,Adies Pond,M,YU,0,-,I,MS,MS,-,EA,EA,EA,TILL,-,-,PZ,HFP,GL,PZ,HFP,GL
NLAGL~~~~~N,NL,AGL,~~~~~,N,Anguille,M,YU,0,-,I,M,MS,-,EA,AN,AN,TILL,-,-,PZ,HFP,GL,PZ,HFP,GL
NLAGT~~~~~N,NL,AGT,~~~~~,N,Aguathuna,M,YB,0,-,P,FS,MS,-,AN,AN,AN,TILL,-,-,GL,LG,FE,GL,LG,FE
NLAGV~~~~~N,NL,AGV,~~~~~,N,Angels Cove,M,YN,0,-,W,MF,MS,-,EA,EA,EA,TILL,-,-,PZ,FHP,O,PZ,FHP,O
NLALV~~~~~N,NL,ALV,~~~~~,N,Alluvium,M,YU,0,-,W,MS,MS,-,EA,EA,EA,FLUV,-,-,RG,R,GL,RG,R,GL
NLASPE1~~~N,NL,ASP,E1~~~,N,Aspen Cove,M,YN,0,-,W,MS,MS,-,EA,EA,EA,MARI,-,-,PZ,HFP,O,PZ,HFP,O
NLASPE2~~~N,NL,ASP,E2~~~,N,Aspen Cove,M,YN,0,-,W,MS,MS,-,EA,EA,EA,MARI,-,-,PZ,FHP,O,PZ,FHP,O
NLATKE1~~~N,NL,ATK,E1~~~,N,Atlantic Lake,M,YN,0,-,MW,MS,MS,-,EA,EA,EA,TILL,-,-,PZ,HFP,O,PZ,HFP,O
NLAYO~~~~~N,NL,AYO,~~~~~,N,Adey Brook,M,YU,0,-,I,MS,MS,-,EA,EA,EA,TILL,-,-,PZ,FHP,GL,PZ,FHP,GL
NLAYP~~~~~N,NL,AYP,~~~~~,N,Adey Pond,M,YN,0,-,P,MS,MS,-,EA,EA,EA,TILL,-,-,GL,G,O,GL,G,O
NLAYW~~~~~N,NL,AYW,~~~~~,N,Adey Town,M,YN,0,-,I,MS,MS,-,EA,EA,EA,TILL,-,-,PZ,FHP,O,PZ,FHP,O
NLBAB~~~~~N,NL,BAB,~~~~~,N,Brown's Arm Brook,M,YU,0,-,VP,MS,MS,-,EA,EA,EA,GLFL,-,-,PZ,FHP,GL,PZ,FHP,GL
NLBAC~~~~~N,NL,BAC,~~~~~,N,Black Duck Brook,M,YU,0,-,I,CS,CS,-,EA,EA,EA,MARI,-,-,PZ,HFP,GL,PZ,HFP,GL
NLBAP~~~~~N,NL,BAP,~~~~~,N,Barry's Pond,M,YN,0,-,W,CS,CS,-,EA,EA,EA,TILL,-,-,PZ,HFP,O,PZ,HFP,O
NLBARE1~~~N,NL,BAR,E1~~~,N,Barachois,M,YN,0,-,MW,M,M,-,EA,EA,EA,TILL,-,-,PZ,HFP,O,PZ,HFP,O
NLBARE2~~~N,NL,BAR,E2~~~,N,Barachois,M,YN,0,-,P,M,M,-,EA,EA,EA,TILL,-,-,GL,G,O,GL,G,O
NLBAR~~~~~N,NL,BAR,~~~~~,N,Barachois,M,YN,0,-,MW,M,M,-,EA,EA,EA,TILL,-,-,PZ,HFP,O,PZ,HFP,O
NLBBB~~~~~N,NL,BBB,~~~~~,N,Black Bank Beach,M,YN,0,-,MW,C,CS,-,EA,EA,EA,MARI,-,-,PZ,HFP,O,PZ,HFP,O
NLBBK~~~~~N,NL,BBK,~~~~~,N,Beaver Brook,M,YN,0,-,I,MC,MC,-,EA,EA,EA,TILL,-,-,PZ,HFP,O,PZ,HFP,O
NLBCN~~~~~N,NL,BCN,~~~~~,N,Beach Point,M,YU,0,-,I,MS,MS,-,EA,EA,EA,TILL,-,-,BR,DYB,GLE,BR,DYB,GLE
NLBEP~~~~~N,NL,BEP,~~~~~,N,Butterpot,M,YN,0,-,R,MS,MS,-,EA,EA,UD,TILL,-,-,PZ,HFP,O,PZ,HFP,O
NLBGF~~~~~N,NL,BGF,~~~~~,N,Big Falls,M,YN,0,-,W,MS,MS,-,EA,EA,EA,TILL,-,-,PZ,HFP,O,PZ,HFP,O
NLBHPE1~~~N,NL,BHP,E1~~~,N,Berry Hill Pond,M,YN,0,-,MW,M,M,-,EA,EA,EA,TILL,-,-,PZ,HFP,O,PZ,HFP,O
NLBHPE2~~~N,NL,BHP,E2~~~,N,Berry Hill Pond,M,YN,0,-,P,M,M,-,EA,EA,EA,TILL,-,-,GL,G,O,GL,G,O
