SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,SOILNAME,KIND,WATERTBL,ROOTRESTRI,RESTR_TYPE,DRAINAGE,PMTEX1,PMTEX2,PMTEX3,PMCHEM1,PMCHEM2,PMCHEM3,MDEP1,MDEP2,MDEP3,ORDER2,G_GROUP2,S_GROUP2,ORDER3,G_GROUP3,S_GROUP3
NSACA4~~~~A,NS,ACA,4~~~~,A,Acadia,M,YB,0,-,MW,MF,-,-,EA,-,-,MARI,-,-,RG,GL,GL,RG,RG,GL
NSACA5~~~~A,NS,ACA,5~~~~,A,Acadia,M,YB,0,-,I,MF,-,-,EA,-,-,MARI,-,-,RG,GL,GL,RG,RG,GL
NSACA6~~~~A,NS,ACA,6~~~~,A,Acadia,M,YB,0,-,P,MF,-,-,EA,-,-,MARI,-,-,GL,GL,RG,GL,GL,RG
NSACA~~~~~A,NS,ACA,~~~~~,A,Acadia,M,YB,0,-,I,MF,-,-,EA,-,-,MARI,-,-,RG,GL,GL,RG,RG,GL
NSACA~~~~~N,NS,ACA,~~~~~,N,Acadia,M,YB,0,-,I,MF,-,-,EA,-,-,MARI,-,-,RG,GL,GL,RG,RG,GL
NSAPG6~~~~N,NS,APG,6~~~~,N,Aspotogan,M,YB,4,CT,P,MS,-,-,EA,-,-,TILL,-,-,GL,G,O,GL,G,O
NSAVP5~~~~A,NS,AVP,5~~~~,A,Avonport,M,YB,0,-,I,MF,-,-,EA,EA,-,FLUV,GLLC,,PZ,HFP,GL,PZ,HFP,GL
NSAVP5~~~~N,NS,AVP,5~~~~,N,Avonport,M,YB,0,-,I,MF,-,-,EA,EA,-,FLUV,GLLC,,PZ,HFP,GL,PZ,HFP,GL
NSBDW3~~~~N,NS,BDW,3~~~~,N,Bridgewater,M,YB,3,CT,W,M,,-,EA,-,-,TILL,,,PZ,HFP,O,PZ,HFP,O
NSBDW5~~~~N,NS,BDW,5~~~~,N,Bridgewater,M,YB,3,CT,I,M,,-,EA,-,-,TILL,,,PZ,HFP,GL,PZ,HFP,GL
NSBDW6~~~~N,NS,BDW,6~~~~,N,Bridgewater,M,YB,3,CT,P,M,,-,EA,-,-,TILL,,,GL,G,O,GL,G,O
NSBEY4~~~~N,NS,BEY,4~~~~,N,Bayswater,M,YB,3,CT,W,M,,-,EA,-,-,TILL,,,PZ,HFP,O,PZ,HFP,O
NSBEY5~~~~N,NS,BEY,5~~~~,N,Bayswater,M,YB,3,CT,I,M,,-,EA,-,-,TILL,,,PZ,HFP,GL,PZ,HFP,GL
NSBEY6~~~~N,NS,BEY,6~~~~,N,Bayswater,M,YB,3,CT,P,M,,-,EA,-,-,TILL,,,GL,G,O,GL,G,O
NSBGE~~~~~A,NS,BGE,~~~~~,A,Bridgeville,M,YB,0,-,I,MC,CS,-,EA,EA,-,FLUV,FLUV,-,RG,HR,GL,RG,HR,GL
NSBGE~~~~~N,NS,BGE,~~~~~,N,Bridgeville,M,YB,0,-,I,MC,CS,-,EA,EA,-,FLUV,FLUV,-,RG,HR,GL,RG,HR,GL
NSBWK3~~~~A,NS,BWK,3~~~~,A,Berwick,M,YB,3,CT,W,M,,-,EA,,-,TILL,,,PZ,HFP,O,PZ,HFP,O
NSBWK3~~~~N,NS,BWK,3~~~~,N,Berwick,M,YB,4,CT,W,M,,-,EA,,-,TILL,,,PZ,HFP,O,PZ,HFP,O
NSBWT3~~~~A,NS,BWT,3~~~~,A,Bridgetown,M,YB,3,CT,W,M,,-,EA,-,-,TILL,,,PZ,HFP,O,PZ,HFP,O
NSBWT3~~~~N,NS,BWT,3~~~~,N,Bridgetown,M,YB,4,CT,W,M,,-,EA,-,-,TILL,,,PZ,HFP,O,PZ,HFP,O
NSBWT5~~~~A,NS,BWT,5~~~~,A,Bridgetown,M,YB,3,CT,I,M,,-,EA,-,-,TILL,,,PZ,HFP,GL,PZ,HFP,GL
NSBWT5~~~~N,NS,BWT,5~~~~,N,Bridgetown,M,YB,4,CT,I,M,,-,EA,-,-,TILL,,,PZ,HFP,GL,PZ,HFP,GL
NSBWT6~~~~N,NS,BWT,6~~~~,N,Bridgetown,M,YB,4,CT,P,M,,-,EA,-,-,TILL,,,GL,G,O,GL,G,O
NSBYN4~~~~N,NS,BYN,4~~~~,N,Bryden,M,YB,4,CT,MW,M,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
NSBYN5~~~~N,NS,BYN,5~~~~,N,Bryden,M,YB,4,CT,I,M,-,-,EA,-,-,TILL,-,-,PZ,HFP,GL,PZ,HFP,GL
NSBYN6~~~~N,NS,BYN,6~~~~,N,Bryden,M,YB,4,CT,P,M,-,-,EA,-,-,TILL,-,-,GL,G,O,GL,G,O
NSCAA23~~~A,NS,CAA,23~~~,A,Canaan,M,YB,4,LI,P,MS,-,-,EA,-,-,TILL,-,-,GL,HG,O,GL,HG,O
NSCAA23~~~N,NS,CAA,23~~~,N,Canaan,M,YB,5,LI,P,MS,-,-,EA,-,-,TILL,-,-,GL,G,O,GL,G,O
NSCAA52~~~A,NS,CAA,52~~~,A,Canaan,M,YB,4,LI,P,MS,-,-,EA,-,-,TILL,-,-,GL,HG,O,GL,HG,O
NSCAA52~~~N,NS,CAA,52~~~,N,Canaan,M,YB,5,LI,P,MS,-,-,EA,-,-,TILL,-,-,GL,G,O,GL,G,O
NSCAA53~~~A,NS,CAA,53~~~,A,Canaan,M,YB,4,LI,P,MS,-,-,EA,-,-,TILL,-,-,GL,HG,O,GL,HG,O
NSCAA53~~~N,NS,CAA,53~~~,N,Canaan,M,YB,5,LI,P,MS,-,-,EA,-,-,TILL,-,-,GL,G,O,GL,G,O
NSCBQ3~~~~N,NS,CBQ,3~~~~,N,Cobequid,M,YN,4,CT,W,MS,-,-,EA,-,-,TILL,-,-,PZ,FHP,O,PZ,FHP,O
NSCBQ5~~~~N,NS,CBQ,5~~~~,N,Cobequid,M,YB,4,CT,I,MS,-,-,EA,-,-,TILL,-,-,PZ,FHP,GL,PZ,FHP,GL
NSCBQ6~~~~N,NS,CBQ,6~~~~,N,Cobequid,M,YB,4,CT,P,MS,-,-,EA,-,-,TILL,-,-,GL,HG,O,GL,HG,O
NSCBR3~~~~A,NS,CBR,3~~~~,A,Cumberland,M,YN,0,-,W,M,CS,-,EA,EA,-,FLUV,FLUV,-,RG,HR,O,RG,HR,O
NSCBR3~~~~N,NS,CBR,3~~~~,N,Cumberland,M,YN,0,-,W,M,CS,-,EA,EA,-,FLUV,FLUV,-,RG,HR,O,RG,HR,O
NSCBR5~~~~A,NS,CBR,5~~~~,A,Cumberland,M,YB,0,-,I,M,CS,-,EA,EA,-,FLUV,FLUV,-,RG,HR,GL,RG,HR,GL
