SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,SOILNAME,KIND,WATERTBL,ROOTRESTRI,RESTR_TYPE,DRAINAGE,PMTEX1,PMTEX2,PMTEX3,PMCHEM1,PMCHEM2,PMCHEM3,MDEP1,MDEP2,MDEP3,ORDER2,G_GROUP2,S_GROUP2,ORDER3,G_GROUP3,S_GROUP3
ONABM~~~~~A,ON,ABM,~~~~~,A,ABRAM,M,YU,0,-,I,MF,-,-,VC,-,-,LACU,-,-,LU,GL,GL,LU,GL,GL
ONABO~~~~~N,ON,ABO,~~~~~,N,ALBERTON,M,YU,0,-,I,MF,-,-,AN,-,-,FLUV,-,-,RG,HR,GL,RG,HR,GL
ONACE~~~~~A,ON,ACE,~~~~~,A,ANCASTER,M,YU,0,-,W,MF,-,-,VC,-,-,TILL,-,-,BR,MB,E,BR,MB,E
ONAHGSH~~~A,ON,AHG,SH~~~,A,ACHIGAN,M,YG,0,-,I,MC,-,-,EA,-,-,FLUV,-,-,BR,MB,GL,BR,MB,GL
ONAHG~~~~~A,ON,AHG,~~~~~,A,ACHIGAN,M,YU,0,-,I,MC,-,-,EA,-,-,FLUV,-,-,BR,MB,GL,BR,MB,GL
ONALLSH~~~N,ON,ALL,SH~~~,N,ALLENDALE,M,YU,0,-,P,MC,-,-,VC,-,-,FLUV,-,-,GL,HG,O,GL,HG,O
ONALL~~~~~A,ON,ALL,~~~~~,A,ALLENDALE,M,YU,0,-,P,MC,MF,-,VC,VC,-,FLUV,MARI,-,GL,HG,O,GL,HG,O
ONALTSH~~~N,ON,ALT,SH~~~,N,ALLISTON,M,YU,0,-,I,VC,-,-,VC,-,-,FLUV,-,-,LU,GBL,GLBR,LU,GBL,GLBR
ONALTZ~~~~N,ON,ALT,Z~~~~,N,ALLISTON,M,YU,0,-,I,VC,-,-,VC,-,-,FLUV,-,-,LU,GBL,GLBR,LU,GBL,GLBR
ONALT~~~~~A,ON,ALT,~~~~~,A,ALLISTON,M,YU,0,-,I,C,-,-,VC,-,-,FLUV,-,-,LU,GBL,GLBR,LU,GBL,GLBR
ONALUC~~~~A,ON,ALU,C~~~~,A,ALLUVIUM,M,YU,5,LI,I,F,-,-,AN,-,-,FLUV,-,-,BR,MB,GL,BR,MB,GL
