SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,SOILNAME,KIND,WATERTBL,ROOTRESTRI,RESTR_TYPE,DRAINAGE,PMTEX1,PMTEX2,PMTEX3,PMCHEM1,PMCHEM2,PMCHEM3,MDEP1,MDEP2,MDEP3,ORDER2,G_GROUP2,S_GROUP2,ORDER3,G_GROUP3,S_GROUP3
PEAND612~~N,PE,AND,612~~,N,Abney Road,U,YB,0,-,VP,,,-,,,-,FOPT,UNDM,-,OR,M,T,OR,M,T
PEAPT~~~~~N,PE,APT,~~~~~,N,Airport,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PEARN611~~N,PE,ARN,611~~,N,Arlington,U,YB,0,-,VP,,-,-,,-,-,SPPT,-,-,OR,F,TY,OR,F,TY
PEARYAB~~~A,PE,ARY,AB~~~,A,Alberry,M,YU,0,-,MW,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYA~~~~A,PE,ARY,A~~~~,A,Alberry,M,NO,0,-,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYBCD~~A,PE,ARY,BCD~~,A,Alberry,M,NO,5,LI,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYBC~~~A,PE,ARY,BC~~~,A,Alberry,M,NO,5,LI,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYBDC~~A,PE,ARY,BDC~~,A,Alberry,M,NO,5,LI,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYBDE~~A,PE,ARY,BDE~~,A,Alberry,M,NO,5,LI,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYBD~~~A,PE,ARY,BD~~~,A,Alberry,M,NO,5,LI,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYBE~~~A,PE,ARY,BE~~~,A,Alberry,M,NO,0,-,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYB~~~~A,PE,ARY,B~~~~,A,Alberry,M,NO,0,-,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYCAC~~A,PE,ARY,CAC~~,A,Alberry,M,NO,5,LI,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYCBC~~A,PE,ARY,CBC~~,A,Alberry,M,YU,5,LI,MW,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYCB~~~A,PE,ARY,CB~~~,A,Alberry,M,YU,0,-,MW,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYCCD~~A,PE,ARY,CCD~~,A,Alberry,M,NO,5,LI,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYCC~~~A,PE,ARY,CC~~~,A,Alberry,M,NO,5,LI,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYCDC~~A,PE,ARY,CDC~~,A,Alberry,M,NO,5,LI,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYCDE~~A,PE,ARY,CDE~~,A,Alberry,M,NO,5,LI,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYCD~~~A,PE,ARY,CD~~~,A,Alberry,M,NO,0,-,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYCED~~A,PE,ARY,CED~~,A,Alberry,M,NO,5,-,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYCE~~~A,PE,ARY,CE~~~,A,Alberry,M,NO,0,-,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYCG~~~A,PE,ARY,CG~~~,A,Alberry,M,NO,0,-,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYC~~~~A,PE,ARY,C~~~~,A,Alberry,M,NO,0,-,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYDAD~~A,PE,ARY,DAD~~,A,Alberry,M,NO,5,LI,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYDA~~~A,PE,ARY,DA~~~,A,Alberry,M,NO,0,-,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYDBC~~A,PE,ARY,DBC~~,A,Alberry,M,YU,5,LI,MW,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYDB~~~A,PE,ARY,DB~~~,A,Alberry,M,YU,0,-,MW,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
PEARYDCE~~A,PE,ARY,DCE~~,A,Alberry,M,NO,5,LI,W,MC,-,-,EA,-,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
