SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,SOILNAME,KIND,WATERTBL,ROOTRESTRI,RESTR_TYPE,DRAINAGE,PMTEX1,PMTEX2,PMTEX3,PMCHEM1,PMCHEM2,PMCHEM3,MDEP1,MDEP2,MDEP3,ORDER2,G_GROUP2,S_GROUP2,ORDER3,G_GROUP3,S_GROUP3
QCABT50000A,QC,ABT,50000,A,ABITIBI,M,YB,0,-,I,VF,-,-,AN,-,-,GLLC,-,-,GL,LG,O,GL,LG,O
QCAGO33000N,QC,AGO,33000,N,ARAGO,M,NO,7,FP,W,MS,-,-,EA,-,-,TILL,-,-,PZ,HFP,FR,PZ,HFP,FR
QCAGR30000A,QC,AGR,30000,A,ANGE-GARDIEN,M,YB,3,CT,P,MS,-,-,AN,-,-,TILL,-,-,GL,HG,O,GL,HG,O
QCAHG10000N,QC,AHG,10000,N,ACHIGAN,M,YB,4,OR,I,C,-,-,EA,-,-,FLUV,-,-,PZ,HFP,GLOT,PZ,HFP,GLOT
QCALL50000A,QC,ALL,50000,A,ALLUVIONS RECENTES,M,YB,0,-,P,UD,-,-,UD,-,-,FLUV,-,-,GL,HG,O,GL,HG,O
QCALM30000A,QC,ALM,30000,A,ALMA,M,YB,0,-,I,MF,F,-,EA,AN,-,LACU,MARI,-,GL,G,O,GL,G,O
QCALU30000A,QC,ALU,30000,A,ALLUMETTE,M,YB,0,-,I,MC,MF,-,EA,EA,-,FLUV,LACU,-,PZ,HFP,GL,PZ,HFP,GL
QCANA31000A,QC,ANA,31000,A,ANACLET,M,YN,4,LI,MW,MS,MS,-,EA,EA,-,FLUV,RESD,RKSH,BR,DYB,GL,BR,DYB,GL
QCAPK10000A,QC,APK,10000,A,APIKA,M,YB,0,-,I,C,-,-,EA,-,-,FLUV,-,-,BR,SB,GLE,BR,SB,GLE
QCARH20000A,QC,ARH,20000,A,ARTHABASKA,M,NO,4,CT,W,MC,-,-,EA,-,-,TILL,-,-,BR,DYB,O,BR,DYB,O
QCARR10000N,QC,ARR,10000,N,AFFLEUREMENTS ROCHEUX,U,NO,3,LI,-,-,-,-,-,-,-,RKSH,-,-,-,-,-,-,-,-
QCARR20000N,QC,ARR,20000,N,AFFLEUREMENTS ROCHEUX,U,NO,3,LI,-,-,-,-,-,-,-,RKIA,-,-,-,-,-,-,-,-
QCARR30000N,QC,ARR,30000,N,AFFLEUREMENTS ROCHEUX,U,NO,3,LI,-,-,-,-,-,-,-,RKCA,-,-,-,-,-,-,-,-
QCARR40000N,QC,ARR,40000,N,AFFLEUREMENTS ROCHEUX,U,NO,3,LI,-,-,-,-,-,-,-,RKUD,-,-,-,-,-,-,-,-
QCASC20000A,QC,ASC,20000,A,ASCOT,M,NO,4,CT,W,MC,MS,-,EA,EA,-,TILL,-,-,PZ,HFP,O,PZ,HFP,O
QCAST20000A,QC,AST,20000,A,ASTON,M,YB,0,-,P,C,F,-,EA,AN,-,FLUV,MARI,-,GL,HG,O,GL,HG,O
QCBAB30000A,QC,BAB,30000,A,BABY,M,YB,0,-,I,MF,-,-,WC,-,-,FLLC,-,-,GL,HG,O,GL,HG,O
